ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression taskMappers\n                .getOrDefault(type, taskMappers.get(USER_DEFINED.name())) is @Nullable	        return taskMappers	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/DeciderService.java:867	4613267cea4f99617d7b49dca0db47e18b0334ea
2	DEREFERENCE_NULLABLE	dereferenced expression input is @Nullable	            String errorMsg = String.format("Input has to be a JSON object: %s", input.getClass());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/evaluators/ValueParamEvaluator.java:40	ba0b9cb97d41ac9368d0443b57719616d6ab6215
3	DEREFERENCE_NULLABLE	dereferenced expression resolvedParams.get("name") is @Nullable	        String subWorkflowName = resolvedParams.get("name").toString();	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/SubWorkflowTaskMapper.java:65	cea83207a20b4fca43e40b00e7dd67a9049c81ca
6	DEREFERENCE_NULLABLE	dereferenced expression sinkValue is @Nullable	        if (sinkValue.startsWith("conductor")) {	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Event.java:134	d91b3bad61217394e8364683def32c1ea10c84cd
7	DEREFERENCE_NULLABLE	dereferenced expression exclusiveTask is @Nullable	                task.setOutputData(exclusiveTask.getOutputData());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:117	ae5b0112bac24ec60ffc36d505a3dff7f47a7a6e
8	DEREFERENCE_NULLABLE	dereferenced expression joinOn is @Nullable	                    joinOn.stream()	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:53	5d566ee400180157d66d7c406b76bd67db50c155
10	DEREFERENCE_NULLABLE	dereferenced expression evaluator is @Nullable	            Object evalResult = evaluator.evaluate(expression, taskInput);	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Inline.java:81	946d49ade947c3918e55d8f64b7c0336fdb9d340
11	DEREFERENCE_NULLABLE	dereferenced expression joinOn is @Nullable	                    joinOn.stream()	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Join.java:46	e11c2f170f3421260b5f83c92d474376e281c97c
13	DEREFERENCE_NULLABLE	dereferenced expression input.get("subWorkflowName") is @Nullable	        String name = input.get("subWorkflowName").toString();	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/SubWorkflow.java:53	ece64d52a197d88f00dfa9a700c3873a908950e5
14	UNBOX_NULLABLE	unboxing of a @Nullable value - input.get("subWorkflowVersion")	        int version = (int) input.get("subWorkflowVersion");	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/SubWorkflow.java:54	5f72e67c088f586e9c1ca2193c099cd2ad7e7083
15	DEREFERENCE_NULLABLE	dereferenced expression paramString is @Nullable	        String[] values = paramString.split("(?=(?<!\\\\$)\\\\$\\\\{)|(?<=})");	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/utils/ParametersUtils.java:227	c383544ad2e71902f39d10cbd8fb5cb3a3d3ba2c
16	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields taskDefs (line 51), workflowDefs (line 52) are initialized along all control-flow paths (remember to check for exceptions or early returns).	    public WorkflowMonitor(	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/metrics/WorkflowMonitor.java:54	d8fcb5e4a1af8acc435e419821bf3e164d92a18a
22	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	        return createTime;	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/model/WorkflowModel.java:388	3968ac559084ede05661821f9b10830702170dd5
24	DEREFERENCE_NULLABLE	dereferenced expression task is @Nullable	            Monitors.recordAckTaskError(task.getTaskType());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/service/TaskServiceImpl.java:174	194183f9b3bfa9e889bd2943f0379d9f27531897
