ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression ((GroovyBeanDefinitionReader) this.groovyReader) is @Nullable	\t\t\t((GroovyBeanDefinitionReader) this.groovyReader).beans(loader.getBeans());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/BeanDefinitionLoader.java:166	11ef1a8ea3c6d3585eb6ce351cd09a750ee29de0
2	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	\t\tthis.mainApplicationClass = deduceMainApplicationClass();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:281	1f09045b44dd5332a7ef50d1cae9d58292be78c2
3	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields mainApplicationClass (line 194), initializers (line 222), listeners (line 224) are initialized along all control-flow paths (remember to check for exceptions or early returns).	\t@SuppressWarnings({ "unchecked", "rawtypes" })	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:271	94c0bc5b91bad08db6a38b270429ab31c230a0de
4	DEREFERENCE_NULLABLE	dereferenced expression context is @Nullable	\t\t\tcontext.setApplicationStartup(this.applicationStartup);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:313	5b20fe5fe9c7b1e246c8118b9950927d20ccd9df
5	DEREFERENCE_NULLABLE	dereferenced expression context is @Nullable	\t\t\t\t\t\t\t\t+ context.getClass().getName());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplicationAotProcessor.java:113	2c2e61a8c3dd20ef973791fc2a97d42626c4beac
6	DEREFERENCE_NULLABLE	dereferenced expression ex is @Nullable	\t\tString message = ex.getMessage();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringBootExceptionHandler.java:92	de6f3d9494a442cee1b3fee3bddf6fe75168cbc2
7	METHOD_NO_INIT	initializer method does not guarantee @NonNull field applicationContext (line 59) is initialized along all control-flow paths (remember to check for exceptions or early returns).	\tpublic SpringApplicationAdminMXBeanRegistrar(String name) throws MalformedObjectNameException {	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/admin/SpringApplicationAdminMXBeanRegistrar.java:68	08963ae334b9b1f9a7da10f7068a7825c39e0e77
8	DEREFERENCE_NULLABLE	dereferenced expression ((ListableBeanFactory) this.beanFactory) is @Nullable	\t\t\tdelegates = ((ListableBeanFactory) this.beanFactory).getBeansOfType(TypeExcludeFilter.class).values();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/TypeExcludeFilter.java:79	4982d2afc07825980a9fea38b5db20372b8beaf3
9	DEREFERENCE_NULLABLE	dereferenced expression profiles is @Nullable	\t\tthis.logger.trace(LogMessage.format("Setting default profiles: %s", profiles.getDefault()));	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironment.java:333	11ed1225271f2628e2b44055d030a7205dde6f57
10	DEREFERENCE_NULLABLE	dereferenced expression before is @Nullable	\t\tList<ConfigDataEnvironmentContributor> updatedBefore = new ArrayList<>(before.size());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java:284	128f129999a9ea60133edef5ccbd0de96ee0d192
11	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn result;	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLoaders.java:115	d55d877242591cdaf931768ec73739b3086b6637
12	DEREFERENCE_NULLABLE	dereferenced expression of(values[i]) is @Nullable	\t\t\tresult[i] = of(values[i]).withOrigin(getOrigin());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLocation.java:123	29ccbdc46fe9c6d3a8952c351121b1720b684dd2
13	DEREFERENCE_NULLABLE	dereferenced expression propertySource is @Nullable	\t\tmessage.append(propertySource.getName());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/InactiveConfigDataAccessException.java:67	58fa554f9f997fba4e4d1cea21f102b44b69589c
14	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn this.directory;	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/StandardConfigDataReference.java:76	5e1126f8bc94d91a9e830c8de596fa9b07284824
15	DEREFERENCE_NULLABLE	dereferenced expression system is @Nullable	\t\t\t\tsystem.setLogLevel(name, level);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:418	98714fa26627b945d5a0afa1dead8913950335d1
16	PASS_NULLABLE	passing @Nullable parameter 'this.loggingSystem' where @NonNull is required	\t\tinitializeSystem(environment, this.loggingSystem, this.logFile);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:303	cebddafd47ff55954fda5860b370076cc5af52bb
17	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	\t\tthis.loggingSystem.beforeInitialize();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	2092a7b7d5644b7f2fea6531515cb8b190a74b21
18	DEREFERENCE_NULLABLE	dereferenced expression loggingSystem is @Nullable	\t\t\tRunnable shutdownHandler = loggingSystem.getShutdownHandler();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:428	015c1fcb6b454199ca5047f7ef112ed3cffdba77
19	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\t\treturn null;	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBean.java:279	c7e5f7ffcf8908f775cbf132ffaa09d653154465
