ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression ((GroovyBeanDefinitionReader) this.groovyReader) is @Nullable	\t\t\t((GroovyBeanDefinitionReader) this.groovyReader).beans(loader.getBeans());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/BeanDefinitionLoader.java:166	d607efe800aea9f4be77447b66b21f803cbae595
2	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	\t\tthis.mainApplicationClass = deduceMainApplicationClass();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:281	7f3a4fb681112fa6e94fec14718795ea017f9a8c
3	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields mainApplicationClass (line 194), initializers (line 222), listeners (line 224) are initialized along all control-flow paths (remember to check for exceptions or early returns).	\t@SuppressWarnings({ "unchecked", "rawtypes" })	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:271	8bd61e51db42287cd796394f5a60715627735d09
4	DEREFERENCE_NULLABLE	dereferenced expression context is @Nullable	\t\t\tcontext.setApplicationStartup(this.applicationStartup);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:313	b92734cd003b069fd3bf1bf19c1214b786811041
5	DEREFERENCE_NULLABLE	dereferenced expression context is @Nullable	\t\t\t\t\t\t\t\t+ context.getClass().getName());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplicationAotProcessor.java:113	8d759ba1c88d4c4ae89dfa5b3e9bbb49d14e9dfb
6	DEREFERENCE_NULLABLE	dereferenced expression ex is @Nullable	\t\tString message = ex.getMessage();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringBootExceptionHandler.java:92	a817690e550ebfcea12e90614606a509994eb447
7	METHOD_NO_INIT	initializer method does not guarantee @NonNull field applicationContext (line 59) is initialized along all control-flow paths (remember to check for exceptions or early returns).	\tpublic SpringApplicationAdminMXBeanRegistrar(String name) throws MalformedObjectNameException {	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/admin/SpringApplicationAdminMXBeanRegistrar.java:68	ec294f8896a0639e7bd25ba86fd74e58d9c9333b
8	DEREFERENCE_NULLABLE	dereferenced expression ((ListableBeanFactory) this.beanFactory) is @Nullable	\t\t\tdelegates = ((ListableBeanFactory) this.beanFactory).getBeansOfType(TypeExcludeFilter.class).values();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/TypeExcludeFilter.java:79	d36612e41bdceece82b4f49d4ce052df6ace7838
9	DEREFERENCE_NULLABLE	dereferenced expression profiles is @Nullable	\t\tthis.logger.trace(LogMessage.format("Setting default profiles: %s", profiles.getDefault()));	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironment.java:333	18a88a523924d98f64de5df28767f4a602ef6f3a
10	DEREFERENCE_NULLABLE	dereferenced expression before is @Nullable	\t\tList<ConfigDataEnvironmentContributor> updatedBefore = new ArrayList<>(before.size());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java:284	f66ea1c6c1cc90c5e01295034ddbb4935abdc10f
