ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	2	0	0	0	0	0.000000	openai/gpt-5.1
2	2	0	0	0	0	0.000000	openai/gpt-5.1
3	2	1452	0	1557	3009	0.017385	openai/gpt-5.1
4	3	0	0	0	0	0.000000	openai/gpt-5.1
5	2	919	0	398	1317	0.005129	openai/gpt-5.1
6	3	0	0	0	0	0.000000	openai/gpt-5.1
7	2	856	0	384	1240	0.004910	openai/gpt-5.1
8	3	0	0	0	0	0.000000	openai/gpt-5.1
9	2	1099	0	643	1742	0.007804	openai/gpt-5.1
10	3	0	0	0	0	0.000000	openai/gpt-5.1
11	2	0	0	0	0	0.000000	openai/gpt-5.1
12	2	0	0	0	0	0.000000	openai/gpt-5.1
13	2	0	0	0	0	0.000000	openai/gpt-5.1
