ID	TYPE	Message	EXPRESSION	PATH	HASH
1	FIELD_NO_INIT	@NonNull static field app not initialized	  public static Application app;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:33	e18e129517029d900efbf8625c090a05e33ea460
2	FIELD_NO_INIT	@NonNull static field audio not initialized	  public static Audio audio;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:35	5d69ba8ca0b29dfec810e21dcc9582adb239355e
3	FIELD_NO_INIT	@NonNull static field files not initialized	  public static Files files;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:37	5e2318ffe753b2f6d9935fd43289c07127c6a9f0
4	FIELD_NO_INIT	@NonNull static field gl not initialized	  public static GL20 gl;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:40	4e57f161b5cc37eb301165a19788344618af9e96
5	FIELD_NO_INIT	@NonNull static field gl20 not initialized	  public static GL20 gl20;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:41	1c9dff80adea9415b944446e8c1a59d8e8588621
6	FIELD_NO_INIT	@NonNull static field gl30 not initialized	  public static GL30 gl30;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:42	87fe7fa8a08572cf05b7a8520e6d2e553b9bdf2b
7	FIELD_NO_INIT	@NonNull static field graphics not initialized	  public static Graphics graphics;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:34	8b2c66d98fe6c2d2b8e298023db6144048a104e7
8	FIELD_NO_INIT	@NonNull static field input not initialized	  public static Input input;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:36	9ef338086d26440505ebea49189430ac3f785166
9	DEREFERENCE_NULLABLE	dereferenced expression keyNames is @Nullable	      return keyNames.get(keyname, -1);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Input.java:639	9425be9437cbeeea98613aea3ebd9c82d21b84c1
10	DEREFERENCE_NULLABLE	dereferenced expression loadFuture is @Nullable	    else if (loadFuture.isDone()) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetLoadingTask.java:153	05774d137c3de181cfc2e8e6b429a0796523b028
11	DEREFERENCE_NULLABLE	dereferenced expression assetDescriptor is @Nullable	    return get(assetDescriptor.fileName, assetDescriptor.type, true);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetManager.java:207	6b8cf14dedb2e97435a549bb0fdda9f60244cfe9
12	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return get(assetDescriptor.fileName, assetDescriptor.type, true);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetManager.java:207	5f3fab9cb438a7f809fbb4a268c6650c66ec0359
13	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return get(fileName, type, true);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetManager.java:160	a1d3a4a3b0de9a0ecf0755e1c729af460e67a705
