ID	TYPE	Message	EXPRESSION	PATH	HASH
1	FIELD_NO_INIT	@NonNull static field gameLoop not initialized	  private static GameLoop gameLoop;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/Game.java:85	b4983fd181d747018d7430b0bbd4011f271acd1e
2	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    gameLoop = null;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/Game.java:636	e74f0c4c3561b0e10947ec3c7d64813f80e4d674
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return gameWindow;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/Game.java:268	c0188da8a260c65318690b2b099a5583673a0a4a
4	DEREFERENCE_NULLABLE	dereferenced expression Game.info() is @Nullable	      this.hostControl.setTitle(Game.info().getTitle());	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:73	09bf6b115680b797f9e0ba6519c296c3e8ec6dc3
5	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.resolution;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:205	67913db1fc08fd50beaef787dc59dbaa2fa2b2ea
6	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return null;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/attributes/AttributeModifier.java:131	4ed55e3710dfcccd74cc0a06fdfda05fcf4355ec
7	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.collisionBox;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/CollisionEntity.java:91	4aeb6e80006b0c1bf39840a4b03030af3019c1fa
8	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.velocity;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Creature.java:159	b44826647adadafd4aa68e1d2f8a2d9037a1f771
9	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.environment;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Entity.java:501	63540d3cce69b1836ecfcb8aabbfcf28937d0bbd
10	DEREFERENCE_NULLABLE	dereferenced expression this.actions.get(actionName) is @Nullable	    this.actions.get(actionName).perform();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Entity.java:310	a62e52bd3ecc51a36f45300617ee71d32e67a0a3
11	DEREFERENCE_NULLABLE	dereferenced expression this.getEnvironment().getEntitiesByTag().get(tag) is @Nullable	    this.getEnvironment().getEntitiesByTag().get(tag).remove(this);	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Entity.java:422	21108ca245a90340063c86809d40e315c9546aa9
12	DEREFERENCE_NULLABLE	dereferenced expression controller is @Nullable	      controller.detach();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/EntityControllers.java:52	ce457c05fd393146f60a34c888a46c528e8b1978
13	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields sound (line 29), playback (line 30) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public SoundSource() {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/SoundSource.java:32	f62acc712678565bd29250d6c09c014f15164128
14	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields sound (line 29), playback (line 30) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public SoundSource(Sound sound) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/SoundSource.java:41	7b6c3ac5035770150674b59a5d65bcb907fa4340
