ID	TYPE	Message	EXPRESSION	PATH	HASH
1	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      this.mockitoOngoingStubbing = ongoingStubbing;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/BDDMockito.java:173	3892b3d15ecb86f9385321f221a3c0173155eb2c
3	DEREFERENCE_NULLABLE	dereferenced expression constructorArgs is @Nullable	    List<Object> resultArgs = new ArrayList<Object>(constructorArgs.length + 1);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/MockSettingsImpl.java:161	63cc65adbc23882625cba62a20c1662c18396258
6	DEREFERENCE_NULLABLE	dereferenced expression INSTRUMENTATION is @Nullable	        return INSTRUMENTATION.isModifiableClass(type) && !EXCLUDES.contains(type);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:476	79a694300f2dae31390f5220b30fec3825b0c750
7	DEREFERENCE_NULLABLE	dereferenced expression canRead is @Nullable	        if (!modules.contains(module) && !(Boolean) canRead.invoke(module, target)) {	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java:281	775bea50f01953049b0bd103967d90768d04d7d1
8	DEREFERENCE_NULLABLE	dereferenced expression getModule is @Nullable	          getModule.invoke(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java:274	207da298c93fd181e04416ef2821e88b0be17670
9	PASS_NULLABLE	passing @Nullable parameter 'cause' where @NonNull is required	              hideRecursiveCall(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodAdvice.java:329	5a2555b10db61488c782aa4796fcf97e55aa21ed
10	DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS\n        .get(identifier) is @Nullable	    return DISPATCHERS	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java:54	2b740eef0fe4a150235c0045cabeaeb08345b268
11	DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS.get(identifier) is @Nullable	    return DISPATCHERS.get(identifier).isConstructorMock(type);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java:43	57f29fef86d3725069f2f29f576a4cc02ffe83fc
15	DEREFERENCE_NULLABLE	dereferenced expression testClassInstance is @Nullable	    return testClassInstance.getClass().getSimpleName() + "." + testMethodName;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/junit/DefaultTestFinishedEvent.java:28	a8df0e0d2253270eccc5c3965ccf9b4072a38947
16	DEREFERENCE_NULLABLE	dereferenced expression message is @Nullable	        .append(message.trim())	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/junit/VerificationCollectorImpl.java:81	540b20730fc728fd774ae3339f4a4192084c718c
