ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression taskMappers\n                .getOrDefault(type, taskMappers.get(USER_DEFINED.name())) is @Nullable	        return taskMappers	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/DeciderService.java:867	8950ecb3281f7018b1335f4b80034f00abc9cbdc
2	DEREFERENCE_NULLABLE	dereferenced expression input is @Nullable	            String errorMsg = String.format("Input has to be a JSON object: %s", input.getClass());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/evaluators/ValueParamEvaluator.java:40	b43476f0068b0ad665a824b33f36b51235c55387
3	DEREFERENCE_NULLABLE	dereferenced expression resolvedParams.get("name") is @Nullable	        String subWorkflowName = resolvedParams.get("name").toString();	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/SubWorkflowTaskMapper.java:65	918ec7ae1b179c5b90926b67e9f316a5fe82ca1c
5	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields workflowModel (line 193), workflowTask (line 195), taskInput (line 196), deciderService (line 200) are initialized along all control-flow paths (remember to check for exceptions or early returns).	        private Builder() {}	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/TaskMapperContext.java:201	bb12bd76572d40944d26590921732c3c5710ee36
6	DEREFERENCE_NULLABLE	dereferenced expression sinkValue is @Nullable	        if (sinkValue.startsWith("conductor")) {	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Event.java:134	e21834e022ab9f1d4005db511afcf10800e57718
7	DEREFERENCE_NULLABLE	dereferenced expression exclusiveTask is @Nullable	                task.setOutputData(exclusiveTask.getOutputData());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:117	121acd06a06c6762861d1668d2ac9be78ed4301d
8	DEREFERENCE_NULLABLE	dereferenced expression joinOn is @Nullable	                    joinOn.stream()	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:53	99e847c7456eb29af84b8d1aa8adf384be3aa87d
10	DEREFERENCE_NULLABLE	dereferenced expression evaluator is @Nullable	            Object evalResult = evaluator.evaluate(expression, taskInput);	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Inline.java:81	f06f110a87ecf51261468b95e32279aa75ed2802
11	DEREFERENCE_NULLABLE	dereferenced expression joinOn is @Nullable	                    joinOn.stream()	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Join.java:46	5bedd603f421276cc747a833d1a6fe8f634a4d3b
13	DEREFERENCE_NULLABLE	dereferenced expression input.get("subWorkflowName") is @Nullable	        String name = input.get("subWorkflowName").toString();	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/SubWorkflow.java:53	1e1fb52b8689b53a6d3eee3dfc4e2c40e95db224
14	UNBOX_NULLABLE	unboxing of a @Nullable value - input.get("subWorkflowVersion")	        int version = (int) input.get("subWorkflowVersion");	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/SubWorkflow.java:54	727a71055a825b2424b091922153a57d4e189a6e
15	DEREFERENCE_NULLABLE	dereferenced expression paramString is @Nullable	        String[] values = paramString.split("(?=(?<!\\\\$)\\\\$\\\\{)|(?<=})");	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/utils/ParametersUtils.java:227	85583621b96d5506b67dafc8d7f511ef08187d20
16	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields taskDefs (line 51), workflowDefs (line 52) are initialized along all control-flow paths (remember to check for exceptions or early returns).	    public WorkflowMonitor(	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/metrics/WorkflowMonitor.java:54	e8852d350d1d0e8f904be1bea133cf3bfde3b53c
17	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	        return referenceTaskName;	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java:221	c886257ec8684a143091757744c0a105d45abaef
