ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression taskMappers\n                .getOrDefault(type, taskMappers.get(USER_DEFINED.name())) is @Nullable	        return taskMappers	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/DeciderService.java:867	42c235c35118294fb4f1fef9dea9f47454d83c67
2	DEREFERENCE_NULLABLE	dereferenced expression input is @Nullable	            String errorMsg = String.format("Input has to be a JSON object: %s", input.getClass());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/evaluators/ValueParamEvaluator.java:40	15cc7e8cd01fdd1162f3a8cb72269fc11610565e
3	DEREFERENCE_NULLABLE	dereferenced expression resolvedParams.get("name") is @Nullable	        String subWorkflowName = resolvedParams.get("name").toString();	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/SubWorkflowTaskMapper.java:65	ddba8e8e54be838ebdbc90a1935459ab5bdbd26c
4	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	        taskId = builder.taskId;	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/TaskMapperContext.java:44	cb46a7a583b4b747b279d9b0adcaafb7cd90ed5d
5	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields workflowModel (line 193), workflowTask (line 195), taskInput (line 196), deciderService (line 200) are initialized along all control-flow paths (remember to check for exceptions or early returns).	        private Builder() {}	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/TaskMapperContext.java:201	72eb5d0b90d8253a6b11c5638079c198fb9d8763
6	DEREFERENCE_NULLABLE	dereferenced expression sinkValue is @Nullable	        if (sinkValue.startsWith("conductor")) {	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Event.java:134	8c0e72002d1fd98f0f17a8eeb1b60e9f8c4c249f
7	DEREFERENCE_NULLABLE	dereferenced expression exclusiveTask is @Nullable	                task.setOutputData(exclusiveTask.getOutputData());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:117	5b103c0f5b4d617c9cdfba1210058c1cb4adfc9e
8	DEREFERENCE_NULLABLE	dereferenced expression joinOn is @Nullable	                    joinOn.stream()	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:53	509cc6ed2a0d382a9feaeee1a75776adeee69974
9	DEREFERENCE_NULLABLE	enhanced-for expression joinOn is @Nullable	        for (String joinOnRef : joinOn) {	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:58	0b1782c1b9b697edb8aaa5bfb43135911c8e6b94
10	DEREFERENCE_NULLABLE	dereferenced expression evaluator is @Nullable	            Object evalResult = evaluator.evaluate(expression, taskInput);	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Inline.java:81	ed43bffd2a6dd429f9687f55116660cdcc5fbe4f
11	DEREFERENCE_NULLABLE	dereferenced expression joinOn is @Nullable	                    joinOn.stream()	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Join.java:46	f1905c1601224fc27fd9b86e4967d0bb5b1f0c9e
12	DEREFERENCE_NULLABLE	enhanced-for expression joinOn is @Nullable	        for (String joinOnRef : joinOn) {	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Join.java:50	cc65295b119133ef882a21ee03443f543bbcfd97
13	DEREFERENCE_NULLABLE	dereferenced expression input.get("subWorkflowName") is @Nullable	        String name = input.get("subWorkflowName").toString();	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/SubWorkflow.java:53	c796947950102891be45e9fec4372b8b27f11c2a
