ID	TYPE	Message	EXPRESSION	PATH	HASH
2	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    gameLoop = null;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/Game.java:636	94d26086aa903532ec4098e6b546dcdef3bc4ec2
4	DEREFERENCE_NULLABLE	dereferenced expression Game.info() is @Nullable	      this.hostControl.setTitle(Game.info().getTitle());	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:73	d17790dc2832c50601418cb80470a59f4da8af31
5	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.resolution;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:205	a863132b92bf717e8a9dcb9f5bc1e91a1bb112af
6	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return null;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/attributes/AttributeModifier.java:131	8633516246cb80eb21f26233c278acae0582ac85
8	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.velocity;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Creature.java:159	aabd90d2a597395090eea6dab4792336b298ec7c
9	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.environment;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Entity.java:501	5d5edb2bbe65b4277048a4ea2c6b6b99979b7dec
10	DEREFERENCE_NULLABLE	dereferenced expression this.actions.get(actionName) is @Nullable	    this.actions.get(actionName).perform();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Entity.java:310	4dfb978621dbe2161b3eb4de45e642b6b418545d
11	DEREFERENCE_NULLABLE	dereferenced expression this.getEnvironment().getEntitiesByTag().get(tag) is @Nullable	    this.getEnvironment().getEntitiesByTag().get(tag).remove(this);	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Entity.java:422	54d8c1148517e03292ef458e0ff68af022abcbe9
12	DEREFERENCE_NULLABLE	dereferenced expression controller is @Nullable	      controller.detach();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/EntityControllers.java:52	184b3daef5e6c4782bc09ddd4fa0f6ce1ac93470
13	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields sound (line 29), playback (line 30) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public SoundSource() {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/SoundSource.java:32	46f421a4bbe74d4f86ff4898d5ac0b4bd6e057b9
14	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields sound (line 29), playback (line 30) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public SoundSource(Sound sound) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/SoundSource.java:41	f79d72f008e08d0b891d40f8bc93c57b3e979e61
15	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields sound (line 29), playback (line 30) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public SoundSource(double x, double y) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/SoundSource.java:62	302e2624840953ae01c527ef769e4991977301f3
16	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields sound (line 29), playback (line 30) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public SoundSource(String name) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/SoundSource.java:52	ac4d0cf1dfe3105c0db027ccad0f15b310c910ef
17	DEREFERENCE_NULLABLE	dereferenced expression shadowType is @Nullable	    if (shadowType.equals(StaticShadowType.DOWN)) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/StaticShadow.java:208	fe3f015b3a2bf04c6685e53ce2c46095ca0a5b08
18	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.getNode(point.getX(), point.getY());	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/behavior/AStarGrid.java:103	c5e6fec61abc8277ca5fea3408b0b4d278448aeb
19	DEREFERENCE_NULLABLE	dereferenced expression currentNode is @Nullable	      currentNode = currentNode.getPredecessor();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/behavior/AStarPathFinder.java:186	123df177fbc5897d0f9b2b46c8f82c5c4b04c006
20	DEREFERENCE_NULLABLE	dereferenced expression this.currentState is @Nullable	        this.currentState.enter();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/behavior/StateMachine.java:40	a97afdfefb72642256374556a785f4c4905e0eb5
21	DEREFERENCE_NULLABLE	dereferenced expression spriteSheet is @Nullable	        if (prefix != null && spriteSheet.equalsIgnoreCase(prefix)) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/CreatureMapObjectLoader.java:85	8dbffc718e5b7326b11c4a61638849574248708a
22	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.spawnpoints;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/EntitySpawner.java:104	425a61b3d361ab90f4f9f99d31b1cb2713f05f63
23	DEREFERENCE_NULLABLE	dereferenced expression spawnpoint is @Nullable	    if (spawnpoint.getEnvironment() == null || !spawnpoint.getEnvironment().isLoaded()) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/EntitySpawner.java:198	71c2325b2de7e2493ca154e434b9289392f2914e
24	DEREFERENCE_NULLABLE	dereferenced expression this.miscEntities.get(entity.getRenderType()) is @Nullable	    this.miscEntities.get(entity.getRenderType()).put(entity.getMapId(), entity);	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:327	1e2722e93f07ed5c8b1ccf63bb43245765aa9679
25	DEREFERENCE_NULLABLE	dereferenced expression this.renderables.get(renderType) is @Nullable	    this.renderables.get(renderType).add(renderable);	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:412	ddd45145831ce222878319ee391faec4655599e3
26	DEREFERENCE_NULLABLE	dereferenced expression entity.movement() is @Nullable	      entity.movement().apply(force);	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:2385	9223a551d07e68336c0c450bd199af325a76dfcb
27	DEREFERENCE_NULLABLE	dereferenced expression this.miscEntities.get(renderType) is @Nullable	      this.miscEntities.get(renderType).clear();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:456	5e731d723ac52d320c768034d67b72bb66cb3596
28	DEREFERENCE_NULLABLE	dereferenced expression this.renderListeners.get(renderType) is @Nullable	      this.renderListeners.get(renderType).clear();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:457	087c478096719c6c5d31512cf37876a35a5d794e
29	DEREFERENCE_NULLABLE	dereferenced expression this.renderables.get(renderType) is @Nullable	      this.renderables.get(renderType).clear();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:458	e0e3020d8ec3c0a05598b6085f0be2e7df6835fb
