ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	78903	False
2	True	False	True	True	False	130092	False
3	True	False	True	True	False	36173	False
4	True	False	True	False	True	64887	False
5	True	False	True	True	False	85803	False
6	True	False	True	True	False	46293	False
7	True	True	False	False	False	81457	False
8	True	True	False	False	False	76738	False
9	True	False	True	True	False	67068	False
10	True	False	True	False	True	48376	False
11	True	False	True	True	False	164756	False
12	True	False	True	True	False	39005	False
13	True	False	True	False	True	38362	False
14	True	False	True	True	False	90242	False
15	False	False	False	False	False	39858	False
16	True	False	True	True	False	44895	False
17	True	False	True	True	False	66080	False
18	True	False	True	True	False	104884	False
19	True	False	True	True	False	33652	False
20	True	False	True	True	False	79211	False
21	True	False	True	True	False	34368	False
22	True	False	True	True	False	55948	False
23	True	False	True	True	False	35529	False
24	True	False	True	True	False	32514	False
25	True	False	True	True	False	59204	False
26	True	False	True	True	False	67041	False
27	True	False	True	True	False	51559	False
28	True	True	False	False	False	118655	False
29	True	False	True	True	False	36980	False
30	True	False	True	True	False	124687	False
31	True	False	True	True	False	30627	False
32	True	False	True	True	False	40315	False
33	True	False	True	True	False	52050	False
34	True	False	True	True	False	59489	False
35	True	False	True	True	False	67571	False
36	True	False	True	True	False	74922	False
37	False	False	False	False	False	93454	False
38	True	False	True	True	False	39954	False
39	True	False	True	False	True	65157	False
40	True	False	True	True	False	86676	False
41	True	False	True	True	False	37886	False
42	True	False	True	True	False	33014	False
43	True	False	True	True	False	32748	False
44	True	False	True	True	False	101429	False
45	True	False	True	True	False	70219	False
46	True	False	True	True	False	44912	False
47	True	False	True	True	False	53337	False
48	True	False	True	True	False	50269	False
49	True	False	True	True	False	68089	False
50	True	False	True	True	False	92974	False
51	True	False	True	True	False	78101	False
52	True	False	True	True	False	39485	False
53	True	True	False	False	False	97581	False
54	True	False	True	True	False	53937	False
55	True	False	True	True	False	36373	False
56	True	True	False	False	False	76047	False
57	True	False	True	True	False	33993	False
58	True	True	False	False	False	90687	False
59	True	False	True	True	False	59656	False
60	True	False	True	True	False	35286	False
61	True	False	True	True	False	88376	False
62	False	False	False	False	False	126859	False
63	True	False	True	True	False	38357	False
64	True	False	True	True	False	41896	False
65	True	False	True	True	False	47310	False
66	True	False	True	True	False	47040	False
67	True	False	True	True	False	144286	False
68	True	False	True	True	False	61443	False
69	True	False	True	True	False	35685	False
70	False	False	False	False	False	246687	False
71	True	False	True	True	False	56056	False
72	True	False	True	False	True	45369	False
73	True	False	True	True	False	53978	False
