ID	TYPE	Message	EXPRESSION	PATH	HASH
1	FIELD_NO_INIT	@NonNull static field gameLoop not initialized	  private static GameLoop gameLoop;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/Game.java:85	0702e68deae25cebb37137abf3c0dd046f93cb77
2	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    gameLoop = null;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/Game.java:636	180da4ccdc18e782f77b5353a85e55b917248a9a
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return gameWindow;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/Game.java:268	df8107dab7ffe9405f80c6ed16870105b59e329b
4	DEREFERENCE_NULLABLE	dereferenced expression Game.info() is @Nullable	      this.hostControl.setTitle(Game.info().getTitle());	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:73	3192bbb2a2fa8890f9f5632927793cb1ea54da7a
5	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.resolution;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:205	7f113d399a53bf07f6c8449df5ec0663333a150b
6	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return null;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/attributes/AttributeModifier.java:131	bddfec8f292e94a0bfb342dea94264135f67b9ea
7	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.collisionBox;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/CollisionEntity.java:91	4ae1dc7f7ab3630928820e85c5e011c81418713a
8	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.velocity;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Creature.java:159	3824ea8ef2956a625694cabb481150115e9df3ad
9	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.environment;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Entity.java:501	a5dc1cc7afad5b8d42e414cafe9d65f2d3dcc036
10	DEREFERENCE_NULLABLE	dereferenced expression this.actions.get(actionName) is @Nullable	    this.actions.get(actionName).perform();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Entity.java:310	cc2792263a010ac6d722654b592bb2f16dde7927
11	DEREFERENCE_NULLABLE	dereferenced expression this.getEnvironment().getEntitiesByTag().get(tag) is @Nullable	    this.getEnvironment().getEntitiesByTag().get(tag).remove(this);	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Entity.java:422	97d099a46b7b34c38612cea9ab41922769a1778c
12	DEREFERENCE_NULLABLE	dereferenced expression controller is @Nullable	      controller.detach();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/EntityControllers.java:52	0a3ad900d19018018e95bff1cc98647fcd8fd188
13	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields sound (line 29), playback (line 30) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public SoundSource() {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/SoundSource.java:32	033a46260bae984d5197bbb5f470eac1c950bda5
14	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields sound (line 29), playback (line 30) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public SoundSource(Sound sound) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/SoundSource.java:41	3df63cdb7f0a6ea1b32ef0eefabfbd0c94b23bba
15	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields sound (line 29), playback (line 30) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public SoundSource(double x, double y) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/SoundSource.java:62	fab5408229517e93f6d3ded4ed9704befd88ee5f
16	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields sound (line 29), playback (line 30) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public SoundSource(String name) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/SoundSource.java:52	c8be274ccd539c08ef60c569fcc8779b86d436b0
17	DEREFERENCE_NULLABLE	dereferenced expression shadowType is @Nullable	    if (shadowType.equals(StaticShadowType.DOWN)) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/StaticShadow.java:208	35fc870d2ebd8268b85dc4de62d026e928cb3501
18	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.getNode(point.getX(), point.getY());	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/behavior/AStarGrid.java:103	133ae7a32c3a16bcac87494cd0a0f8baff6cdac3
19	DEREFERENCE_NULLABLE	dereferenced expression currentNode is @Nullable	      currentNode = currentNode.getPredecessor();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/behavior/AStarPathFinder.java:186	c42b6b0fd83ff402cb91f866afdbb2ed4aaf9914
20	DEREFERENCE_NULLABLE	dereferenced expression this.currentState is @Nullable	        this.currentState.enter();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/behavior/StateMachine.java:40	aa2e62e2d51d4ec01e230e0f8dc630280dad5813
21	DEREFERENCE_NULLABLE	dereferenced expression spriteSheet is @Nullable	        if (prefix != null && spriteSheet.equalsIgnoreCase(prefix)) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/CreatureMapObjectLoader.java:85	e4ff1b1bb8804427189af5d5286e93700389f9c6
22	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.spawnpoints;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/EntitySpawner.java:104	19e39be380d5654747a25efa18a385ed0747ce4c
23	DEREFERENCE_NULLABLE	dereferenced expression spawnpoint is @Nullable	    if (spawnpoint.getEnvironment() == null || !spawnpoint.getEnvironment().isLoaded()) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/EntitySpawner.java:198	135620517869d34a1cd090df278e6e99817e49da
24	DEREFERENCE_NULLABLE	dereferenced expression this.miscEntities.get(entity.getRenderType()) is @Nullable	    this.miscEntities.get(entity.getRenderType()).put(entity.getMapId(), entity);	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:327	69d46d666f50e6607be23b91a58fa93549d3caed
25	DEREFERENCE_NULLABLE	dereferenced expression this.renderables.get(renderType) is @Nullable	    this.renderables.get(renderType).add(renderable);	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:412	2c861ac1396254238e3928642301308d378b82c9
