ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	71123	False
2	True	False	True	True	False	32017	False
3	True	False	True	True	False	28808	False
4	False	False	False	False	False	56408	False
5	True	False	True	True	False	140891	False
6	True	False	True	True	False	34350	False
7	True	False	True	True	False	60215	False
8	True	False	True	True	False	30143	False
9	True	False	True	True	False	29383	False
10	True	False	True	True	False	55797	False
11	True	False	True	True	False	38297	False
12	True	False	True	True	False	74486	False
13	True	True	False	False	False	204205	False
14	True	False	True	True	False	44001	False
15	True	False	True	True	False	68399	False
16	True	False	True	True	False	89676	False
17	True	False	True	True	False	323023	True
18	True	False	True	True	False	29716	False
19	True	False	True	True	False	31463	False
20	True	False	True	True	False	94605	False
21	True	False	True	True	False	90956	False
22	True	False	True	True	False	29540	False
23	True	False	True	False	True	149079	True
24	True	False	True	True	False	118734	False
25	True	False	True	True	False	117233	False
26	True	False	True	True	False	74443	False
27	True	False	True	True	False	31518	False
28	True	False	True	True	False	27420	False
29	True	False	True	True	False	69967	False
30	True	False	True	True	False	82374	False
31	False	False	False	False	False	128849	False
32	True	False	True	True	False	47882	False
