ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	51	959	0	526	1485	0.006459	openai/gpt-5.1
2	5	0	0	0	0	0.000000	openai/gpt-5.1
3	4	0	0	0	0	0.000000	openai/gpt-5.1
4	21	0	0	0	0	0.000000	openai/gpt-5.1
5	51	0	0	0	0	0.000000	openai/gpt-5.1
6	37	0	0	0	0	0.000000	openai/gpt-5.1
7	51	0	0	0	0	0.000000	openai/gpt-5.1
8	51	0	0	0	0	0.000000	openai/gpt-5.1
9	2	0	0	0	0	0.000000	openai/gpt-5.1
10	2	0	0	0	0	0.000000	openai/gpt-5.1
11	4	0	0	0	0	0.000000	openai/gpt-5.1
12	21	2037	0	1636	3673	0.018906	openai/gpt-5.1
13	12	2438	0	1035	3473	0.013398	openai/gpt-5.1
14	2	0	0	0	0	0.000000	openai/gpt-5.1
15	6	0	0	0	0	0.000000	openai/gpt-5.1
16	6	2132	0	740	2872	0.010065	openai/gpt-5.1
17	2	0	0	0	0	0.000000	openai/gpt-5.1
18	3	0	0	0	0	0.000000	openai/gpt-5.1
19	1	577	0	174	751	0.002461	openai/gpt-5.1
20	51	118447	9984	9234	137665	0.241647	openai/gpt-5.1
21	3	0	0	0	0	0.000000	openai/gpt-5.1
22	3	0	0	0	0	0.000000	openai/gpt-5.1
23	5	0	0	0	0	0.000000	openai/gpt-5.1
24	25	0	0	0	0	0.000000	openai/gpt-5.1
25	1	0	0	0	0	0.000000	openai/gpt-5.1
26	2	1574	0	708	2282	0.009048	openai/gpt-5.1
27	2	899	0	406	1305	0.005184	openai/gpt-5.1
28	2	903	0	339	1242	0.004519	openai/gpt-5.1
29	1	0	0	0	0	0.000000	openai/gpt-5.1
30	0	0	0	0	0	0.000000	openai/gpt-5.1
31	0	0	0	0	0	0.000000	openai/gpt-5.1
32	1	0	0	0	0	0.000000	openai/gpt-5.1
33	30	18897	0	6503	25400	0.088651	openai/gpt-5.1
34	3	0	0	0	0	0.000000	openai/gpt-5.1
35	3	0	0	0	0	0.000000	openai/gpt-5.1
36	4	0	0	0	0	0.000000	openai/gpt-5.1
37	5	0	0	0	0	0.000000	openai/gpt-5.1
38	12	0	0	0	0	0.000000	openai/gpt-5.1
39	13	5009	0	1774	6783	0.024001	openai/gpt-5.1
40	5	0	0	0	0	0.000000	openai/gpt-5.1
41	2	0	0	0	0	0.000000	openai/gpt-5.1
42	3	0	0	0	0	0.000000	openai/gpt-5.1
43	2	0	0	0	0	0.000000	openai/gpt-5.1
44	5	7738	0	3244	10982	0.042113	openai/gpt-5.1
45	1	0	0	0	0	0.000000	openai/gpt-5.1
46	5	5171	0	1506	6677	0.021524	openai/gpt-5.1
47	1	0	0	0	0	0.000000	openai/gpt-5.1
48	3	0	0	0	0	0.000000	openai/gpt-5.1
49	2	897	0	399	1296	0.005111	openai/gpt-5.1
50	6	0	0	0	0	0.000000	openai/gpt-5.1
51	3	0	0	0	0	0.000000	openai/gpt-5.1
52	2	869	0	305	1174	0.004136	openai/gpt-5.1
53	10	0	0	0	0	0.000000	openai/gpt-5.1
54	5	3296	0	644	3940	0.010560	openai/gpt-5.1
55	20	13577	0	2484	16061	0.041811	openai/gpt-5.1
56	1	0	0	0	0	0.000000	openai/gpt-5.1
57	24	552	0	145	697	0.002140	openai/gpt-5.1
58	1	0	0	0	0	0.000000	openai/gpt-5.1
59	25	17896	0	4650	22546	0.068870	openai/gpt-5.1
60	2	0	0	0	0	0.000000	openai/gpt-5.1
61	2	3967	0	2488	6455	0.029839	openai/gpt-5.1
62	6	7171	0	1015	8186	0.019114	openai/gpt-5.1
63	4	0	0	0	0	0.000000	openai/gpt-5.1
64	51	602	0	190	792	0.002653	openai/gpt-5.1
65	51	0	0	0	0	0.000000	openai/gpt-5.1
66	51	0	0	0	0	0.000000	openai/gpt-5.1
67	4	9881	1920	1703	13504	0.029621	openai/gpt-5.1
68	51	0	0	0	0	0.000000	openai/gpt-5.1
69	1	0	0	0	0	0.000000	openai/gpt-5.1
70	1	0	0	0	0	0.000000	openai/gpt-5.1
71	4	0	0	0	0	0.000000	openai/gpt-5.1
72	1	0	0	0	0	0.000000	openai/gpt-5.1
73	1	0	0	0	0	0.000000	openai/gpt-5.1
74	1	0	0	0	0	0.000000	openai/gpt-5.1
75	1	0	0	0	0	0.000000	openai/gpt-5.1
76	36	10219	0	4044	14263	0.053214	openai/gpt-5.1
77	51	61252	0	14093	75345	0.217495	openai/gpt-5.1
78	1	0	0	0	0	0.000000	openai/gpt-5.1
79	1	0	0	0	0	0.000000	openai/gpt-5.1
80	6	0	0	0	0	0.000000	openai/gpt-5.1
81	4	2479	0	1424	3903	0.017339	openai/gpt-5.1
82	1	0	0	0	0	0.000000	openai/gpt-5.1
83	1	0	0	0	0	0.000000	openai/gpt-5.1
84	10	0	0	0	0	0.000000	openai/gpt-5.1
85	3	0	0	0	0	0.000000	openai/gpt-5.1
86	6	0	0	0	0	0.000000	openai/gpt-5.1
87	8	0	0	0	0	0.000000	openai/gpt-5.1
88	4	0	0	0	0	0.000000	openai/gpt-5.1
89	4	0	0	0	0	0.000000	openai/gpt-5.1
90	7	0	0	0	0	0.000000	openai/gpt-5.1
91	2	0	0	0	0	0.000000	openai/gpt-5.1
92	4	907	0	926	1833	0.010394	openai/gpt-5.1
93	51	0	0	0	0	0.000000	openai/gpt-5.1
94	2	0	0	0	0	0.000000	openai/gpt-5.1
95	2	1222	0	822	2044	0.009748	openai/gpt-5.1
96	17	1873	0	800	2673	0.010341	openai/gpt-5.1
97	1	0	0	0	0	0.000000	openai/gpt-5.1
98	12	1098	0	689	1787	0.008263	openai/gpt-5.1
99	4	7106	0	1784	8890	0.026722	openai/gpt-5.1
100	4	7227	0	2273	9500	0.031764	openai/gpt-5.1
101	4	3777	0	2532	6309	0.030041	openai/gpt-5.1
102	1	0	0	0	0	0.000000	openai/gpt-5.1
103	51	4130	0	2147	6277	0.026633	openai/gpt-5.1
104	51	0	0	0	0	0.000000	openai/gpt-5.1
