ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression ((GroovyBeanDefinitionReader) this.groovyReader) is @Nullable	\t\t\t((GroovyBeanDefinitionReader) this.groovyReader).beans(loader.getBeans());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/BeanDefinitionLoader.java:166	e70bdeabaf96f6224ace5e767a9d8df6028e40b9
2	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	\t\tthis.mainApplicationClass = deduceMainApplicationClass();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:281	520637b194522bf5b84c108876ebb3d58b830bdc
6	DEREFERENCE_NULLABLE	dereferenced expression ex is @Nullable	\t\tString message = ex.getMessage();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringBootExceptionHandler.java:92	1895964db21d568a38c0859e094575b258feae0c
9	DEREFERENCE_NULLABLE	dereferenced expression profiles is @Nullable	\t\tthis.logger.trace(LogMessage.format("Setting default profiles: %s", profiles.getDefault()));	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironment.java:333	ffa412fdb6d8c5804d65fbd94fbb6dfddd38f50c
10	DEREFERENCE_NULLABLE	dereferenced expression before is @Nullable	\t\tList<ConfigDataEnvironmentContributor> updatedBefore = new ArrayList<>(before.size());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java:284	c76671dfaf3817660db3da7ff59260351cdb75bc
13	DEREFERENCE_NULLABLE	dereferenced expression propertySource is @Nullable	\t\tmessage.append(propertySource.getName());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/InactiveConfigDataAccessException.java:67	a3aa0e44ae5a36646427630461c43f15d99e94d5
14	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn this.directory;	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/StandardConfigDataReference.java:76	70b2d37c79049c07c401c48e9fa371fa699bc3d8
15	DEREFERENCE_NULLABLE	dereferenced expression system is @Nullable	\t\t\t\tsystem.setLogLevel(name, level);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:418	35c2fc3c2a15f1602397dbb41d3d9add364a3a63
16	PASS_NULLABLE	passing @Nullable parameter 'this.loggingSystem' where @NonNull is required	\t\tinitializeSystem(environment, this.loggingSystem, this.logFile);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:303	1dd14a7cd046a48e1a948a64449ddf51f9d56863
17	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	\t\tthis.loggingSystem.beforeInitialize();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	0b50055b15066035a1a8dbbb4b3304e1d8562d58
18	DEREFERENCE_NULLABLE	dereferenced expression loggingSystem is @Nullable	\t\t\tRunnable shutdownHandler = loggingSystem.getShutdownHandler();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:428	52036f381937389051c1cd6cdcf426ab77e4e994
19	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\t\treturn null;	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBean.java:279	0cc97625f33f9870f562a205d9cb96ef8bae9ae7
20	PASS_NULLABLE	passing @Nullable parameter 'this.applicationContext' where @NonNull is required	\t\t\treturn new ConfigurationPropertiesBinder(this.applicationContext);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBinder.java:237	26326a973cb21ed5d12d26f0016526f9e74fa1b3
21	NONNULL_FIELD_READ_BEFORE_INIT	read of @NonNull field applicationContext before initialization	\t\tthis.registry = (BeanDefinitionRegistry) this.applicationContext.getAutowireCapableBeanFactory();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBindingPostProcessor.java:69	420789fd8c4874c57c8aedea6a639f196cb62dfd
22	DEREFERENCE_NULLABLE	dereferenced expression injectionPoint is @Nullable	\t\t\tString simpleName = injectionPoint.getMember().getDeclaringClass().getSimpleName();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/NotConstructorBoundInjectionFailureAnalyzer.java:53	dfdbe42a2deb493bab16922a02d3f558a3da1877
25	DEREFERENCE_NULLABLE	dereferenced expression this.beanInfo is @Nullable	\t\t\tfor (PropertyDescriptor propertyDescriptor : this.beanInfo.getPropertyDescriptors()) {	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/BindableRuntimeHintsRegistrar.java:161	e61a6e5dffb12d959adc036fbb0af77eaf4d7f57
26	DEREFERENCE_NULLABLE	dereferenced expression this.bindConstructor is @Nullable	\t\t\tfor (int i = 0; i < this.bindConstructor.getParameterCount(); i++) {	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/BindableRuntimeHintsRegistrar.java:153	2661a61bafc0d6989b078effbc49b2ea3e58e5c6
28	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\t\t\t\treturn null;	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/DefaultBindConstructorProvider.java:152	abcfe63d9d37ab5377bebec5dd1b297eaa9cb5fc
