ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	0	0	0	0	0.000000	openai/gpt-5.1
2	1	0	0	0	0	0.000000	openai/gpt-5.1
3	1	0	0	0	0	0.000000	openai/gpt-5.1
4	1	0	0	0	0	0.000000	openai/gpt-5.1
5	1	0	0	0	0	0.000000	openai/gpt-5.1
6	1	0	0	0	0	0.000000	openai/gpt-5.1
7	1	0	0	0	0	0.000000	openai/gpt-5.1
8	1	0	0	0	0	0.000000	openai/gpt-5.1
9	1	0	0	0	0	0.000000	openai/gpt-5.1
10	1	0	0	0	0	0.000000	openai/gpt-5.1
11	1	0	0	0	0	0.000000	openai/gpt-5.1
12	1	0	0	0	0	0.000000	openai/gpt-5.1
13	1	0	0	0	0	0.000000	openai/gpt-5.1
14	1	0	0	0	0	0.000000	openai/gpt-5.1
15	1	419	0	111	530	0.001634	openai/gpt-5.1
16	1	419	0	110	529	0.001624	openai/gpt-5.1
17	1	401	0	112	513	0.001621	openai/gpt-5.1
18	1	407	0	110	517	0.001609	openai/gpt-5.1
19	1	0	0	0	0	0.000000	openai/gpt-5.1
20	1	0	0	0	0	0.000000	openai/gpt-5.1
21	1	0	0	0	0	0.000000	openai/gpt-5.1
22	1	0	0	0	0	0.000000	openai/gpt-5.1
23	1	0	0	0	0	0.000000	openai/gpt-5.1
24	1	484	0	155	639	0.002155	openai/gpt-5.1
25	1	0	0	0	0	0.000000	openai/gpt-5.1
26	1	0	0	0	0	0.000000	openai/gpt-5.1
27	1	0	0	0	0	0.000000	openai/gpt-5.1
28	1	0	0	0	0	0.000000	openai/gpt-5.1
29	1	504	0	250	754	0.003130	openai/gpt-5.1
30	1	464	0	126	590	0.001840	openai/gpt-5.1
31	1	489	0	130	619	0.001911	openai/gpt-5.1
32	1	491	0	261	752	0.003224	openai/gpt-5.1
33	1	457	0	134	591	0.001911	openai/gpt-5.1
34	1	494	0	132	626	0.001938	openai/gpt-5.1
35	1	0	0	0	0	0.000000	openai/gpt-5.1
36	1	430	0	204	634	0.002578	openai/gpt-5.1
37	1	0	0	0	0	0.000000	openai/gpt-5.1
38	1	0	0	0	0	0.000000	openai/gpt-5.1
39	1	0	0	0	0	0.000000	openai/gpt-5.1
40	1	0	0	0	0	0.000000	openai/gpt-5.1
41	1	0	0	0	0	0.000000	openai/gpt-5.1
42	1	0	0	0	0	0.000000	openai/gpt-5.1
43	1	631	0	330	961	0.004089	openai/gpt-5.1
44	1	0	0	0	0	0.000000	openai/gpt-5.1
45	1	0	0	0	0	0.000000	openai/gpt-5.1
46	1	0	0	0	0	0.000000	openai/gpt-5.1
47	1	730	0	499	1229	0.005903	openai/gpt-5.1
48	1	661	0	505	1166	0.005876	openai/gpt-5.1
49	1	657	0	509	1166	0.005911	openai/gpt-5.1
50	1	753	0	556	1309	0.006501	openai/gpt-5.1
51	1	0	0	0	0	0.000000	openai/gpt-5.1
52	1	0	0	0	0	0.000000	openai/gpt-5.1
53	1	738	0	498	1236	0.005903	openai/gpt-5.1
54	1	660	0	503	1163	0.005855	openai/gpt-5.1
55	1	656	0	493	1149	0.005750	openai/gpt-5.1
56	1	762	0	549	1311	0.006443	openai/gpt-5.1
57	1	0	0	0	0	0.000000	openai/gpt-5.1
58	1	0	0	0	0	0.000000	openai/gpt-5.1
59	1	0	0	0	0	0.000000	openai/gpt-5.1
60	1	492	0	75	567	0.001365	openai/gpt-5.1
61	1	427	0	75	502	0.001284	openai/gpt-5.1
62	1	425	0	99	524	0.001521	openai/gpt-5.1
63	1	0	0	0	0	0.000000	openai/gpt-5.1
64	1	444	0	81	525	0.001365	openai/gpt-5.1
65	1	460	0	193	653	0.002505	openai/gpt-5.1
66	1	477	0	75	552	0.001346	openai/gpt-5.1
67	1	453	0	92	545	0.001486	openai/gpt-5.1
68	1	0	0	0	0	0.000000	openai/gpt-5.1
69	1	450	0	79	529	0.001353	openai/gpt-5.1
70	1	458	0	175	633	0.002323	openai/gpt-5.1
71	1	0	0	0	0	0.000000	openai/gpt-5.1
72	1	0	0	0	0	0.000000	openai/gpt-5.1
73	1	0	0	0	0	0.000000	openai/gpt-5.1
