ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	false	true	67423	499
2	true	false	true	false	true	180916	454
3	true	false	true	false	true	141863	475
4	false	false	false	false	false	194174	2147483647
5	true	false	true	false	true	83665	817
6	true	false	true	false	true	58175	467
7	true	false	true	false	true	92731	510
8	true	false	true	false	true	76196	475
9	true	false	true	true	false	67807	452
10	true	false	true	true	false	75304	451
11	true	false	true	true	false	88902	450
12	true	false	true	true	false	298251	449
13	true	false	true	true	false	68967	448
14	true	false	true	true	false	57863	447
15	true	false	true	true	false	70572	446
16	true	false	true	true	false	91662	445
17	true	false	true	true	false	59282	444
18	true	false	true	true	false	78584	443
19	false	false	false	false	false	66537	2147483647
20	true	false	true	true	false	51082	442
21	true	false	true	true	false	64951	441
22	true	false	true	true	false	115483	439
23	true	false	true	true	false	84229	438
24	false	false	false	false	false	317292	2147483647
25	true	false	true	true	false	68416	437
26	true	false	true	true	false	66955	436
27	true	false	true	true	false	94894	435
28	true	false	true	true	false	65333	434
29	true	false	true	true	false	86925	433
30	true	false	true	true	false	168032	431
31	true	false	true	false	true	74395	431
32	true	false	true	true	false	245941	430
33	true	false	true	false	true	135288	430
34	true	false	true	true	false	106535	429
35	true	false	true	true	false	72951	428
36	true	false	true	false	true	84267	439
37	true	false	true	true	false	61784	427
38	true	false	true	true	false	125007	425
39	true	false	true	false	true	89949	425
40	true	false	true	true	false	59569	424
41	true	true	false	false	false	73300	2147483647
42	true	false	true	true	false	123999	423
43	true	false	true	true	false	54603	422
44	true	false	true	true	false	77209	421
45	true	false	true	true	false	89137	418
46	true	false	true	true	false	124443	417
47	false	false	false	false	false	74035	2147483647
48	true	false	true	true	false	75140	416
49	true	false	true	true	false	144218	415
50	true	false	true	true	false	65271	414
51	true	false	true	true	false	62824	413
52	true	false	true	true	false	130216	412
53	true	false	true	true	false	61015	411
54	true	false	true	false	true	210159	438
55	true	false	true	true	false	69550	410
56	true	false	true	true	false	74361	409
57	true	false	true	true	false	95441	408
58	true	false	true	false	true	176516	408
59	true	false	true	true	false	151124	407
60	true	false	true	false	true	87101	407
61	true	false	true	true	false	192669	405
62	true	false	true	false	true	216400	406
63	true	false	true	true	false	118538	404
64	true	false	true	true	false	88759	403
65	true	false	true	true	false	75547	402
66	true	false	true	true	false	142895	400
67	true	false	true	false	true	178062	400
68	true	false	true	false	true	164851	433
69	true	false	true	true	false	236798	399
70	true	false	true	true	false	186903	398
71	true	false	true	true	false	134279	397
72	true	false	true	true	false	94153	396
73	true	false	true	true	false	81526	395
74	true	false	true	true	false	142362	394
75	true	false	true	true	false	139648	393
76	true	false	true	true	false	124593	392
77	true	false	true	true	false	236355	391
78	true	false	true	true	false	209964	390
79	true	true	false	false	false	122109	2147483647
80	true	false	true	true	false	93080	389
81	true	false	true	true	false	152979	388
82	true	false	true	true	false	394119	387
83	true	false	true	true	false	153963	386
84	true	false	true	true	false	183649	385
85	true	false	true	true	false	124812	384
86	true	false	true	false	true	253617	384
87	true	false	true	true	false	199132	383
88	true	false	true	true	false	97396	382
89	true	false	true	true	false	179885	381
90	true	false	true	true	false	133778	380
91	true	false	true	true	false	99981	379
92	true	false	true	true	false	96943	378
93	true	false	true	false	true	118983	379
94	true	false	true	true	false	356935	376
95	false	false	false	false	false	103667	2147483647
96	true	false	true	false	true	109150	381
97	true	false	true	true	false	151535	375
98	true	false	true	false	true	247539	375
99	true	false	true	true	false	107509	374
100	true	true	false	false	false	353732	2147483647
101	true	false	true	false	true	281363	376
102	true	false	true	false	true	136897	374
103	true	false	true	false	true	320398	418
104	true	false	true	true	false	192757	373
105	true	false	true	false	true	220773	434
106	true	false	true	true	false	242033	371
107	false	false	false	false	false	188873	2147483647
108	true	false	true	true	false	121714	370
109	true	false	true	true	false	133959	369
110	true	false	true	true	false	109121	367
111	true	false	true	false	true	151447	367
112	true	false	true	true	false	173031	366
113	true	false	true	true	false	202351	365
114	true	false	true	true	false	141090	364
115	true	false	true	true	false	113237	363
116	true	false	true	true	false	238980	361
117	false	false	false	false	false	111300	2147483647
118	true	false	true	true	false	163513	359
119	true	true	false	false	false	273133	2147483647
120	true	true	false	false	false	246481	2147483647
121	true	false	true	true	false	123692	358
122	true	false	true	true	false	152879	354
123	true	false	true	true	false	152754	353
124	true	false	true	false	true	309121	353
125	true	false	false	false	false	552742	353
126	true	false	true	true	false	156074	352
127	true	false	true	true	false	118762	351
128	true	false	true	false	true	201215	364
129	true	false	true	true	false	235244	345
130	true	false	true	false	true	165944	346
131	true	false	true	false	true	149256	349
132	true	true	false	false	false	178644	2147483647
133	true	false	true	true	false	139858	344
134	true	false	true	true	false	209883	343
135	false	false	false	false	false	244408	2147483647
136	true	false	true	true	false	163842	342
137	false	false	false	false	false	339014	2147483647
138	true	true	false	false	false	418393	2147483647
139	true	false	true	true	false	324016	340
140	true	false	true	true	false	294789	339
141	false	false	false	false	false	380546	2147483647
142	false	false	false	false	false	467045	2147483647
143	true	false	true	true	false	396880	337
144	true	false	true	false	true	266659	337
145	true	false	true	true	false	115896	336
146	false	false	false	false	false	205371	2147483647
147	true	false	true	false	true	182128	344
148	true	false	true	false	true	195776	344
149	true	true	false	false	false	289907	2147483647
150	true	false	true	false	true	113903	337
151	true	false	true	true	false	119665	335
152	true	false	true	true	false	106399	334
153	false	false	false	false	false	125127	2147483647
154	false	false	false	false	false	144041	2147483647
155	false	false	false	false	false	217339	2147483647
156	true	false	true	false	true	59468	339
157	true	false	true	true	false	92248	332
158	false	false	false	false	false	49097	2147483647
159	true	false	true	false	true	85292	367
160	true	false	true	false	true	70748	367
161	true	false	true	true	false	65009	331
162	true	false	true	true	false	45041	330
163	true	false	true	true	false	81423	329
164	true	false	true	true	false	52281	328
165	true	true	false	false	false	99775	2147483647
166	true	false	true	true	false	76948	327
167	true	false	true	true	false	72087	326
168	true	false	true	true	false	62649	325
169	true	false	true	true	false	53886	324
170	true	false	true	true	false	145559	322
171	true	false	true	false	true	161963	322
172	true	false	true	true	false	74678	321
173	true	false	true	true	false	59041	320
174	true	false	true	true	false	47025	319
175	true	false	true	true	false	108256	318
176	true	false	true	false	true	47494	323
177	true	false	true	true	false	68837	317
178	true	false	true	true	false	47172	316
179	true	false	true	true	false	58106	315
180	true	false	true	true	false	138492	313
181	true	false	true	false	true	104366	313
182	true	false	true	false	true	42121	313
183	true	false	true	false	true	141836	313
184	true	false	true	true	false	70146	312
185	true	false	true	true	false	110351	311
186	true	false	true	true	false	119267	310
187	true	false	true	true	false	133420	308
188	true	false	true	true	false	163631	307
189	true	false	true	true	false	45684	306
190	true	false	true	true	false	65679	305
191	true	false	true	true	false	74348	304
