ID	TYPE	Message	EXPRESSION	PATH	HASH
2	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return v;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/dataflow/graph/DataflowSolver.java:88	3a780f61bda6ee3b9cdb2a6ddd4b1a736bd0b0e2
3	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    this.rhs = null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/fixedpoint/impl/GeneralStatement.java:81	cdbde0bb6d844e1e4d7ad1215cdebdcdd51449fb
5	DEREFERENCE_NULLABLE	dereferenced expression S is @Nullable	    backingStore = HashMapFactory.make(2 * S.size());	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/BimodalMap.java:92	e5959fb2937b457182a9ba1401634fe1987c8fb8
6	DEREFERENCE_NULLABLE	dereferenced expression inner is @Nullable	    I result = inner.next();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/ComposedIterator.java:52	21ee5202dc51b90eae1ca3c4fbacbff12dd98a2b
7	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	      return null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SimpleVector.java:42	2a67432db58d631f942a72619aad48533be8a936
8	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    keysAndValues = null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SmallMap.java:188	fb819b5f87ea63b15bd5bfa829b41e54a986d78b
10	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.ibm.wala.util.collections.IVector.get(int) returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SparseVector.java:52	b4f1f07ece08207fb7f7fd5450afed304dc5ef8d
12	DEREFERENCE_NULLABLE	dereferenced expression inner is @Nullable	        T result = inner.next();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/TwoLevelVector.java:139	0000d0341c2871ffc8797f14fb54b43587313ee9
13	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.ibm.wala.dataflow.graph.ITransferFunctionProvider.getEdgeTransferFunction(T,T) returns @NonNull	          @Nullable	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/GraphReachability.java:112	133aa64ab5df504e95567e28857ead4407cf200c
14	DEREFERENCE_NULLABLE	dereferenced expression preds.get(N) is @Nullable	            return preds.get(N).size();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:266	7e6d7e94e48e44aa4fbbd663b93b6d3030e3ba03
