Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
eureka	1	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java:44	return holder;	1	3	1	Failing fast seems like the best option here, as returning a null value will lead to crashes elsewhere.  Patch B fixes nullness warnings from returning `@Nullable` but in an incomplete way that would still lead to NPEs.	0	8	0
libgdx	360	Github	Github	Github	METHOD_NO_INIT	initializer method does not guarantee @NonNull field titleFont (line 390) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Window.java:393	public WindowStyle() {}	2	2	2	I can't find any usages of the zero-arg constructor so this case is hard to judge.  My assumption is that there is some global invariant that WindowStyles constructed with the zero-arg constructor shouldn't really be used in cases where a title font is needed.  So I think it's better to use castToNonNull to fail fast if that global invariant is violated, rather than initializing to a default font and then possibly having something else be broken later.  Possibly, though, the zero-arg constructor should just be deleted?  Patch A at 2 since it still leaves one error, though it'd be nice to know what that was	1	0	0
jadx	89	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression assignInsn is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/regions/LoopRegionVisitor.java:266	\t\tInsnArg iterableArg = assignInsn.getArg(0);	2	2	2	Another tricky one.  checkInvoke is doing a null check, and I think the best fix would be to add a contract annotation on that method so that NullAway could understand the null check it performs.  castToNonNull is an appropriate fix (Patch A).  I feel developers will be annoyed by the redundant null check in Patches B and C.  But, they may be annoyed by the castToNonNull calls also.  I think Patch A is slightly better, but giving all a 2 for now.			
libgdx	214	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression action is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/Actor.java:306	action.setActor(this);	2	1	2	I'm not sure why the parameter of addAction is @Nullable; I didn't immediately finding any call sites passing something possibly null.  But, assuming null can be passed, I think it is unexpected, and failing fast with a cast (Patch B) is better than just returning silently.			
jadx	84	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'startBlock' where @NonNull is required	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java:340	\t\tInsnsSlice dupSlice = searchFromFirstBlock(checkBlock, startBlock, extractInfo);	3	3	2	I don't think FinallyExtractInfo.startBlock should be `@Nullable`.  Instead, there should be a castToNonNull at https://github.com/Pascal-Joos/jadx/blob/30861c4de848c48fdcda3cc38b361596dd6c9791/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java#L113 and the field should just be non-null.  Still, Patch C with the cast is better than just returning false, since nullness is unexpected and just returning false could mask a bug.			
libgdx	67	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression region is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java:126	texture = region.texture;	2	3	3	Clearly region is not expected to be null here, so I don't know why the parameter is `@Nullable`.  Probably there should be a castToNonNull somewhere else and the parameter should become `@NonNull`.  But, still Patch A with the cast is better than just returning without doing anything, to avoid masking a bug.	1	0	0
litiengine	22	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/environment/EntitySpawner.java:104	return this.spawnpoints;	1	1	3	I'm going to assume the field is `@Nullable` (as opposed to just setting it to an empty list and making it `@NonNull`) for a good reason, like to avoid allocating a list unnecessarily.  For Patch A vs B, I think both are fine, and it's not clear to me whether setting the field or returning an immutable list really make a big difference.  Patch C seems technically correct but still a bad fix since it forces callers to deal with a null result unnecessarily.	0	0	1
litiengine	56	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - this.y	litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:338	return this.y - map.getChunkOffsetY() * map.getTileHeight();	3	1	3	Seems clear there is some invariant where if it's in infinite map then its `y` field should be `@NonNull`.  So, better to cast and fail fast than to mask the case where `y` is unexpectedly null.  			
litiengine	76	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression buffer is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/CreatureShadowImageEffect.java:70	final Graphics2D graphics = buffer.createGraphics();	1	3	3	Casting seems like the best fix; `getCompatibleImage` only returns null if either width or height is 0, which seems very unlikely in this case and probably unintentional.  Just returning and masking the issue is bad, and Patch B has a bunch of unrelated changes.	1	0	0
libgdx	363	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression target is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/utils/DragAndDrop.java:170	target.actor.stageToLocalCoordinates(tmpVector.set(stageX, stageY));	3	2	3	I think if `isValidTarget` is true, `target` must be non-null?  If so, an even better fix than Patch B would be a cast with a comment, or at least a comment indicating the null check here is unnecessary.  Patch A and Patch C add unrelated changes and sometimes do null checks on `actor` which I think cannot be null.			
glide	16	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:84	resourceClass = null;	1	3	3	`clear` is clearly intended to null out everything, so changing that behavior (B and C) seems wrong.  Patch A seems reasonable; make the field `@Nullable` to allow the assignment, but cast elsewhere under the assumption that the lifecycle means those methods shouldn't be called if the class is not initialized.			
libgdx	41	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression sprite is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:441	float spriteWidth = sprite.getWidth();	1	3	3	`sprite` cannot be null here; NullAway only warns since it cannot prove the switch is exhaustive, but it is.  So casting is good, and fixes that imply `sprite` might be null are bad.			
litiengine	110	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.currentText is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/SpeechBubble.java:271	while (measurer.getPosition() < this.currentText.length()) {	3	3	1	`this.currentText` cannot be null; we're in a private method called from one place where `this.currentText` is guaranteed to be non-null.  (`@RequiresNonNull` could have been helpful here.)  casts are fine, though I would have preferred casting once and assigning to a local.  Patches A and B, which imply the field might be null, are bad.	0	1	0
libgdx	331	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'c.actor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1205	float maxHeight = c.maxHeight.get(c.actor);	3	3	3	I think the `get` method can in fact accept null as an argument, so all these patches are kind of off.  See here: https://github.com/Pascal-Joos/libgdx/blob/0b226f2ccfee6a4a28ec85f5bc6f80482aa921ae/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Value.java#L36-L39			
libgdx	128	Github	Github	Github	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields positionChannel (line 36), previousPositionChannel (line 36), rotationChannel (line 36) are initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java:57	@Initializer	2	3	3	The fields are conditionally null depending on the value in boolean fields.  Patch B just breaks this property, and Patch C will still leave a lot of warnings.  Patch A I think fixes the warnings, but it also adds both redundant null checks and casts; just the casts would be better.	0	0	9
glide	17	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:85	transcodeClass = null;	3	3	1	Field should be `@Nullable` and casts are probably need in light of the lifecycle.  Only Patch C gets it right.	3	0	0
libgdx	196	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/TiledMapTileSets.java:52	return null;	2	3	3	Makes sense to make the function return `@Nullable`.  At the new warnings at call sites, hard to tell but I think probably invariants will ensure the calls don't return null.  So probably casts are best.  Patch C clearly wrong, Patch B misleading with the null checks.  Patch A ok but adds redundant null checks.			
libgdx	415	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression p is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/PooledLinkedList.java:160	p.next = null;	1	3	3	cast is the right move here; p can't be null (for subtle reasons, we know curr is not the head and curr is the tail, so tail must have a prev).  adding null checks is misleading.			
spring-boot	32	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'annotations' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/JavaBeanBinder.java:98	\t\t\t\tBindable.of(type).withSuppliedValue(value).withAnnotations(annotations));	1	3	1	A weird one.  Must be a limitation of the NullAway version we are using, because the function can actually accept a null array!  But, given the warning, it's better to pass an empty array.  castToNonNull is wrong since from what I see the array could in fact be null.			
zuul	10	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	2	1	1	Looks like null checks are in fact needed here.  Patch B and C add the null checks.  Patch A I say is slightly worse since it allocates a mostly-unused TreeSet.			
wala-util	17	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression succs.get(N) is @Nullable	wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:290	return succs.get(N).iterator();	2	1	2	It can't be null, cast is a better solution than doing a null check (though for this case the latter doesn't break semantics or anything)			
libgdx	309	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:901	c.computedPadRight = c.padRight.get(a) + ((column + colspan) == columns ? 0 : spaceRight);	2	3	3	My guess is some invariant means `a` can't be null.  casts are a good solution, but Patch A would be better if it stored the casted value in a local.  Patches B and C are less good since they will hide an unexpected null value.			
gson	2	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	gson/gson/src/main/java/com/google/gson/Gson.java:455	long value = longAdapter.read(in).longValue();	2	2	2	Because of the nullSafe wrapper no null check is needed here.  A cast or local suppression would be best.  Patch B is weird; it doesn't actually change anything other than adding a local.	0	1	0
libgdx	322	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1091	float prefWidth = c.prefWidth.get(a), prefHeight = c.prefHeight.get(a);	2	3	3	Similar to row 23.			
libgdx	355	Github	Github	Github	METHOD_NO_INIT	initializer method does not guarantee @NonNull field columnSizes (line 47) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/VerticalGroup.java:52	public VerticalGroup() {	3	3	2	clearly should be initialized lazily, and the code does so.  we need casts.  and getColumns does look risky in the case where the lazy init hasn't happened yet.  Patch C looks good, except that it does an unnecessary null check?	0	0	1
libgdx	191	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression textureRegion is @Nullable	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/BaseTmxMapLoader.java:404	          float objectWidth = element.getFloatAttribute("width", textureRegion.getRegionWidth());	3	1	3	It actually can't be null; will always be set.  cast is best.			
libgdx	113	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ResourceData.java:127	this.filename = filename;	2	3	3	I feel like Annotator probably propagated `@Nullable` annotations too eagerly; doesn't seem like this parameter should ever be null.  Patch A does a defensive check which is fine, but ideally one would try to get rid of the `@Nullable` annotation the right way.  Patches B and C don't do the job.  (C gets rid of the annotation but doesn't reckon with the new warnings that will cause.)	0	2	1
litiengine	120	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.collisionBoxes.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:121	this.collisionBoxes.get(type).clear();	2	2	1	can't be null but nullaway can't prove, cast is best			
eureka	4	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	resourceRecordSetWithHostedZone	2	2	2	hasValue returning true ensures non-null.  Null check is not ideal but safe.			
jadx	9	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression condition is @Nullable	jadx/jadx-core/src/main/java/jadx/core/codegen/ConditionGen.java:56	\t\tswitch (condition.getMode()) {	2	3	2	I doubt this can actually be null; maybe annotator pushing `@Nullable` far from root cause.  I think a null check is better than casts, but still not ideal.			
libgdx	437	Github	Github	Github	FIELD_NO_INIT	@NonNull field _hash not initialized	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/BinTree.java:12	int[] _hash;	3	3	3	I _think_ this is actually always initialized via some complex initialization protocol.  Might be best to just suppress the initialization warning.  None of the patches make a good change, the size of this array needs to be consistent with _hashSizeSum I think.			
libgdx	63	Github	Github	Github	FIELD_NO_INIT	@NonNull field TextureAtlas$TextureAtlasData$Region.values not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureAtlas.java:587	public @Null int[][] values;	3	2	3	needs to be initialized consistently with the names array, and i think it is.  Patch B is closest but adds unnecessary null check on values.  Patches A and C seem wrong, don't keep consistency.	0	0	1
libgdx	83	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'bindPose.keys[j].id' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/ModelInstance.java:359	bindPose.keys[j] = getNode(bindPose.keys[j].id);	1	2	2	hard to tell but my best guess is that this can't actually be null.  cast is best, but null checks are a reasonable second best i think (though would they mask an error?)	0	1	0
litiengine	118	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.collisionEntities.get(entity.getCollisionType()) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:78	this.collisionEntities.get(entity.getCollisionType()).add(entity);	1	2	2	can't be null but nullaway can't prove, cast is best			
libgdx	249	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Cell.java:999	expandX = null;	3	1	3	field clearly can be null, Patch B looks right to me though casts do add clutter	0	1	0
jadx	61	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression cond is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/regions/conditions/IfCondition.java:121	\t\tMode mode = cond.getMode();	2	3	2	parameter should probably not be `@Nullable`, casting or checking for null is not as good as getting rid of annotation			
libgdx	252	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Cell.java:81	return (T) actor;	1	1	1	locally this looks fine, though i assume annotator didn't do this because it causes errors elsewhere?			
litiengine	117	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.collisionEntities.get(Collision.ANY) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:84	this.collisionEntities.get(Collision.ANY).add(entity);	2	1	2	like row 35			
jadx	98	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression d is @Nullable	jadx/jadx-core/src/main/java/jadx/core/utils/BlockUtils.java:1185	\t\t\t\td.set(block.getId());	1	3	3	can't be null, cast is best, checking and bailing out is misleading	1	0	0
litiengine	29	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.renderables.get(renderType) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:458	this.renderables.get(renderType).clear();	1	1	3	can't be null, cast or requireNonNull is best			
litiengine	30	Github	Github	Github	DEREFERENCE_NULLABLE	enhanced-for expression this.renderListeners.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:2571	for (EnvironmentRenderedListener listener : this.renderListeners.get(type)) {	1	3	3	can't be null, cast is best, checking and bailing out is misleading			
libgdx	183	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression side is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/FrameBufferCubemap.java:182	side.glEnum,	2	2	2	the parameter should not be nullable.  annotator issue?  a good patch would find the root cause.  these patches don't break the program, but don't solve the real issue.			
litiengine	97	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/gui/GuiComponent.java:264	return this.name;	3	1	2	seems it can actually be null, if it's not set.  based on the usages i think returning an empty string is reasonable.  making return `@Nullable` and adding null checks is second best.  just marking return as `@Nullable` leads to new errors.	3	0	0
litiengine	114	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/input/Input.java:50	return gamePadManager;	2	3	3	seems like if the protocol is followed correctly (right config and system has been initialized) this should return nonnull.  seems like a bad API that should just fail rather than returning null.  adding null checks at all callers is tedious.  Patch A is ok though it adds null checks, Patches B and C are bad.	1	26	2
libgdx	445	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lzma/Encoder.java:1270	_matchFinder = null;	3	3	3	The field should be `@Nullable` I think.  Initialized via some complex protocol.  I don't think any of the patches quite do a proper fix.  I would probably do a checkNotNull at the beginning of each method that uses the field, or something like that.			
glide	9	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:89	return modelLoaderIndex < modelLoaders.size();	3	1	1	Adding a null check seems reasonable.  Patch A has some unrelated change.			
libgdx	318	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:985	float minWidth = c.minWidth.get(a),	3	2	3	Pretty sure actor can't be null here.  Cast is good.  But Patch B should stick the casted value in a local!			
wala-util	35	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression v is @Nullable	wala-util/src/main/java/com/ibm/wala/util/intset/BasicNaturalRelation.java:161	v.set(x, y);	3	1	1	v cannot be null according to the logic.  casting or null check + exception seems reasonable.  I don't know what Patch A is doing.			
