ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	82223	False
2	True	False	True	False	True	104679	False
3	True	False	True	False	True	68782	False
4	True	False	True	True	False	53927	False
5	True	False	True	True	False	79242	True
6	True	False	True	True	False	55034	False
7	True	True	False	False	False	101168	False
8	True	False	True	True	False	41074	False
9	True	False	True	True	False	63733	False
10	True	False	True	True	False	96674	False
11	True	False	True	True	False	37391	False
12	True	False	True	True	False	105385	False
13	True	False	True	True	False	42717	False
14	True	False	True	True	False	102736	False
15	True	False	True	True	False	61753	False
16	True	False	True	True	False	109384	False
17	True	True	False	False	False	94648	False
18	True	False	True	True	False	79194	False
19	True	False	True	True	False	88333	False
20	True	False	True	True	False	50333	False
21	True	False	True	True	False	54372	False
22	True	False	True	True	False	37855	False
23	True	False	True	True	False	48753	False
