ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	3	1525	0	799	2324	0.009896	openai/gpt-5.1
2	18	18065	0	7806	25871	0.100641	openai/gpt-5.1
3	31	36294	0	9853	46147	0.143898	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	0	0	0	0	0	0.000000	openai/gpt-5.1
6	3	3674	0	1352	5026	0.018113	openai/gpt-5.1
7	1	883	0	474	1357	0.005844	openai/gpt-5.1
8	1	851	0	415	1266	0.005214	openai/gpt-5.1
9	1	504	0	92	596	0.001550	openai/gpt-5.1
10	5	4258	0	1442	5700	0.019743	openai/gpt-5.1
11	2	2567	0	763	3330	0.010839	openai/gpt-5.1
12	9	7959	0	2720	10679	0.037149	openai/gpt-5.1
13	2	1482	0	1018	2500	0.012033	openai/gpt-5.1
14	7	4263	0	1687	5950	0.022199	openai/gpt-5.1
15	5	7516	0	3996	11512	0.049355	openai/gpt-5.1
16	3	3460	0	1288	4748	0.017205	openai/gpt-5.1
17	3	5292	0	2156	7448	0.028175	openai/gpt-5.1
18	3	1721	1024	1958	4703	0.021859	openai/gpt-5.1
19	1	681	0	224	905	0.003091	openai/gpt-5.1
20	2	1322	0	666	1988	0.008313	openai/gpt-5.1
21	3	3984	0	954	4938	0.014520	openai/gpt-5.1
22	1	632	0	226	858	0.003050	openai/gpt-5.1
23	3	0	0	0	0	0.000000	openai/gpt-5.1
