Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
libgdx	288	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression event is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/SelectBox.java:544	event.stop();	2	3	1	B contradicts the nullable annotation. Not fully sure whether A or C is better, but C seems most aligned with the intent.			
litiengine	4	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression Game.info() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:73	this.hostControl.setTitle(Game.info().getTitle());	1	2	1	A and C avoid setting a title if there is none. B just makes up a title, which could be fine, but I'm not sure about the string value.			
litiengine	130	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression x.getImage() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/resources/ResourceBundle.java:203	x.getName().equals(sprite.getName()) && x.getImage().equals(sprite.getImage()))) {	3	3	1	A makes changes that go beyond the reported error and is pretty complex. B calls isEmpty(), which wasn't called before. C is elegant, concise, and matches my understanding of the intended behavior.			
libgdx	102	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'channelDescriptor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ParallelArray.java:202	return addChannel(channelDescriptor, null);	3	2	2	A addresses the wrong parameter. B and C raise a runtime error that contradicts the nullable annotation, but may be the best choice here.	1	0	0
eureka	13	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:405	overriddenInstanceStatus.name(),	2	3	1	C matches my understanding of intended behavor. A is similar, but unnecessarily adds duplicate code. B skips the logging, which likely isn't intended.			
litiengine	85	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/graphics/animation/Animation.java:180	return this.spritesheet;	3	1	3	A moves the problem to the callers, without editing them; it also makes another, unrelated edit. C is similar, but edits at least one call site; however, it also applies another, unrelated edit. B seems the best, but I'm not 100% if raising a runtime error is intended.	3	0	0
libgdx	319	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:986	prefWidth = c.prefWidth.get(a),	3	2	3	Table.add() shows that the actor maybe null, so C seems wrong. A just skips behavior, which also seems wrong. B could be correct, but it's hard to fully understand the intent here.			
glide	10	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression loadData is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:102	cb.onDataFetcherReady(sourceKey, data, loadData.fetcher, DataSource.DATA_DISK_CACHE, sourceKey);	3	1	1	B and C mimick what's done in cancel() just above, which looks good. A adds functionality, but I doubt this it's intended.			
libgdx	175	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression node is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/utils/ModelBuilder.java:157	node.parts.add(new NodePart(meshpart, material));	3	3	1	A suggest calling begin(), which doesn't make sense, as begin() sets node to null. B also doesn't make sense, as it replaces a call of node() with an error saying you should call node(). C looks like the intended behavior: node() creates a new node, which can then be used.			
spring-boot	20	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'this.applicationContext' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBinder.java:237	\t\t\treturn new ConfigurationPropertiesBinder(this.applicationContext);	1	2	2	All three patches raise an exception if the value is null, which seems okay. A does so in the most elegant and concise way.			
