ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	28	0	0	0	0	0.000000	openai/gpt-5.1
2	1	0	0	0	0	0.000000	openai/gpt-5.1
3	2	0	0	0	0	0.000000	openai/gpt-5.1
4	2	0	0	0	0	0.000000	openai/gpt-5.1
5	3	1791	0	416	2207	0.006399	openai/gpt-5.1
6	5	0	0	0	0	0.000000	openai/gpt-5.1
7	9	0	0	0	0	0.000000	openai/gpt-5.1
8	2	0	0	0	0	0.000000	openai/gpt-5.1
9	3	0	0	0	0	0.000000	openai/gpt-5.1
10	3	1712	0	202	1914	0.004160	openai/gpt-5.1
11	2	871	0	505	1376	0.006139	openai/gpt-5.1
12	1	790	0	382	1172	0.004808	openai/gpt-5.1
13	2	0	0	0	0	0.000000	openai/gpt-5.1
14	11	0	0	0	0	0.000000	openai/gpt-5.1
15	6	0	0	0	0	0.000000	openai/gpt-5.1
16	2	0	0	0	0	0.000000	openai/gpt-5.1
17	2	1033	0	192	1225	0.003211	openai/gpt-5.1
18	1	0	0	0	0	0.000000	openai/gpt-5.1
19	8	0	0	0	0	0.000000	openai/gpt-5.1
20	4	803	0	383	1186	0.004834	openai/gpt-5.1
21	11	3437	0	724	4161	0.011536	openai/gpt-5.1
22	2	0	0	0	0	0.000000	openai/gpt-5.1
23	2	0	0	0	0	0.000000	openai/gpt-5.1
24	3	0	0	0	0	0.000000	openai/gpt-5.1
25	7	1825	0	992	2817	0.012201	openai/gpt-5.1
26	1	733	0	330	1063	0.004216	openai/gpt-5.1
27	0	0	0	0	0	0.000000	openai/gpt-5.1
28	3	932	0	509	1441	0.006255	openai/gpt-5.1
29	0	0	0	0	0	0.000000	openai/gpt-5.1
30	13	6751	0	2081	8832	0.029249	openai/gpt-5.1
31	4	765	0	271	1036	0.003666	openai/gpt-5.1
32	1	552	0	142	694	0.002110	openai/gpt-5.1
33	0	0	0	0	0	0.000000	openai/gpt-5.1
34	3	2061	0	851	2912	0.011086	openai/gpt-5.1
35	2	0	0	0	0	0.000000	openai/gpt-5.1
36	2	0	0	0	0	0.000000	openai/gpt-5.1
37	2	0	0	0	0	0.000000	openai/gpt-5.1
38	7	0	0	0	0	0.000000	openai/gpt-5.1
39	0	0	0	0	0	0.000000	openai/gpt-5.1
40	6	2724	0	1292	4016	0.016325	openai/gpt-5.1
41	2	1346	0	156	1502	0.003243	openai/gpt-5.1
42	2	0	0	0	0	0.000000	openai/gpt-5.1
43	12	0	0	0	0	0.000000	openai/gpt-5.1
44	12	0	0	0	0	0.000000	openai/gpt-5.1
45	3	0	0	0	0	0.000000	openai/gpt-5.1
46	3	2081	0	206	2287	0.004661	openai/gpt-5.1
47	1	342	0	523	865	0.005658	openai/gpt-5.1
48	1	1015	0	607	1622	0.007339	openai/gpt-5.1
49	12	9138	0	3756	12894	0.048983	openai/gpt-5.1
50	11	6942	0	3470	10412	0.043378	openai/gpt-5.1
51	3	0	0	0	0	0.000000	openai/gpt-5.1
52	2	0	0	0	0	0.000000	openai/gpt-5.1
53	2	0	0	0	0	0.000000	openai/gpt-5.1
54	3	0	0	0	0	0.000000	openai/gpt-5.1
55	2	0	0	0	0	0.000000	openai/gpt-5.1
56	3	950	0	293	1243	0.004118	openai/gpt-5.1
57	1	0	0	0	0	0.000000	openai/gpt-5.1
58	1	0	0	0	0	0.000000	openai/gpt-5.1
59	1	0	0	0	0	0.000000	openai/gpt-5.1
60	2	0	0	0	0	0.000000	openai/gpt-5.1
61	1	0	0	0	0	0.000000	openai/gpt-5.1
62	3	0	0	0	0	0.000000	openai/gpt-5.1
63	1	0	0	0	0	0.000000	openai/gpt-5.1
64	1	0	0	0	0	0.000000	openai/gpt-5.1
65	1	0	0	0	0	0.000000	openai/gpt-5.1
66	3	0	0	0	0	0.000000	openai/gpt-5.1
67	1	0	0	0	0	0.000000	openai/gpt-5.1
68	1	0	0	0	0	0.000000	openai/gpt-5.1
69	3	0	0	0	0	0.000000	openai/gpt-5.1
70	1	0	0	0	0	0.000000	openai/gpt-5.1
71	1	794	0	325	1119	0.004243	openai/gpt-5.1
72	3	0	0	0	0	0.000000	openai/gpt-5.1
73	2	0	0	0	0	0.000000	openai/gpt-5.1
74	1	0	0	0	0	0.000000	openai/gpt-5.1
75	1	0	0	0	0	0.000000	openai/gpt-5.1
76	11	0	0	0	0	0.000000	openai/gpt-5.1
77	1	0	0	0	0	0.000000	openai/gpt-5.1
78	1	0	0	0	0	0.000000	openai/gpt-5.1
79	3	0	0	0	0	0.000000	openai/gpt-5.1
80	0	0	0	0	0	0.000000	openai/gpt-5.1
81	2	0	0	0	0	0.000000	openai/gpt-5.1
82	3	0	0	0	0	0.000000	openai/gpt-5.1
83	25	0	0	0	0	0.000000	openai/gpt-5.1
84	27	10190	0	4838	15028	0.061118	openai/gpt-5.1
85	23	0	0	0	0	0.000000	openai/gpt-5.1
86	23	0	0	0	0	0.000000	openai/gpt-5.1
87	2	0	0	0	0	0.000000	openai/gpt-5.1
