Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C	SCORE (Patch A)_Manu	SCORE (Patch B)_Manu	SCORE (Patch C)_Manu	Comment_Manu	SCORE (Patch A)_Martin	SCORE (Patch B)_Martin	SCORE (Patch C)_Martin	Comment_Martin	Consolidation Comment (Optional)	SCORE (Patch A)_Michael	SCORE (Patch B)_Michael	SCORE (Patch C)_Michael	Comment_Michael	2	File_Type
libgdx	252	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Cell.java:81	return (T) actor;	1	1	1	1	1	1	locally this looks fine, though i assume annotator didn't do this because it causes errors elsewhere?																		agreement
litiengine	29	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.renderables.get(renderType) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:458	this.renderables.get(renderType).clear();	1	1	3	1	1	3	can't be null, cast or requireNonNull is best																		agreement
litiengine	30	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	enhanced-for expression this.renderListeners.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:2571	for (EnvironmentRenderedListener listener : this.renderListeners.get(type)) {	1	3	3	1	3	3	can't be null, cast is best, checking and bailing out is misleading																		agreement
libgdx	318	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:985	float minWidth = c.minWidth.get(a),	3	2	3	3	2	3	Pretty sure actor can't be null here.  Cast is good.  But Patch B should stick the casted value in a local!																		agreement
libgdx	364	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	SWITCH_EXPRESSION_NULLABLE	switch expression focusEvent.getType() is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/utils/FocusListener.java:33	switch (focusEvent.getType()) {	1	3	3	1	3	3	looks like it should never be null.  a cast to ensure at runtime is better than a bailout.																		agreement
eureka	1	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java:44	return holder;	1	3	1	1	3	1	Should be called when holder got initialized, as enforced by A and C. B makes too many changes for enforcing an obvious usage protocol.	0	8	0															agreement
litiengine	22	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/environment/EntitySpawner.java:104	return this.spawnpoints;	1	1	3	1	1	3	C is too complex. A and B seem reasonable and are practically equivalent	0	0	1															agreement
glide	16	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:84	resourceClass = null;	1	3	3	1	3	3	B and C are clearly stupid. A looks good, as it acknowledges that resourceClass may be null and then adds checks/casts.																		agreement
spring-boot	32	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'annotations' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/JavaBeanBinder.java:98	\t\t\t\tBindable.of(type).withSuppliedValue(value).withAnnotations(annotations));	1	3	1	1	3	1	Passing an empty array in case annotations is null seems reasonable, as done by A and C. The case done by B may fail.																		agreement
wala-util	17	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression succs.get(N) is @Nullable	wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:290	return succs.get(N).iterator();	2	1	2	2	1	2	Casting is fine, as the code just above ensures that the map contains this entry. A and C add unncessary code, but should give the correct behavior.																		agreement
libgdx	102	hash_basic	hash_agent_baseline	hash_advanced	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'channelDescriptor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ParallelArray.java:202	return addChannel(channelDescriptor, null);	3	2	2	3	2	2	A addresses the wrong parameter. B and C raise a runtime error that contradicts the nullable annotation, but may be the best choice here.	1	0	0															agreement
spring-boot	56	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression type is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/logging/logback/SpringBootJoranConfigurator.java:282	\t\t\t\treturn type.getConstructor().newInstance();	1	1	1	1	1	1	Apart from formatting, all three do the same, which looks correct.																		agreement
litiengine	78	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression bimage is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/OverlayPixelsImageEffect.java:27	final Graphics2D bGr = bimage.createGraphics();	1	3	1	1	3	1	getCompatibleImage() may return null when height or width is zero, i.e., casting to non-null (as done by B) is unsafe. The fall-back in A and C seems reasonable, as there's nothing to do for zero-height or zero-width images.	0	1	0															agreement
libgdx	442	hash_basic	hash_agent_baseline	hash_advanced	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression _stream is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/OutWindow.java:41	_stream.write(_buffer, _streamPos, size);	1	1	1	1	1	1	All three the same and correct.																		agreement
libgdx	191	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression textureRegion is @Nullable	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/BaseTmxMapLoader.java:404	"          float objectWidth = element.getFloatAttribute(""width"", textureRegion.getRegionWidth());"	3	1	3								3	1	3	It actually can't be null; will always be set.  cast is best.	3	2	3	Definitely a false positive: the texture region is set in the constructor of the relevant class: https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/maps/tiled/objects/TiledMapTileMapObject.java#L42. Patches A and C are therefore just wrong. Patch B is on the right track, but it should only suppress the warning in one place instead of doing it in a bunch of places.	MS: this depends on how we handle triggered errors from casts (We decided to score such as 1 -[Pascal])						consolidation
