ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	116629	False
2	True	False	True	True	False	56640	False
3	True	False	True	True	False	62528	False
4	True	False	True	True	False	59504	False
5	False	False	False	False	False	60374	False
6	True	False	True	True	False	93721	False
7	True	False	True	True	False	166004	False
8	True	False	True	True	False	89505	False
9	True	False	True	True	False	51845	False
10	True	False	True	True	False	66137	False
11	True	False	True	True	False	48231	False
12	True	False	True	True	False	62549	False
13	True	False	True	True	False	170754	True
14	True	False	True	True	False	99367	False
15	True	False	True	True	False	154334	False
16	True	False	True	True	False	44704	False
17	True	False	True	False	True	81333	False
18	True	False	True	True	False	79815	True
19	True	False	True	True	False	157589	False
20	True	False	True	True	False	54027	True
21	True	False	True	True	False	62704	False
22	True	False	True	True	False	69147	False
23	True	False	True	False	True	65795	False
24	True	False	True	True	False	81861	False
25	True	False	True	True	False	41451	False
