Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
libgdx	288	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression event is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/SelectBox.java:544	event.stop();	3	2	3	I think this warning is a false positive, and that the @Nullable annotation on the parameter is probably incorrect. My reasoning is based on reading the source code for the InputListener class (https://github.com/libgdx/libgdx/blob/master/gdx/src/com/badlogic/gdx/scenes/scene2d/InputListener.java), whose #handle method explicitly does a null check (via instanceof) before calling keyDown() or any of the other registerable listeners. Patch B correctly suppresses the warning, but the better fix would be to remove the @Nullable annotation. Patches A and C are totally wrong.			
litiengine	4	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression Game.info() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:73	this.hostControl.setTitle(Game.info().getTitle());	2	1	2	Game.info() can legitimately be nullable (see, e.g., line 592 in https://github.com/Pascal-Joos/litiengine/blob/3192bbb2a2fa8890f9f5632927793cb1ea54da7a/src/de/gurkenlabs/litiengine/Game.java), so all of the patches are on the right track. I prefer patch B because it handles the failure case more gracefully by providing a default title.			
litiengine	130	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression x.getImage() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/resources/ResourceBundle.java:203	x.getName().equals(sprite.getName()) && x.getImage().equals(sprite.getImage()))) {	2	3	1	Patch C correctly uses null-safe equality; Patch A is unnecessarily verbose; Patch B also changes the semantics by adding the check that the sprite's image is non-empty.			
libgdx	102	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'channelDescriptor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ParallelArray.java:202	return addChannel(channelDescriptor, null);	3	2	2	Patch A isn't actually addressing the problem. Both Patches B and C don't get at the root of the issue, which is that this method's parameter probably shouldn't be @Nullable: annotations should describe expected behavior. The right fix is to remove the @Nullable annotation and deal with the issue at call-sites, not suppress it here.	1	0	0
eureka	13	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:405	overriddenInstanceStatus.name(),	1	2	2	Patch A adds a logging statement, mirroring the logic for UNKNOWN statuses. The others also mirror that logic but either omit the logging (B) or use the same error message as UNKNOWN (C), which is wrong because that error message specifically mentions that the status is UNKNOWN (which isn't true if it's null instead).			
litiengine	85	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/graphics/animation/Animation.java:180	return this.spritesheet;	2	3	2	Both patches A and C correctly make getSpritesheet @Nullable (the null check on line 172 makes it clear that it should be); Patch B is a 3 because it doesn't. Both patch A and C are scored 2, though, because both include extraneous changes that aren't related to the warning. Patch A is _worse_ (the extraneous changes trigger more warnings), but it's on the right track.	3	0	0
libgdx	319	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:986	prefWidth = c.prefWidth.get(a),	3	3	2	This is a false positive: actors in cells are always non-null. addActor() is defined in Group.java (one level up in the package hierarchy) and clearly only takes non-null arguments; the only place that addActor is called is guarded by a null check. I don't think there's a way for a null actor to end up in a cell, but to be honest the design of this class leaves something to be desired. Patches A and B are therefore wrong. Patch C is on the right track, but the ridiculously verbose suppression scheme isn't right: instead, the actor should be moved into a local variable with the right type, and suppressed just once.			
glide	10	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression loadData is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:102	cb.onDataFetcherReady(sourceKey, data, loadData.fetcher, DataSource.DATA_DISK_CACHE, sourceKey);	2	1	1	loadData can definitely be null. I don't see any other reasonable way to handle it than the way that patches B and C do. Patch A contains extraneous changes.			
libgdx	175	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression node is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/utils/ModelBuilder.java:157	node.parts.add(new NodePart(meshpart, material));	3	2	2	IMO calling node() first is the right thing to do, but even patch C (which does this) contains an extraneous copy of a comment _and_ doesn't update the comment to indicate that this method will automatically create a node if there isn't one already. Patch B is also at least plausibly on the right track (throwing a new GdxException("call node first") is in line with how the need to call begin() is handled elsewhere), but IMO is a worse design. However, it's more consistent with the existing code in the class, and I could imagine an SDE going with either patch B or patch C's strategy. Patch A is clearly wrong - its error message indicates the wrong method, so it's strictly worse than patch B. Patch B also unnecessarily includes a check for model being null, which prevents it from scoring a 1.			
spring-boot	20	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'this.applicationContext' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBinder.java:237	\t\t\treturn new ConfigurationPropertiesBinder(this.applicationContext);	3	1	1	Beans! throwing an exception is right, this state shouldn't occur, but the control flow is nonobvious (through the framework) so it's unsurprising that the checker has a false positive.			
