ID	TYPE	Message	EXPRESSION	PATH	HASH
1	METHOD_NO_INIT	initializer method does not guarantee @NonNull field classes (line 75) is initialized along all control-flow paths (remember to check for exceptions or early returns).	\tpublic ClsSet(RootNode root) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClsSet.java:60	4e51d3bfa6309958729e4c01b4628f6ba2a37123
2	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn cls;	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClsSet.java:169	947d30e330d2e12668face6f064ed949cd248092
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\t\treturn null;	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClsSet.java:419	13f531799e4dfb1d72b085bc7c12330ac9aa88aa
4	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn parents;	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClspClass.java:43	2dff272ba06618e2ddc45f971f26b2d43dfe3c69
5	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields nameMap (line 31), superTypesCache (line 32), implementsCache (line 33) are initialized along all control-flow paths (remember to check for exceptions or early returns).	\tpublic ClspGraph(RootNode rootNode) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClspGraph.java:36	9fcfbbaaf3451e03f0512663bc50d229aea8f76e
6	DEREFERENCE_NULLABLE	dereferenced expression inner is @Nullable	\t\tif (inner.isInner()) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ClassGen.java:716	3107390be89f3b7a9900eccd16c278c63d963130
7	PASS_NULLABLE	passing @Nullable parameter 'mth' where @NonNull is required	\t\tMethodGen mthGen = new MethodGen(this, mth);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ClassGen.java:499	de8697a2f6aa8356f99be65adac405d64bbe8e46
8	DEREFERENCE_NULLABLE	dereferenced expression extClsInfo is @Nullable	\t\tString fullName = extClsInfo.getAliasFullName();	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ClassGen.java:618	310ab3eda2fbf9a46b6deba9ef6989d9ca6f55a7
9	DEREFERENCE_NULLABLE	dereferenced expression condition is @Nullable	\t\tswitch (condition.getMode()) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ConditionGen.java:56	b9ad7294b89bf02a5ce731d9d7023b454cd8d0ee
10	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getFields() is @Nullable	\t\t\tjsonCls.getFields().add(jsonField);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonCodeGen.java:134	5dede3d68898e612a59f4a508097f9fcd4503102
11	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getInnerClasses() is @Nullable	\t\t\tjsonCls.getInnerClasses().add(innerJsonCls);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonCodeGen.java:114	cdff87c09434aaea373acb574395129417c04a20
