ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	        return new AtomicLong(value.longValue());	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java:433	c4758fb2494b0df40baf5be4184eb0312ce5eaa5
2	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	          long value = longAdapter.read(in).longValue();	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java:455	675f35ef64e606f6fd5d89bafdb0bc3952fd435b
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return genericDeclaration instanceof Class ? (Class<?>) genericDeclaration : null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:455	bb1e4ff598d8a1254e361d915a87cb13e23686d8
5	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	        this.lowerBound = null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:583	6d65aa424bb81f5af3699b426a03f9136f4382b5
6	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      e.next = e.prev = null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:118	ec5e9e3309145e2f423405de2122c4307acd14bf
7	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	    V result = created.value;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	ba70d5ab6e75a6dfffca0451a57c5b3814e5275d
8	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	        Node<K, V> leftLeft = left.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:371	bb59c768486e81115fa95a6ae7d3f0186c16be70
11	DEREFERENCE_NULLABLE	dereferenced expression node.prev is @Nullable	      node.prev.next = node.next;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:253	e5f706b6ecbec954dd69c6f909b542710eda4262
12	DEREFERENCE_NULLABLE	dereferenced expression pivot is @Nullable	    Node<K, V> pivotLeft = pivot.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:408	ba27b811f1a47b6c0ab67a6163d84e6b02845e69
13	DEREFERENCE_NULLABLE	dereferenced expression pivot is @Nullable	    Node<K, V> pivotLeft = pivot.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:433	5a25cf76a9347b032950291dfe04bdc967f0c1e8
14	DEREFERENCE_NULLABLE	dereferenced expression center is @Nullable	          Node<K, V> left = center.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:728	80e1d3a886d9f355133c8b0c70d302531d4b5980
15	DEREFERENCE_NULLABLE	dereferenced expression center is @Nullable	          center.right = right;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:743	05be8b3236f043adcaea3e5f1672d22f33fdbc59
16	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	          center.parent = left.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:729	3cd67a24169dcfbcd4d89ed446c48e8210cc295a
18	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	          Node<K, V> center = right.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:740	3e3a528c4ef7483f47a3b237b7bace82b1c50136
19	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	      if (stackTop.parent != null) {	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	7cd0df2468063391661674e33dabe0f8214d9418
20	DEREFERENCE_NULLABLE	dereferenced expression prev is @Nullable	      prev.next = this;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:495	4aecf377b75ea7875508fb19b109502480fa6af0
23	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	        Node<K, V> rightLeft = right.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:327	ef22086a153ead4382eb8d6a2f1acf60edd40dde
24	DEREFERENCE_NULLABLE	dereferenced expression pivot is @Nullable	    Node<K, V> pivotLeft = pivot.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:382	06708acb0d31ad53438ac2ae7cc931f870c4b69d
26	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	      return TypeAdapters.JSON_ELEMENT.read(reader);	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/Streams.java:43	8ea0e8b2cf5c1bd8e934875d453ad6d9a78737db
