ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	0	0	0	0	0.000000	openai/gpt-5.1
2	1	0	0	0	0	0.000000	openai/gpt-5.1
3	1	0	0	0	0	0.000000	openai/gpt-5.1
4	1	0	0	0	0	0.000000	openai/gpt-5.1
5	1	0	0	0	0	0.000000	openai/gpt-5.1
6	1	0	0	0	0	0.000000	openai/gpt-5.1
7	1	0	0	0	0	0.000000	openai/gpt-5.1
8	1	0	0	0	0	0.000000	openai/gpt-5.1
9	1	0	0	0	0	0.000000	openai/gpt-5.1
10	1	0	0	0	0	0.000000	openai/gpt-5.1
11	1	0	0	0	0	0.000000	openai/gpt-5.1
12	1	567	0	102	669	0.001729	openai/gpt-5.1
13	1	0	0	0	0	0.000000	openai/gpt-5.1
14	1	0	0	0	0	0.000000	openai/gpt-5.1
15	1	0	0	0	0	0.000000	openai/gpt-5.1
16	1	0	0	0	0	0.000000	openai/gpt-5.1
17	1	0	0	0	0	0.000000	openai/gpt-5.1
18	1	0	0	0	0	0.000000	openai/gpt-5.1
19	1	483	0	162	645	0.002224	openai/gpt-5.1
20	1	0	0	0	0	0.000000	openai/gpt-5.1
21	1	0	0	0	0	0.000000	openai/gpt-5.1
22	1	0	0	0	0	0.000000	openai/gpt-5.1
23	1	0	0	0	0	0.000000	openai/gpt-5.1
24	1	0	0	0	0	0.000000	openai/gpt-5.1
25	1	0	0	0	0	0.000000	openai/gpt-5.1
26	1	669	0	462	1131	0.005456	openai/gpt-5.1
27	1	0	0	0	0	0.000000	openai/gpt-5.1
28	1	515	0	98	613	0.001624	openai/gpt-5.1
29	1	0	0	0	0	0.000000	openai/gpt-5.1
30	1	0	0	0	0	0.000000	openai/gpt-5.1
31	1	1135	0	968	2103	0.011099	openai/gpt-5.1
32	1	0	0	0	0	0.000000	openai/gpt-5.1
33	1	0	0	0	0	0.000000	openai/gpt-5.1
34	1	334	0	78	412	0.001198	openai/gpt-5.1
35	1	0	0	0	0	0.000000	openai/gpt-5.1
36	1	0	0	0	0	0.000000	openai/gpt-5.1
37	1	0	0	0	0	0.000000	openai/gpt-5.1
38	1	0	0	0	0	0.000000	openai/gpt-5.1
39	1	0	0	0	0	0.000000	openai/gpt-5.1
40	1	0	0	0	0	0.000000	openai/gpt-5.1
41	1	0	0	0	0	0.000000	openai/gpt-5.1
42	1	359	0	67	426	0.001119	openai/gpt-5.1
43	1	505	0	239	744	0.003021	openai/gpt-5.1
44	1	470	0	72	542	0.001308	openai/gpt-5.1
45	1	0	0	0	0	0.000000	openai/gpt-5.1
46	1	557	0	256	813	0.003256	openai/gpt-5.1
47	1	473	0	56	529	0.001151	openai/gpt-5.1
48	1	0	0	0	0	0.000000	openai/gpt-5.1
49	1	439	0	104	543	0.001589	openai/gpt-5.1
50	1	0	0	0	0	0.000000	openai/gpt-5.1
51	1	0	0	0	0	0.000000	openai/gpt-5.1
52	1	439	0	105	544	0.001599	openai/gpt-5.1
53	1	0	0	0	0	0.000000	openai/gpt-5.1
54	1	0	0	0	0	0.000000	openai/gpt-5.1
55	1	0	0	0	0	0.000000	openai/gpt-5.1
56	1	502	0	337	839	0.003998	openai/gpt-5.1
57	1	548	0	110	658	0.001785	openai/gpt-5.1
58	1	1359	0	281	1640	0.004509	openai/gpt-5.1
59	1	503	0	109	612	0.001719	openai/gpt-5.1
60	1	0	0	0	0	0.000000	openai/gpt-5.1
61	1	1826	0	1655	3481	0.018833	openai/gpt-5.1
62	1	502	0	86	588	0.001488	openai/gpt-5.1
63	1	470	0	51	521	0.001098	openai/gpt-5.1
64	1	0	0	0	0	0.000000	openai/gpt-5.1
65	1	0	0	0	0	0.000000	openai/gpt-5.1
66	1	616	0	84	700	0.001610	openai/gpt-5.1
67	1	519	0	90	609	0.001549	openai/gpt-5.1
68	1	0	0	0	0	0.000000	openai/gpt-5.1
69	1	0	0	0	0	0.000000	openai/gpt-5.1
70	1	570	0	346	916	0.004173	openai/gpt-5.1
71	1	0	0	0	0	0.000000	openai/gpt-5.1
72	1	0	0	0	0	0.000000	openai/gpt-5.1
73	1	539	0	309	848	0.003764	openai/gpt-5.1
74	1	538	0	191	729	0.002583	openai/gpt-5.1
75	1	0	0	0	0	0.000000	openai/gpt-5.1
76	1	0	0	0	0	0.000000	openai/gpt-5.1
77	1	0	0	0	0	0.000000	openai/gpt-5.1
78	1	0	0	0	0	0.000000	openai/gpt-5.1
79	1	547	0	79	626	0.001474	openai/gpt-5.1
80	1	592	0	409	1001	0.004830	openai/gpt-5.1
81	1	687	0	264	951	0.003499	openai/gpt-5.1
82	1	840	0	517	1357	0.006220	openai/gpt-5.1
83	1	653	0	342	995	0.004236	openai/gpt-5.1
84	1	0	0	0	0	0.000000	openai/gpt-5.1
85	1	0	0	0	0	0.000000	openai/gpt-5.1
86	1	0	0	0	0	0.000000	openai/gpt-5.1
87	1	0	0	0	0	0.000000	openai/gpt-5.1
88	1	0	0	0	0	0.000000	openai/gpt-5.1
89	1	460	0	88	548	0.001455	openai/gpt-5.1
90	1	0	0	0	0	0.000000	openai/gpt-5.1
91	1	0	0	0	0	0.000000	openai/gpt-5.1
92	1	0	0	0	0	0.000000	openai/gpt-5.1
93	1	0	0	0	0	0.000000	openai/gpt-5.1
94	1	0	0	0	0	0.000000	openai/gpt-5.1
95	1	512	0	268	780	0.003320	openai/gpt-5.1
96	1	0	0	0	0	0.000000	openai/gpt-5.1
97	1	0	0	0	0	0.000000	openai/gpt-5.1
98	1	0	0	0	0	0.000000	openai/gpt-5.1
99	1	0	0	0	0	0.000000	openai/gpt-5.1
100	1	0	0	0	0	0.000000	openai/gpt-5.1
101	1	0	0	0	0	0.000000	openai/gpt-5.1
102	1	0	0	0	0	0.000000	openai/gpt-5.1
103	1	0	0	0	0	0.000000	openai/gpt-5.1
104	1	0	0	0	0	0.000000	openai/gpt-5.1
105	1	0	0	0	0	0.000000	openai/gpt-5.1
106	1	0	0	0	0	0.000000	openai/gpt-5.1
107	1	0	0	0	0	0.000000	openai/gpt-5.1
108	1	0	0	0	0	0.000000	openai/gpt-5.1
109	1	0	0	0	0	0.000000	openai/gpt-5.1
110	1	0	0	0	0	0.000000	openai/gpt-5.1
111	1	0	0	0	0	0.000000	openai/gpt-5.1
112	1	0	0	0	0	0.000000	openai/gpt-5.1
113	1	0	0	0	0	0.000000	openai/gpt-5.1
114	1	0	0	0	0	0.000000	openai/gpt-5.1
115	1	0	0	0	0	0.000000	openai/gpt-5.1
116	1	0	0	0	0	0.000000	openai/gpt-5.1
117	1	0	0	0	0	0.000000	openai/gpt-5.1
118	1	0	0	0	0	0.000000	openai/gpt-5.1
119	1	583	0	229	812	0.003019	openai/gpt-5.1
120	1	766	0	617	1383	0.007128	openai/gpt-5.1
121	1	802	0	637	1439	0.007373	openai/gpt-5.1
122	1	805	0	650	1455	0.007506	openai/gpt-5.1
123	1	785	0	649	1434	0.007471	openai/gpt-5.1
124	1	801	0	658	1459	0.007581	openai/gpt-5.1
125	1	0	0	0	0	0.000000	openai/gpt-5.1
126	1	0	0	0	0	0.000000	openai/gpt-5.1
127	1	0	0	0	0	0.000000	openai/gpt-5.1
128	1	0	0	0	0	0.000000	openai/gpt-5.1
129	1	0	0	0	0	0.000000	openai/gpt-5.1
130	1	0	0	0	0	0.000000	openai/gpt-5.1
131	1	0	0	0	0	0.000000	openai/gpt-5.1
132	1	0	0	0	0	0.000000	openai/gpt-5.1
133	1	531	0	307	838	0.003734	openai/gpt-5.1
134	1	653	0	450	1103	0.005316	openai/gpt-5.1
135	1	472	0	216	688	0.002750	openai/gpt-5.1
136	1	0	0	0	0	0.000000	openai/gpt-5.1
137	1	0	0	0	0	0.000000	openai/gpt-5.1
138	1	0	0	0	0	0.000000	openai/gpt-5.1
139	1	0	0	0	0	0.000000	openai/gpt-5.1
140	1	0	0	0	0	0.000000	openai/gpt-5.1
141	1	0	0	0	0	0.000000	openai/gpt-5.1
142	1	483	0	88	571	0.001484	openai/gpt-5.1
143	1	0	0	0	0	0.000000	openai/gpt-5.1
144	1	0	0	0	0	0.000000	openai/gpt-5.1
145	1	0	0	0	0	0.000000	openai/gpt-5.1
146	1	0	0	0	0	0.000000	openai/gpt-5.1
147	1	0	0	0	0	0.000000	openai/gpt-5.1
148	1	0	0	0	0	0.000000	openai/gpt-5.1
149	1	0	0	0	0	0.000000	openai/gpt-5.1
150	1	0	0	0	0	0.000000	openai/gpt-5.1
151	1	0	0	0	0	0.000000	openai/gpt-5.1
152	1	749	0	503	1252	0.005966	openai/gpt-5.1
153	1	765	0	512	1277	0.006076	openai/gpt-5.1
154	1	0	0	0	0	0.000000	openai/gpt-5.1
155	1	0	0	0	0	0.000000	openai/gpt-5.1
156	1	331	0	52	383	0.000934	openai/gpt-5.1
157	1	0	0	0	0	0.000000	openai/gpt-5.1
158	1	0	0	0	0	0.000000	openai/gpt-5.1
159	1	0	0	0	0	0.000000	openai/gpt-5.1
160	1	0	0	0	0	0.000000	openai/gpt-5.1
161	1	0	0	0	0	0.000000	openai/gpt-5.1
162	1	424	0	91	515	0.001440	openai/gpt-5.1
163	1	0	0	0	0	0.000000	openai/gpt-5.1
164	1	793	0	453	1246	0.005521	openai/gpt-5.1
165	1	0	0	0	0	0.000000	openai/gpt-5.1
166	1	0	0	0	0	0.000000	openai/gpt-5.1
167	1	0	0	0	0	0.000000	openai/gpt-5.1
168	1	0	0	0	0	0.000000	openai/gpt-5.1
169	1	0	0	0	0	0.000000	openai/gpt-5.1
170	1	0	0	0	0	0.000000	openai/gpt-5.1
171	1	0	0	0	0	0.000000	openai/gpt-5.1
172	1	0	0	0	0	0.000000	openai/gpt-5.1
173	1	0	0	0	0	0.000000	openai/gpt-5.1
174	1	0	0	0	0	0.000000	openai/gpt-5.1
175	1	539	0	174	713	0.002414	openai/gpt-5.1
176	1	0	0	0	0	0.000000	openai/gpt-5.1
177	1	0	0	0	0	0.000000	openai/gpt-5.1
178	1	458	0	108	566	0.001652	openai/gpt-5.1
179	1	445	0	129	574	0.001846	openai/gpt-5.1
180	1	0	0	0	0	0.000000	openai/gpt-5.1
181	1	549	0	366	915	0.004346	openai/gpt-5.1
182	1	0	0	0	0	0.000000	openai/gpt-5.1
183	1	0	0	0	0	0.000000	openai/gpt-5.1
184	1	0	0	0	0	0.000000	openai/gpt-5.1
185	1	0	0	0	0	0.000000	openai/gpt-5.1
186	1	0	0	0	0	0.000000	openai/gpt-5.1
187	1	0	0	0	0	0.000000	openai/gpt-5.1
188	1	0	0	0	0	0.000000	openai/gpt-5.1
189	1	0	0	0	0	0.000000	openai/gpt-5.1
190	1	0	0	0	0	0.000000	openai/gpt-5.1
191	1	0	0	0	0	0.000000	openai/gpt-5.1
192	1	0	0	0	0	0.000000	openai/gpt-5.1
193	1	1059	0	949	2008	0.010814	openai/gpt-5.1
194	1	0	0	0	0	0.000000	openai/gpt-5.1
195	1	478	0	193	671	0.002528	openai/gpt-5.1
196	1	0	0	0	0	0.000000	openai/gpt-5.1
197	1	0	0	0	0	0.000000	openai/gpt-5.1
198	1	0	0	0	0	0.000000	openai/gpt-5.1
199	1	0	0	0	0	0.000000	openai/gpt-5.1
200	1	0	0	0	0	0.000000	openai/gpt-5.1
201	1	0	0	0	0	0.000000	openai/gpt-5.1
202	1	0	0	0	0	0.000000	openai/gpt-5.1
203	1	0	0	0	0	0.000000	openai/gpt-5.1
204	1	0	0	0	0	0.000000	openai/gpt-5.1
205	1	0	0	0	0	0.000000	openai/gpt-5.1
206	1	0	0	0	0	0.000000	openai/gpt-5.1
207	1	0	0	0	0	0.000000	openai/gpt-5.1
208	1	0	0	0	0	0.000000	openai/gpt-5.1
209	1	0	0	0	0	0.000000	openai/gpt-5.1
210	1	0	0	0	0	0.000000	openai/gpt-5.1
211	1	0	0	0	0	0.000000	openai/gpt-5.1
212	1	0	0	0	0	0.000000	openai/gpt-5.1
213	1	0	0	0	0	0.000000	openai/gpt-5.1
214	1	0	0	0	0	0.000000	openai/gpt-5.1
215	1	457	0	70	527	0.001271	openai/gpt-5.1
216	1	0	0	0	0	0.000000	openai/gpt-5.1
217	1	0	0	0	0	0.000000	openai/gpt-5.1
218	1	0	0	0	0	0.000000	openai/gpt-5.1
219	1	0	0	0	0	0.000000	openai/gpt-5.1
220	1	0	0	0	0	0.000000	openai/gpt-5.1
221	1	0	0	0	0	0.000000	openai/gpt-5.1
222	1	0	0	0	0	0.000000	openai/gpt-5.1
223	1	0	0	0	0	0.000000	openai/gpt-5.1
224	1	0	0	0	0	0.000000	openai/gpt-5.1
225	1	0	0	0	0	0.000000	openai/gpt-5.1
226	1	0	0	0	0	0.000000	openai/gpt-5.1
227	1	0	0	0	0	0.000000	openai/gpt-5.1
228	1	0	0	0	0	0.000000	openai/gpt-5.1
229	1	0	0	0	0	0.000000	openai/gpt-5.1
230	1	495	0	100	595	0.001619	openai/gpt-5.1
231	1	461	0	92	553	0.001496	openai/gpt-5.1
232	1	0	0	0	0	0.000000	openai/gpt-5.1
