ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	3	0	0	0	0	0.000000	openai/gpt-5.1
2	18	3722	0	1090	4812	0.015553	openai/gpt-5.1
3	31	0	0	0	0	0.000000	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	0	0	0	0	0	0.000000	openai/gpt-5.1
6	3	0	0	0	0	0.000000	openai/gpt-5.1
7	1	0	0	0	0	0.000000	openai/gpt-5.1
8	1	0	0	0	0	0.000000	openai/gpt-5.1
9	1	0	0	0	0	0.000000	openai/gpt-5.1
10	5	0	0	0	0	0.000000	openai/gpt-5.1
11	2	0	0	0	0	0.000000	openai/gpt-5.1
12	9	0	0	0	0	0.000000	openai/gpt-5.1
13	2	0	0	0	0	0.000000	openai/gpt-5.1
14	7	0	0	0	0	0.000000	openai/gpt-5.1
15	5	0	0	0	0	0.000000	openai/gpt-5.1
16	3	2176	0	282	2458	0.005540	openai/gpt-5.1
17	3	5444	0	1970	7414	0.026505	openai/gpt-5.1
18	3	5504	0	2483	7987	0.031710	openai/gpt-5.1
19	1	0	0	0	0	0.000000	openai/gpt-5.1
20	2	0	0	0	0	0.000000	openai/gpt-5.1
21	3	4004	0	1158	5162	0.016585	openai/gpt-5.1
22	1	0	0	0	0	0.000000	openai/gpt-5.1
23	3	0	0	0	0	0.000000	openai/gpt-5.1
