ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression inboundRequest is @Nullable	    SessionContext context = inboundRequest.getContext();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/BasicRequestCompleteHandler.java:32	b3db83fed5092b5ab11b30ea74f8f4dda1b0a5af
6	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	    if (cause instanceof IllegalStateException && cause.getMessage().contains("server")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/NettyRequestAttemptFactory.java:70	ea329b2019ce874110d0603c54acc14fc617b40e
7	PASS_NULLABLE	passing @Nullable parameter 'key' where @NonNull is required	    final DiscoveryResult chosenServer = dynamicServerResolver.resolve(key);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/connectionpool/DefaultClientChannelManager.java:381	20595e751bcaa5730589d302e71349c18599f7d8
8	PASS_NULLABLE	passing @Nullable parameter 'filter(endpoint, zuulReq)' where @NonNull is required	          invokeNextStage(filter(endpoint, zuulReq));	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/filter/ZuulEndPointRunner.java:162	d48e21a98e5f7cee785db79c94536cdad36499b5
9	PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	    this(zuulFilters, usageNotifier, null, registry);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/filter/ZuulFilterChainRunner.java:55	bf22e011a5b0c40fdd04788ee4fad929ccc5c72b
10	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	    final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	fbb7f53c1e0582b036b2342dccadb72fc2c2cff4
11	DEREFERENCE_NULLABLE	dereferenced expression zuulRequest is @Nullable	      zuulRequest.getHeaders().remove(HttpHeaderNames.EXPECT.toString());	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ClientRequestReceiver.java:304	04df89ee4efd11fdbf79ab906d229baef19e1971
12	METHOD_NO_INIT	initializer method does not guarantee @NonNull field serverGroup (line 123) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public Server(	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java:183	15e77c88a7afef3ac59417ff1c5c08372ce919f8
13	DEREFERENCE_NULLABLE	dereferenced expression bindType.addressSupplier is @Nullable	          return new InetSocketAddress(bindType.addressSupplier.get(), port);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/SocketAddressProperty.java:150	a6b78470dc6f35f577f2ec4908604a36d14926f0
14	METHOD_NO_INIT	initializer method does not guarantee @NonNull field ctx (line 44) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public PushRegistrationHandler(	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/push/PushRegistrationHandler.java:62	c10b055e25596d2f095adfb39d00ff593842f75d
