ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	3	835	0	333	1168	0.004374	openai/gpt-5.1
2	18	1827	0	240	2067	0.004684	openai/gpt-5.1
3	26	6124	0	2867	8991	0.036325	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	0	0	0	0	0	0.000000	openai/gpt-5.1
6	3	3430	0	1307	4737	0.017358	openai/gpt-5.1
7	1	752	0	474	1226	0.005680	openai/gpt-5.1
8	1	711	0	418	1129	0.005069	openai/gpt-5.1
9	1	373	0	92	465	0.001386	openai/gpt-5.1
10	4	2699	0	1237	3936	0.015744	openai/gpt-5.1
11	2	2525	0	820	3345	0.011356	openai/gpt-5.1
12	9	7986	0	2862	10848	0.038603	openai/gpt-5.1
13	2	1440	0	953	2393	0.011330	openai/gpt-5.1
14	7	3947	0	1891	5838	0.023844	openai/gpt-5.1
15	5	7577	0	3962	11539	0.049091	openai/gpt-5.1
16	2	1715	0	881	2596	0.010954	openai/gpt-5.1
17	3	5048	0	1922	6970	0.025530	openai/gpt-5.1
18	3	1587	1024	1777	4388	0.019882	openai/gpt-5.1
19	1	532	0	222	754	0.002885	openai/gpt-5.1
20	2	1613	0	803	2416	0.010046	openai/gpt-5.1
21	3	3740	0	1388	5128	0.018555	openai/gpt-5.1
22	1	501	0	228	729	0.002906	openai/gpt-5.1
23	3	1829	0	285	2114	0.005136	openai/gpt-5.1
