Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)_Michael	SCORE (Patch B)_Michael	SCORE (Patch C)_Michael	Comment_Michael	SCORE (Patch A)_Martin	SCORE (Patch B)_Martin	SCORE (Patch C)_Martin	Comment_Martin	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	Consolidation Comment (Optional)	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
libgdx	288	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression event is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/SelectBox.java:544	event.stop();	2	3	1	B contradicts the nullable annotation. Not fully sure whether A or C is better, but C seems most aligned with the intent.	3	2	3	I think this warning is a false positive, and that the @Nullable annotation on the parameter is probably incorrect. My reasoning is based on reading the source code for the InputListener class (https://github.com/libgdx/libgdx/blob/master/gdx/src/com/badlogic/gdx/scenes/scene2d/InputListener.java), whose #handle method explicitly does a null check (via instanceof) before calling keyDown() or any of the other registerable listeners. Patch B correctly suppresses the warning, but the better fix would be to remove the @Nullable annotation. Patches A and C are totally wrong.	3	2	3	MP: I think Martin is right here. My general assumption was that the annotations must be correct, which isn't true, actually.			
litiengine	4	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression Game.info() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:73	this.hostControl.setTitle(Game.info().getTitle());	1	2	1	A and C avoid setting a title if there is none. B just makes up a title, which could be fine, but I'm not sure about the string value.	2	1	2	Game.info() can legitimately be nullable (see, e.g., line 592 in https://github.com/Pascal-Joos/litiengine/blob/3192bbb2a2fa8890f9f5632927793cb1ea54da7a/src/de/gurkenlabs/litiengine/Game.java), so all of the patches are on the right track. I prefer patch B because it handles the failure case more gracefully by providing a default title.	1	1	1	"MP: Whether setting some title or just having no title is better ultimately is a matter of taste, I guess. How about setting all three patches to ""1"" (because they all could be considered correct)?  MK: I'm ok with that decision."			
litiengine	130	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression x.getImage() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/resources/ResourceBundle.java:203	x.getName().equals(sprite.getName()) && x.getImage().equals(sprite.getImage()))) {	3	3	1	A makes changes that go beyond the reported error and is pretty complex. B calls isEmpty(), which wasn't called before. C is elegant, concise, and matches my understanding of the intended behavior.	2	3	1	Patch C correctly uses null-safe equality; Patch A is unnecessarily verbose; Patch B also changes the semantics by adding the check that the sprite's image is non-empty.	3	3	1	MK: I was between 2 and 3 on patch A anyway, and I'm happy to cede to Michael's judgement here.			
eureka	13	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:405	overriddenInstanceStatus.name(),	2	3	1	C matches my understanding of intended behavor. A is similar, but unnecessarily adds duplicate code. B skips the logging, which likely isn't intended.	1	2	2	Patch A adds a logging statement, mirroring the logic for UNKNOWN statuses. The others also mirror that logic but either omit the logging (B) or use the same error message as UNKNOWN (C), which is wrong because that error message specifically mentions that the status is UNKNOWN (which isn't true if it's null instead).	1	3	2	MK: I don't think patch C should be higher than a 2, because of the incorrect logging message. I'd be happy to agree on 1 3 2, though. MP: Agreed. I had missed the incorrect logging message.			
litiengine	85	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/graphics/animation/Animation.java:180	return this.spritesheet;	3	1	3	A moves the problem to the callers, without editing them; it also makes another, unrelated edit. C is similar, but edits at least one call site; however, it also applies another, unrelated edit. B seems the best, but I'm not 100% if raising a runtime error is intended.	2	3	2	Both patches A and C correctly make getSpritesheet @Nullable (the null check on line 172 makes it clear that it should be); Patch B is a 3 because it doesn't. Both patch A and C are scored 2, though, because both include extraneous changes that aren't related to the warning. Patch A is _worse_ (the extraneous changes trigger more warnings), but it's on the right track.	2	3	2	"MP: I see the check in line 172, but it doesn't imply that spritesheet may still be null after trying to assign it in line 177. At the same time, the wording of the comment (""try to find an updated one"") suggests that a null value may still be possible, so perhaps annotating the method as nullable is correct."	3	0	0
libgdx	319	hash_basic	hash_agent_baseline	hash_advanced	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:986	prefWidth = c.prefWidth.get(a),	3	2	3	Table.add() shows that the actor maybe null, so C seems wrong. A just skips behavior, which also seems wrong. B could be correct, but it's hard to fully understand the intent here.	3	3	2	This is a false positive: actors in cells are always non-null. addActor() is defined in Group.java (one level up in the package hierarchy) and clearly only takes non-null arguments; the only place that addActor is called is guarded by a null check. I don't think there's a way for a null actor to end up in a cell, but to be honest the design of this class leaves something to be desired. Patches A and B are therefore wrong. Patch C is on the right track, but the ridiculously verbose suppression scheme isn't right: instead, the actor should be moved into a local variable with the right type, and suppressed just once.	3	3	3	MK: Maybe these should all be 3s? But, the problem here is that this class is just an utter disaster from a design perspective, so I'm not sure any of us know what the spec is supposed to be.  MP: Let's do all 3s.			
glide	10	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression loadData is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:102	cb.onDataFetcherReady(sourceKey, data, loadData.fetcher, DataSource.DATA_DISK_CACHE, sourceKey);	3	1	1	B and C mimick what's done in cancel() just above, which looks good. A adds functionality, but I doubt this it's intended.	2	1	1	loadData can definitely be null. I don't see any other reasonable way to handle it than the way that patches B and C do. Patch A contains extraneous changes.	3	1	1	MK: I prefer 2 rather than 3 for patch A still, because patch A can be fixed by only deleting unnecessary changes. However, I'm willing to agree on 3 if MP feels strongly. MP: As A includes not just one, but multiple unrelated edits, I'd simply reject it as a code reviewer.			
libgdx	175	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression node is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/utils/ModelBuilder.java:157	node.parts.add(new NodePart(meshpart, material));	3	3	1	A suggest calling begin(), which doesn't make sense, as begin() sets node to null. B also doesn't make sense, as it replaces a call of node() with an error saying you should call node(). C looks like the intended behavior: node() creates a new node, which can then be used.	3	2	2	"IMO calling node() first is the right thing to do, but even patch C (which does this) contains an extraneous copy of a comment _and_ doesn't update the comment to indicate that this method will automatically create a node if there isn't one already. Patch B is also at least plausibly on the right track (throwing a new GdxException(""call node first"") is in line with how the need to call begin() is handled elsewhere), but IMO is a worse design. However, it's more consistent with the existing code in the class, and I could imagine an SDE going with either patch B or patch C's strategy. Patch A is clearly wrong - its error message indicates the wrong method, so it's strictly worse than patch B. Patch B also unnecessarily includes a check for model being null, which prevents it from scoring a 1."	3	2	2	MK: I don't think patch C should get a 1, because it definitely needs edits before being merged. I agree that I'd prefer C's strategy over B's, but what convinced me to give B a 2 is that it seems more consistent with the rest of the class. I can be convinced to change my score to a 3 for patch B, though. MP: Fully agree about C getting only a 2. You're right that B can be seen as consistent with the other locations that raise similar exceptions, so I'm okay with 2 for B.			
spring-boot	20	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'this.applicationContext' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBinder.java:237	\t\t\treturn new ConfigurationPropertiesBinder(this.applicationContext);	1	2	2	All three patches raise an exception if the value is null, which seems okay. A does so in the most elegant and concise way.	3	1	1	Beans! throwing an exception is right, this state shouldn't occur, but the control flow is nonobvious (through the framework) so it's unsurprising that the checker has a false positive.	1	1	1	MK: I can agree that Patch A is ok. However, I still actually prefer patches B and C, because they make it clear that it's abnormal behavior. I'm happy to agree on all 1s, though.			
libgdx	181	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/ETC1TextureData.java:107	data = null;	3	1	3	A and C simply remove the assignment, which is likely unintended. The 'data'  field should be annoated as nullable (as there's a null check at line 64). B adds this annotation and then tries to handle its effects.	2	3	1	There's no reason to null out `data`, and doing so is an antipattern.	3	1	3	MK: my problem here is with the design of the class, so I suppose I should revise my ratings. I still think that nulling out fields for linearity is an antipattern (use a linearity type system instead!), but the remit of these tools is to annotate the code without fundamentally changing the design. With that in mind, patch B probably is the best one, since it handles the impact of making the field nullable without introducing new errors.			
