ID	TYPE	Message	EXPRESSION	PATH	HASH
2	FIELD_NO_INIT	@NonNull static field audio not initialized	  public static Audio audio;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:35	3b8ae6abec3d0332fc71cc7431552579a4a68bf5
9	DEREFERENCE_NULLABLE	dereferenced expression keyNames is @Nullable	      return keyNames.get(keyname, -1);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Input.java:639	836002f1ff84a0e654a139c6083426f36da7fe3e
10	DEREFERENCE_NULLABLE	dereferenced expression loadFuture is @Nullable	    else if (loadFuture.isDone()) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetLoadingTask.java:153	58e497575adece67f6065760d0088dce8f88a9b1
11	DEREFERENCE_NULLABLE	dereferenced expression assetDescriptor is @Nullable	    return get(assetDescriptor.fileName, assetDescriptor.type, true);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetManager.java:207	cd02479c3f78573ccd0c670da2255e3d2d41fe25
14	DEREFERENCE_NULLABLE	dereferenced expression resolver is @Nullable	    return resolver.resolve(fileName);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/AssetLoader.java:52	fede1fe1b3ac1d4c5d6b3a8d1d7f28f3d49b07fa
15	METHOD_NO_INIT	initializer method does not guarantee @NonNull field data (line 49) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public BitmapFontLoader(FileHandleResolver resolver) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/BitmapFontLoader.java:44	01750f25fc7f577def5290e3cd8a68f463b6f96d
16	FIELD_NO_INIT	@NonNull field CubemapLoader$CubemapLoaderInfo.data not initialized	    CubemapData data;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/CubemapLoader.java:45	18c435902903925a819a58a5fb7a0374c327eea0
18	DEREFERENCE_NULLABLE	dereferenced expression info.data is @Nullable	    if (!info.data.isPrepared()) info.data.prepare();	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/TextureLoader.java:77	fd1d6b2dacba0c3a8c1c59d45ca14f1c0daf5419
21	DEREFERENCE_NULLABLE	dereferenced expression color is @Nullable	    this.r = color.r;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Color.java:117	24d242b50ea87eadd4fad1e2dd351f4b91085b10
22	DEREFERENCE_NULLABLE	dereferenced expression managedCubemaps.get(Gdx.app) is @Nullable	    return managedCubemaps.get(Gdx.app).size;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Cubemap.java:367	33d18d0bb030b83a72dd179e9d19f006e0817c75
