ID	TYPE	Message	EXPRESSION	PATH	HASH
1	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      this.mockitoOngoingStubbing = ongoingStubbing;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/BDDMockito.java:173	12481f81aa280f670e5787be5522da49cc61951d
2	DEREFERENCE_NULLABLE	dereferenced expression ongoingStubbing is @Nullable	    List<Invocation> allInvocations = ongoingStubbing.getRegisteredInvocations();	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/MockitoCore.java:255	9ef52550ef5c18dfe87e93f3f532199b43f07308
3	DEREFERENCE_NULLABLE	dereferenced expression constructorArgs is @Nullable	    List<Object> resultArgs = new ArrayList<Object>(constructorArgs.length + 1);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/MockSettingsImpl.java:161	f4e10b0ecddd9040dddb816128e2ffff4ddfe437
4	PASS_NULLABLE	passing @Nullable parameter 'INSTRUMENTATION' where @NonNull is required	            new InlineBytecodeGenerator(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:293	f53464942245d3ba329f72abeab71ff14bee6a2f
5	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method org.mockito.plugins.MockMaker.<T>createMock(org.mockito.mock.MockCreationSettings<T>,org.mockito.invocation.MockHandler) returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:298	0c41acde6d7d64d23419764a8e56d3df45c139da
6	DEREFERENCE_NULLABLE	dereferenced expression INSTRUMENTATION is @Nullable	        return INSTRUMENTATION.isModifiableClass(type) && !EXCLUDES.contains(type);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:476	82df7356e82487d3b4c735253e092973a692594e
7	DEREFERENCE_NULLABLE	dereferenced expression canRead is @Nullable	        if (!modules.contains(module) && !(Boolean) canRead.invoke(module, target)) {	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java:281	1e4aa90b57ea953a70eb1adacf43a16299a09611
8	DEREFERENCE_NULLABLE	dereferenced expression getModule is @Nullable	          getModule.invoke(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java:274	383cc10d20a4e6f4036a39a2f67bfc19d5d867f4
9	PASS_NULLABLE	passing @Nullable parameter 'cause' where @NonNull is required	              hideRecursiveCall(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodAdvice.java:329	e8bca2e02758078ce12cc0c4d1f59ed4ce218369
10	DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS\n        .get(identifier) is @Nullable	    return DISPATCHERS	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java:54	118af1d52fc6e813c67ebab7e9503a4ab754e51a
11	DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS.get(identifier) is @Nullable	    return DISPATCHERS.get(identifier).isConstructorMock(type);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java:43	35f846bb23f38c45640b9f05c3eb5411ee3d84d8
12	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields typeToMock (line 26), defaultAnswer (line 30), mockName (line 31) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public CreationSettings() {}	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java:50	87723cbeecd5311d3b249bfce015d8ea922a088f
13	DEREFERENCE_NULLABLE	dereferenced expression details is @Nullable	                + details.getMessage(),	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java:770	62e4d93025b3ef082a877c8798feae491083e895
14	DEREFERENCE_NULLABLE	dereferenced expression undesired is @Nullable	                + MockUtil.getMockName(undesired.getMock())	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java:474	5145d98bc785c94f8a7d4549606c55348eead00d
15	DEREFERENCE_NULLABLE	dereferenced expression testClassInstance is @Nullable	    return testClassInstance.getClass().getSimpleName() + "." + testMethodName;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/junit/DefaultTestFinishedEvent.java:28	e2635e3def9f1c65e53f30a955ee6ba20f06b55f
16	DEREFERENCE_NULLABLE	dereferenced expression message is @Nullable	        .append(message.trim())	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/junit/VerificationCollectorImpl.java:81	b0a611c397fc228a0866c2351d557bed0c0c7d49
17	METHOD_NO_INIT	initializer method does not guarantee @NonNull field invocationForStubbing (line 38) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public InvocationContainerImpl(MockCreationSettings mockSettings) {	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java:39	d5b7507b4e3c1385b23d393d652b1386559ebf6b
18	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return null;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java:103	0a28139b6bd700428aa02386432bb57ad6c9f734
19	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	    return value.getClass().getSimpleName();	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/answers/Returns.java:50	0be5437eb79747a4f92fc8345213fa7f31ff31ee
20	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	    return value.getClass();	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/answers/Returns.java:54	3ea46ed494f56cf55d624b499cc795d9b4f45ec9
