ID	TYPE	Message	EXPRESSION	PATH	HASH
1	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      this.mockitoOngoingStubbing = ongoingStubbing;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/BDDMockito.java:173	b3386d1dc19cfcd418ee1b5e24e98c16956211ad
2	DEREFERENCE_NULLABLE	dereferenced expression ongoingStubbing is @Nullable	    List<Invocation> allInvocations = ongoingStubbing.getRegisteredInvocations();	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/MockitoCore.java:255	228c2a42273f601a4833775e857e6af140734bef
3	DEREFERENCE_NULLABLE	dereferenced expression constructorArgs is @Nullable	    List<Object> resultArgs = new ArrayList<Object>(constructorArgs.length + 1);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/MockSettingsImpl.java:161	8ace64bee4b5af6d6a7eaeb75e8197d5529b201b
4	PASS_NULLABLE	passing @Nullable parameter 'INSTRUMENTATION' where @NonNull is required	            new InlineBytecodeGenerator(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:293	2df0165696cbe965022e58a2d1934f49725a3370
5	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method org.mockito.plugins.MockMaker.<T>createMock(org.mockito.mock.MockCreationSettings<T>,org.mockito.invocation.MockHandler) returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:298	f7c6b8243feedfe22d9869343619c0d021a4c3ba
6	DEREFERENCE_NULLABLE	dereferenced expression INSTRUMENTATION is @Nullable	        return INSTRUMENTATION.isModifiableClass(type) && !EXCLUDES.contains(type);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:476	8407788263333a662a23bad4759bc033d491162c
7	DEREFERENCE_NULLABLE	dereferenced expression canRead is @Nullable	        if (!modules.contains(module) && !(Boolean) canRead.invoke(module, target)) {	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java:281	447fd4a5afe23e60a871ff43926b5f25cab3497b
8	DEREFERENCE_NULLABLE	dereferenced expression getModule is @Nullable	          getModule.invoke(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java:274	c08f359e882c23c3d892fb12754ff6193e5f65e6
9	PASS_NULLABLE	passing @Nullable parameter 'cause' where @NonNull is required	              hideRecursiveCall(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodAdvice.java:329	850c2bb2bbd37a0b5ae56fab4cadd643be2109ef
10	DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS\n        .get(identifier) is @Nullable	    return DISPATCHERS	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java:54	96bae2190be0b967fdd7336495c1dcbac885a830
11	DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS.get(identifier) is @Nullable	    return DISPATCHERS.get(identifier).isConstructorMock(type);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java:43	a95a026b7eee2e9e283bc4879269c5cfa6eab8f0
12	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields typeToMock (line 26), defaultAnswer (line 30), mockName (line 31) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public CreationSettings() {}	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java:50	d6432ab8163c76ea07bdd2dc2f19997df9f5c7d0
13	DEREFERENCE_NULLABLE	dereferenced expression details is @Nullable	                + details.getMessage(),	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java:770	861c2dda5ff8976c7757fef89b3652aaade5a61e
14	DEREFERENCE_NULLABLE	dereferenced expression undesired is @Nullable	                + MockUtil.getMockName(undesired.getMock())	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java:474	d2e6611bc6708eae3eb2079c9791aacd792dc088
15	DEREFERENCE_NULLABLE	dereferenced expression testClassInstance is @Nullable	    return testClassInstance.getClass().getSimpleName() + "." + testMethodName;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/junit/DefaultTestFinishedEvent.java:28	441f5fe882d9b0d8b5198ff8c1071bc8a2c4fe9e
