ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	        return new AtomicLong(value.longValue());	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java:433	740ae318f27ebce75f721db6deb12af258112bc8
2	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	          long value = longAdapter.read(in).longValue();	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java:455	6ab8f5ceeec572e434c71717887b50b440b0871a
6	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      e.next = e.prev = null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:118	daf2ebf2a7924e6ace016cbb78e62b054d0e670a
7	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	    V result = created.value;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	1271d176c21a80ed76365599b61d2867a2fcb3b1
8	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	        Node<K, V> leftLeft = left.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:371	ff13689757bef65ca6b1f19c2ef6e4d8e1b8d936
9	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	        Node<K, V> rightLeft = right.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:353	cf79ab4435bcc86d5cca59027bc8ffdab39196ba
10	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      node.next = node.prev = null; // Help the GC (for performance)	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:255	3bb9e1e959191ac2c415e8c8b0f6f2938992df8c
11	DEREFERENCE_NULLABLE	dereferenced expression node.prev is @Nullable	      node.prev.next = node.next;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:253	d5d5efe891f155cdcd806e1f0f1cf6ff3eecbffc
12	DEREFERENCE_NULLABLE	dereferenced expression pivot is @Nullable	    Node<K, V> pivotLeft = pivot.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:408	d9478054fb4df87c55aabd0732cacec076eb5745
13	DEREFERENCE_NULLABLE	dereferenced expression pivot is @Nullable	    Node<K, V> pivotLeft = pivot.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:433	197f342f44122dbe668742819c536c929846440d
14	DEREFERENCE_NULLABLE	dereferenced expression center is @Nullable	          Node<K, V> left = center.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:728	aa9de5f3d62b020e6d74e0202d7e5a0d2a2b4dfe
15	DEREFERENCE_NULLABLE	dereferenced expression center is @Nullable	          center.right = right;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:743	ab9bf86be2e0424c810a0ea83b5bd6f91997b742
16	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	          center.parent = left.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:729	3163728b23bb61c4d2c1a7001dfcbd1641eb2923
17	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	          Node<K, V> center = right.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:727	90395bba1233de99e92849534382eaa93815d09c
18	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	          Node<K, V> center = right.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:740	b1556d6c4303eed5fabe9deca873fb6f4df2fed4
19	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	      if (stackTop.parent != null) {	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	8f5b1dade4e8a2d7767d43c71cfd80c95abcdd16
20	DEREFERENCE_NULLABLE	dereferenced expression prev is @Nullable	      prev.next = this;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:495	43897175448669fdb4870a734b3c587b93fb5f60
21	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	    V result = created.value;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:100	92065afddb8b3af6fdff993a60b893a051271172
22	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	        Node<K, V> leftLeft = left.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:345	cfbd47f81dad7dda076e547996892a5d19798a7c
23	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	        Node<K, V> rightLeft = right.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:327	dc7332523a099e67d26c36be69f5a04ff89e4b36
