ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	        return new AtomicLong(value.longValue());	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java:433	2efaaeda6162698c1181e1511a3f48962f9be5a6
2	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	          long value = longAdapter.read(in).longValue();	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java:455	bbeefe296c1b108515f944af7700af7e3d9e322e
4	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      this.ownerType = ownerType == null ? null : canonicalize(ownerType);	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:477	ebbe8bc8eab5d8514484717e85e79d90ca57dde1
5	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	        this.lowerBound = null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:583	03fb3ba826827d174febdfbe9ff820403f83f1ec
6	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      e.next = e.prev = null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:118	5491f7e72a2dd879117475fb080e2e8e9b7887e5
7	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	    V result = created.value;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	2015417c5d50bb16d5e2b64c1529bf4c0f9cb184
8	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	        Node<K, V> leftLeft = left.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:371	295b53ea8e9772b8899081b5c4e02c80a4b7c48b
9	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	        Node<K, V> rightLeft = right.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:353	589873e9c89f3816d551c19bb4a7b1e02ac5c8b1
10	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      node.next = node.prev = null; // Help the GC (for performance)	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:255	746fb61fcb03ece09c8c439aed6253f8d1d4a033
11	DEREFERENCE_NULLABLE	dereferenced expression node.prev is @Nullable	      node.prev.next = node.next;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:253	bb612846d989df8e986b43ed6b1cfef8505bea41
