ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	0	0	0	0	0.000000	openai/gpt-5.1
2	1	544	0	106	650	0.001740	openai/gpt-5.1
3	1	659	0	415	1074	0.004974	openai/gpt-5.1
4	1	0	0	0	0	0.000000	openai/gpt-5.1
5	1	0	0	0	0	0.000000	openai/gpt-5.1
6	1	0	0	0	0	0.000000	openai/gpt-5.1
7	1	0	0	0	0	0.000000	openai/gpt-5.1
8	1	0	0	0	0	0.000000	openai/gpt-5.1
9	1	0	0	0	0	0.000000	openai/gpt-5.1
10	1	0	0	0	0	0.000000	openai/gpt-5.1
11	1	558	0	177	735	0.002468	openai/gpt-5.1
12	1	637	0	339	976	0.004186	openai/gpt-5.1
13	1	521	0	141	662	0.002061	openai/gpt-5.1
14	1	0	0	0	0	0.000000	openai/gpt-5.1
15	1	527	0	206	733	0.002719	openai/gpt-5.1
16	1	596	0	261	857	0.003355	openai/gpt-5.1
17	1	0	0	0	0	0.000000	openai/gpt-5.1
18	1	0	0	0	0	0.000000	openai/gpt-5.1
19	1	0	0	0	0	0.000000	openai/gpt-5.1
20	1	0	0	0	0	0.000000	openai/gpt-5.1
21	1	0	0	0	0	0.000000	openai/gpt-5.1
22	1	0	0	0	0	0.000000	openai/gpt-5.1
23	1	479	0	116	595	0.001759	openai/gpt-5.1
24	1	557	0	199	756	0.002686	openai/gpt-5.1
25	1	0	0	0	0	0.000000	openai/gpt-5.1
26	1	0	0	0	0	0.000000	openai/gpt-5.1
27	1	0	0	0	0	0.000000	openai/gpt-5.1
28	1	0	0	0	0	0.000000	openai/gpt-5.1
29	1	0	0	0	0	0.000000	openai/gpt-5.1
30	1	316	0	55	371	0.000945	openai/gpt-5.1
31	1	0	0	0	0	0.000000	openai/gpt-5.1
32	1	329	0	60	389	0.001011	openai/gpt-5.1
33	1	333	0	55	388	0.000966	openai/gpt-5.1
34	1	0	0	0	0	0.000000	openai/gpt-5.1
