ID	TYPE	Message	EXPRESSION	PATH	HASH
1	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return node2In.get(node);	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/dataflow/graph/DataflowSolver.java:92	cf2b8b38373e9283e19e9acd6a9cd58ce1c288b7
2	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return v;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/dataflow/graph/DataflowSolver.java:88	aae8ba09a1a5524cf3539afda7137fcf0eafc11b
3	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    this.rhs = null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/fixedpoint/impl/GeneralStatement.java:81	96bfd802b7beb75145be2611bdcb205700a618f7
4	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    this.lhs = lhs;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/fixpoint/UnaryStatement.java:98	42cf2135261a5401b18719f00fec215900ce37e8
5	DEREFERENCE_NULLABLE	dereferenced expression S is @Nullable	    backingStore = HashMapFactory.make(2 * S.size());	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/BimodalMap.java:92	91db019f24d1f5b01295998c04951f6172ccf8f8
6	DEREFERENCE_NULLABLE	dereferenced expression inner is @Nullable	    I result = inner.next();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/ComposedIterator.java:52	f97d1a18bf87bf4e4f6814d207b40ddf6d9b57e8
7	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	      return null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SimpleVector.java:42	d79da3e72f44f9ad09af521befbdabed450c65f9
8	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    keysAndValues = null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SmallMap.java:188	c3651fff44dca20d3fb34859b328cb9e55f714c0
9	FIELD_NO_INIT	@NonNull field keysAndValues not initialized	  private Object[] keysAndValues;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SmallMap.java:36	b8286f98cb2aa8ab298c2c71c97a123b19626fa5
10	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.ibm.wala.util.collections.IVector.get(int) returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SparseVector.java:52	abfe10296334adcec5e4ba49eab7df5851d3d552
