ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	5	1907	0	1010	2917	0.012484	openai/gpt-5.1
2	6	0	0	0	0	0.000000	openai/gpt-5.1
3	10	0	0	0	0	0.000000	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	2	0	0	0	0	0.000000	openai/gpt-5.1
6	2	0	0	0	0	0.000000	openai/gpt-5.1
7	26	6948	0	1860	8808	0.027285	openai/gpt-5.1
8	12	0	0	0	0	0.000000	openai/gpt-5.1
9	12	8613	0	4709	13322	0.057856	openai/gpt-5.1
10	0	0	0	0	0	0.000000	openai/gpt-5.1
11	0	0	0	0	0	0.000000	openai/gpt-5.1
12	2	0	0	0	0	0.000000	openai/gpt-5.1
13	0	0	0	0	0	0.000000	openai/gpt-5.1
14	5	0	0	0	0	0.000000	openai/gpt-5.1
15	3	0	0	0	0	0.000000	openai/gpt-5.1
16	5	0	0	0	0	0.000000	openai/gpt-5.1
17	3	0	0	0	0	0.000000	openai/gpt-5.1
18	3	0	0	0	0	0.000000	openai/gpt-5.1
19	3	0	0	0	0	0.000000	openai/gpt-5.1
20	3	1605	0	1197	2802	0.013976	openai/gpt-5.1
21	33	3658	0	2254	5912	0.027112	openai/gpt-5.1
22	2	0	0	0	0	0.000000	openai/gpt-5.1
23	1	0	0	0	0	0.000000	openai/gpt-5.1
24	1	555	0	144	699	0.002134	openai/gpt-5.1
25	2	0	0	0	0	0.000000	openai/gpt-5.1
26	4	2957	0	1326	4283	0.016956	openai/gpt-5.1
27	2	0	0	0	0	0.000000	openai/gpt-5.1
28	1	0	0	0	0	0.000000	openai/gpt-5.1
29	1	604	0	195	799	0.002705	openai/gpt-5.1
30	1	0	0	0	0	0.000000	openai/gpt-5.1
31	1	509	0	100	609	0.001636	openai/gpt-5.1
32	1	0	0	0	0	0.000000	openai/gpt-5.1
33	2	0	0	0	0	0.000000	openai/gpt-5.1
34	2	859	0	489	1348	0.005964	openai/gpt-5.1
35	2	0	0	0	0	0.000000	openai/gpt-5.1
36	2	0	0	0	0	0.000000	openai/gpt-5.1
37	0	0	0	0	0	0.000000	openai/gpt-5.1
38	51	0	0	0	0	0.000000	openai/gpt-5.1
39	3	0	0	0	0	0.000000	openai/gpt-5.1
40	0	0	0	0	0	0.000000	openai/gpt-5.1
41	51	40282	0	10855	51137	0.158903	openai/gpt-5.1
42	18	0	0	0	0	0.000000	openai/gpt-5.1
43	51	42914	0	6913	49827	0.122772	openai/gpt-5.1
44	4	0	0	0	0	0.000000	openai/gpt-5.1
45	3	0	0	0	0	0.000000	openai/gpt-5.1
46	51	0	0	0	0	0.000000	openai/gpt-5.1
47	51	0	0	0	0	0.000000	openai/gpt-5.1
48	51	0	0	0	0	0.000000	openai/gpt-5.1
49	51	0	0	0	0	0.000000	openai/gpt-5.1
50	51	0	0	0	0	0.000000	openai/gpt-5.1
51	51	0	0	0	0	0.000000	openai/gpt-5.1
52	51	0	0	0	0	0.000000	openai/gpt-5.1
53	51	0	0	0	0	0.000000	openai/gpt-5.1
54	51	0	0	0	0	0.000000	openai/gpt-5.1
55	51	0	0	0	0	0.000000	openai/gpt-5.1
56	51	0	0	0	0	0.000000	openai/gpt-5.1
57	51	0	0	0	0	0.000000	openai/gpt-5.1
58	10	0	0	0	0	0.000000	openai/gpt-5.1
59	51	28484	0	16829	45313	0.203895	openai/gpt-5.1
60	4	0	0	0	0	0.000000	openai/gpt-5.1
61	2	805	0	450	1255	0.005506	openai/gpt-5.1
62	2	820	0	528	1348	0.006305	openai/gpt-5.1
63	51	0	0	0	0	0.000000	openai/gpt-5.1
64	51	631	0	224	855	0.003029	openai/gpt-5.1
65	51	0	0	0	0	0.000000	openai/gpt-5.1
66	51	0	0	0	0	0.000000	openai/gpt-5.1
67	51	0	0	0	0	0.000000	openai/gpt-5.1
68	51	0	0	0	0	0.000000	openai/gpt-5.1
69	51	0	0	0	0	0.000000	openai/gpt-5.1
70	51	0	0	0	0	0.000000	openai/gpt-5.1
71	4	0	0	0	0	0.000000	openai/gpt-5.1
72	14	0	0	0	0	0.000000	openai/gpt-5.1
73	3	0	0	0	0	0.000000	openai/gpt-5.1
