ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression ((GroovyBeanDefinitionReader) this.groovyReader) is @Nullable	\t\t\t((GroovyBeanDefinitionReader) this.groovyReader).beans(loader.getBeans());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/BeanDefinitionLoader.java:166	c0fabe883d7fcaadd68b5e4954f7486f43f94a40
4	DEREFERENCE_NULLABLE	dereferenced expression context is @Nullable	\t\t\tcontext.setApplicationStartup(this.applicationStartup);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:313	f59dbc6364b46846b3b542e24f31bbfa86a840cd
5	DEREFERENCE_NULLABLE	dereferenced expression context is @Nullable	\t\t\t\t\t\t\t\t+ context.getClass().getName());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplicationAotProcessor.java:113	42de2214c42613ca0db0ffbeac314814f2747a0c
6	DEREFERENCE_NULLABLE	dereferenced expression ex is @Nullable	\t\tString message = ex.getMessage();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringBootExceptionHandler.java:92	eb9db7854f84364e09b4d87d5a7622c8f40169d2
7	METHOD_NO_INIT	initializer method does not guarantee @NonNull field applicationContext (line 59) is initialized along all control-flow paths (remember to check for exceptions or early returns).	\tpublic SpringApplicationAdminMXBeanRegistrar(String name) throws MalformedObjectNameException {	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/admin/SpringApplicationAdminMXBeanRegistrar.java:68	3594477a534c4ccb1edf56cb238d976d4dae68c4
8	DEREFERENCE_NULLABLE	dereferenced expression ((ListableBeanFactory) this.beanFactory) is @Nullable	\t\t\tdelegates = ((ListableBeanFactory) this.beanFactory).getBeansOfType(TypeExcludeFilter.class).values();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/TypeExcludeFilter.java:79	db29dfad451f78a0dd1e5e98e767d4fc32c652d8
9	DEREFERENCE_NULLABLE	dereferenced expression profiles is @Nullable	\t\tthis.logger.trace(LogMessage.format("Setting default profiles: %s", profiles.getDefault()));	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironment.java:333	aa73d07583b9a6eb84e086ea1d4e0ae20da44a81
10	DEREFERENCE_NULLABLE	dereferenced expression before is @Nullable	\t\tList<ConfigDataEnvironmentContributor> updatedBefore = new ArrayList<>(before.size());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java:284	e7e4f08a1b6c8cc1f3f01e16acdd9da999347965
11	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn result;	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLoaders.java:115	19dcf4676dab52e98dd10810f4a9c2835f14be5f
12	DEREFERENCE_NULLABLE	dereferenced expression of(values[i]) is @Nullable	\t\t\tresult[i] = of(values[i]).withOrigin(getOrigin());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLocation.java:123	99303b7b26d21f69ac63aa82c13dee9aace030dc
