ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	3	0	0	0	0	0.000000	openai/gpt-5.1
2	2	0	0	0	0	0.000000	openai/gpt-5.1
3	3	0	0	0	0	0.000000	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	9	1974	0	542	2516	0.007888	openai/gpt-5.1
6	2	0	0	0	0	0.000000	openai/gpt-5.1
7	2	0	0	0	0	0.000000	openai/gpt-5.1
8	2	2208	0	1223	3431	0.014990	openai/gpt-5.1
9	2	2245	0	1644	3889	0.019246	openai/gpt-5.1
10	2	0	0	0	0	0.000000	openai/gpt-5.1
11	2	0	0	0	0	0.000000	openai/gpt-5.1
12	2	1853	0	1194	3047	0.014256	openai/gpt-5.1
13	3	0	0	0	0	0.000000	openai/gpt-5.1
14	1	1045	0	605	1650	0.007356	openai/gpt-5.1
15	3	0	0	0	0	0.000000	openai/gpt-5.1
16	4	0	0	0	0	0.000000	openai/gpt-5.1
17	17	188069	11520	6005	205594	0.296576	openai/gpt-5.1
18	10	102116	12544	2828	117488	0.157493	openai/gpt-5.1
19	47	209088	13824	13246	236158	0.395548	openai/gpt-5.1
20	22	331094	13952	9925	354971	0.514862	openai/gpt-5.1
21	15	43525	0	1161	44686	0.066016	openai/gpt-5.1
22	4	0	0	0	0	0.000000	openai/gpt-5.1
23	40	312401	24960	13622	350983	0.529841	openai/gpt-5.1
24	6	0	0	0	0	0.000000	openai/gpt-5.1
25	11	0	0	0	0	0.000000	openai/gpt-5.1
