Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE(Patch A)	SCORE(Patch B)	SCORE(Patch C)	Comment
conductor	20	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/3719fed669300640ac17fda79824568b67713532"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/01c89981ca10f82f58728a170b4955644c11cb2c"", ""Github"")"	FIELD_NO_INIT	@NonNull field status not initialized	conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java:72	    private Status status;				Good example. Initialization is wrong. (blue)
conductor	21	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/2433b939ded7444377e12796a794acf4e0811aca"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/33c242bce65a27a5672d0ef73f770196ac87c390"", ""Github"")"	FIELD_NO_INIT	@NonNull field taskType not initialized	conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java:70	    private String taskType;				(blue)
conductor	19	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/15f71a57fa58a859e2d0040166d9b1913664cab6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/4dbf7f1d73edb2433c328d9c04f4785ebaa539c0"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java:445	        return workflowTask;				(green)
jadx	41	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/0a616ea2d63adef82911ed94cbb6bb7137ec25c9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/8035fa32c95d025412965024a92fabe255b3ddc7"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field cleanSuccessors (line 44) is initialized along all control-flow paths (remember to check for exceptions or early returns).	jadx/jadx-core/src/main/java/jadx/core/dex/nodes/BlockNode.java:67	\tpublic BlockNode(int cid, int id, int offset) {				(blue)
jadx	34	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/9c55c6eaf3a374920d3678160007b4bcdea897ef"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/4237af8b1ffc2a94574e56a18571695ea857047f"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	jadx/jadx-core/src/main/java/jadx/core/dex/instructions/args/ArgType.java:772	\t\t\t\treturn null;				here throwing is needed I think, as null is not handled by callers (green)
jadx	93	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/da9e087ce7f5c21d040829ed05da3fc0f2204be2"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/80c25a1b307980ee2761cc2b2cbbb25fa32ea5ac"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/typeinference/TypeInfo.java:19	\t\treturn type;				Sets to a seemingly meaningful default (blue)
litiengine	7	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/4ae1dc7f7ab3630928820e85c5e011c81418713a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/4aeb6e80006b0c1bf39840a4b03030af3019c1fa"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/entities/CollisionEntity.java:91	    return this.collisionBox;				initialize the field. Seems fine.
spring-boot	78	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/2c089ccc529ec44573541640a3744ae40056496c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/c3dc4173886f912fe9993b37586a3e14be65fa48"", ""Github"")"	DEREFERENCE_NULLABLE	"enhanced-for expression (AnnotationAttributes[]) attributes.get(""initParams"") is @Nullable"	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/servlet/ServletComponentHandler.java:64	"\t\tfor (AnnotationAttributes initParam : (AnnotationAttributes[]) attributes.get(""initParams"")) {"				Seems ok null check
libgdx	284	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cc85b04d1038db4276751ef039358c723028ba79"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/2574a737ad821555660633320ea07260eab13d68"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field style (line 51) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/ProgressBar.java:90	  public ProgressBar(				This is actually a NullAway issue (yellow)
libgdx	390	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/795331e831b5ab6c8e92ba419e04843718e4cccb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/c08b63384c63e10703f139cab4d27f2061099497"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/utils/Json.java:346	      this.writer = null;				(red)
