ID	TYPE	Message	EXPRESSION	PATH	HASH
2	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return v;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/dataflow/graph/DataflowSolver.java:88	35ca090e809992d663f2338c550d1689a496b0e0
3	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    this.rhs = null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/fixedpoint/impl/GeneralStatement.java:81	630f883aaba2b95eed514ec872f7c5f99bf12a84
4	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    this.lhs = lhs;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/fixpoint/UnaryStatement.java:98	55b12a7cfd37507c35f01c77c503b20d96d7b46b
5	DEREFERENCE_NULLABLE	dereferenced expression S is @Nullable	    backingStore = HashMapFactory.make(2 * S.size());	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/BimodalMap.java:92	1c1c83910e765ede32305dacc2d9d57eb307a3ef
6	DEREFERENCE_NULLABLE	dereferenced expression inner is @Nullable	    I result = inner.next();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/ComposedIterator.java:52	a781d5c951cf861adc082c997339ee8cc620b111
7	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	      return null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SimpleVector.java:42	7140b7cfac5b9af26f3c04ca49ce83d52a77fb7d
8	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    keysAndValues = null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SmallMap.java:188	912969df9a641afa04a6daf24fb729c84053b712
9	FIELD_NO_INIT	@NonNull field keysAndValues not initialized	  private Object[] keysAndValues;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SmallMap.java:36	a519c0822d68ac5903af44de2fbbd15b124606d0
12	DEREFERENCE_NULLABLE	dereferenced expression inner is @Nullable	        T result = inner.next();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/TwoLevelVector.java:139	4caf4d41957fd94164e3da3bd55aeacf6443588c
14	DEREFERENCE_NULLABLE	dereferenced expression preds.get(N) is @Nullable	            return preds.get(N).size();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:266	2d318df6035782fad0a67949abcda8936a2e854c
16	DEREFERENCE_NULLABLE	dereferenced expression succs.get(N) is @Nullable	            return succs.get(N).size();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:282	7384fa6ff007e9be6622705220c2e1690c1955ff
18	DEREFERENCE_NULLABLE	dereferenced expression preds.get(dst) is @Nullable	            return preds.get(dst).contains(src);	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:298	cdc176482e32e0d4b66b462e1f83298a81cc08da
21	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return predecessors.getRelated(nodeManager.getNumber(node));	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/impl/SparseNumberedEdgeManager.java:147	932b0af8be544c19c1cce0325edfcc4bdcbbfe12
23	UNBOX_NULLABLE	unboxing of a @Nullable value - t1	      return (t1 - t2);	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/traverse/DFS.java:134	648c5cbda03a7dc225935e5cca73559c00060184
27	DEREFERENCE_NULLABLE	dereferenced expression G is @Nullable	    return G.getSuccNodes(n);	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/traverse/GraphDFSDiscoverTimeIterator.java:33	f079e5630ac865554622b3126b0f9a719140829b
28	UNBOX_NULLABLE	unboxing of a @Nullable value - I	        result.append(bytes / I).append("   ");	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:579	de967b885c7dae96c0f5be6c7f87ef64ab61ba87
