ID	TYPE	Message	EXPRESSION	PATH	HASH
1	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return node2In.get(node);	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/dataflow/graph/DataflowSolver.java:92	425ed4c884156cdf35490bfba3bf65b62ba93f82
2	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return v;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/dataflow/graph/DataflowSolver.java:88	c74ccf7b67e4326fc5955ccdedc2ac1d199925b2
3	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    this.rhs = null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/fixedpoint/impl/GeneralStatement.java:81	2db737e477539bc84b68da3aaa5e2a342c1a0142
4	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    this.lhs = lhs;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/fixpoint/UnaryStatement.java:98	1dcd080531c2a1c085a2b4ac36841c2852d6e0b2
5	DEREFERENCE_NULLABLE	dereferenced expression S is @Nullable	    backingStore = HashMapFactory.make(2 * S.size());	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/BimodalMap.java:92	28441377cfbbdeb67b3e329d427faa1916a4bbe9
6	DEREFERENCE_NULLABLE	dereferenced expression inner is @Nullable	    I result = inner.next();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/ComposedIterator.java:52	019a13560e32733a98bdc11c36e87404d788928b
7	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	      return null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SimpleVector.java:42	9e1fdaab2bde28997575fd839557cd38b44bc4df
8	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    keysAndValues = null;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SmallMap.java:188	b60c7c3505a25e684e09b0e25275ec14157f084a
9	FIELD_NO_INIT	@NonNull field keysAndValues not initialized	  private Object[] keysAndValues;	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SmallMap.java:36	fc07ac9e7aba7ead021bca17ea90380b38e113e3
10	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.ibm.wala.util.collections.IVector.get(int) returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/SparseVector.java:52	4b971d882f63d6970564098949464fe4cb375a0e
11	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.ibm.wala.util.collections.IVector.get(int) returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/TwoLevelVector.java:37	3fd9893da27fed40fb84b307faf04f8fb60b7c28
12	DEREFERENCE_NULLABLE	dereferenced expression inner is @Nullable	        T result = inner.next();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/collections/TwoLevelVector.java:139	bc042894f10af42f0dd37d72313c37bc763243bc
13	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.ibm.wala.dataflow.graph.ITransferFunctionProvider.getEdgeTransferFunction(T,T) returns @NonNull	          @Nullable	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/GraphReachability.java:112	d2f400c30bfa3f0f652e8085674c228852080271
14	DEREFERENCE_NULLABLE	dereferenced expression preds.get(N) is @Nullable	            return preds.get(N).size();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:266	2215ef62ad746f5890f68d6172beccef1d2178d5
15	DEREFERENCE_NULLABLE	dereferenced expression preds.get(N) is @Nullable	            return preds.get(N).iterator();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:274	461b70336376e55fbc24b82a27eb08cbe22ce751
16	DEREFERENCE_NULLABLE	dereferenced expression succs.get(N) is @Nullable	            return succs.get(N).size();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:282	18d6a6b9327220718988d5499c89f4ea9f3dcf63
17	DEREFERENCE_NULLABLE	dereferenced expression succs.get(N) is @Nullable	            return succs.get(N).iterator();	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:290	2f146e67994fccf02955f63ce5d98f7258b5ad59
18	DEREFERENCE_NULLABLE	dereferenced expression preds.get(dst) is @Nullable	            return preds.get(dst).contains(src);	/home/vscode/nullness-benchmarks/wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:298	185edad3223afb00ecdaaa80bdc0344decc26890
