ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	28	0	0	0	0	0.000000	openai/gpt-5.1
2	1	0	0	0	0	0.000000	openai/gpt-5.1
3	2	0	0	0	0	0.000000	openai/gpt-5.1
4	4	0	0	0	0	0.000000	openai/gpt-5.1
5	10	5713	0	1998	7711	0.027121	openai/gpt-5.1
6	2	0	0	0	0	0.000000	openai/gpt-5.1
7	3	0	0	0	0	0.000000	openai/gpt-5.1
8	15	0	0	0	0	0.000000	openai/gpt-5.1
9	33	0	0	0	0	0.000000	openai/gpt-5.1
10	2	0	0	0	0	0.000000	openai/gpt-5.1
11	2	0	0	0	0	0.000000	openai/gpt-5.1
12	12	3971	0	1873	5844	0.023694	openai/gpt-5.1
13	6	0	0	0	0	0.000000	openai/gpt-5.1
14	1	0	0	0	0	0.000000	openai/gpt-5.1
15	1	0	0	0	0	0.000000	openai/gpt-5.1
16	4	0	0	0	0	0.000000	openai/gpt-5.1
17	3	2019	0	350	2369	0.006024	openai/gpt-5.1
18	31	53166	5632	6318	65116	0.130342	openai/gpt-5.1
19	3	0	0	0	0	0.000000	openai/gpt-5.1
20	3	0	0	0	0	0.000000	openai/gpt-5.1
21	2	0	0	0	0	0.000000	openai/gpt-5.1
22	2	0	0	0	0	0.000000	openai/gpt-5.1
23	2	0	0	0	0	0.000000	openai/gpt-5.1
24	2	0	0	0	0	0.000000	openai/gpt-5.1
