ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression ((GroovyBeanDefinitionReader) this.groovyReader) is @Nullable	\t\t\t((GroovyBeanDefinitionReader) this.groovyReader).beans(loader.getBeans());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/BeanDefinitionLoader.java:166	62042edf4f2dfe361907185e28abb4d60c71d662
4	DEREFERENCE_NULLABLE	dereferenced expression context is @Nullable	\t\t\tcontext.setApplicationStartup(this.applicationStartup);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:313	130dcd61de3b5c54a5ff52d45c22937a73eeb76a
5	DEREFERENCE_NULLABLE	dereferenced expression context is @Nullable	\t\t\t\t\t\t\t\t+ context.getClass().getName());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplicationAotProcessor.java:113	e228652e4d5b74cf5679b4ab60e691c826f8e77b
6	DEREFERENCE_NULLABLE	dereferenced expression ex is @Nullable	\t\tString message = ex.getMessage();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringBootExceptionHandler.java:92	f912f8866165d5e10d278461c457323c756ca961
7	METHOD_NO_INIT	initializer method does not guarantee @NonNull field applicationContext (line 59) is initialized along all control-flow paths (remember to check for exceptions or early returns).	\tpublic SpringApplicationAdminMXBeanRegistrar(String name) throws MalformedObjectNameException {	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/admin/SpringApplicationAdminMXBeanRegistrar.java:68	1cbade0b38d24621417b0862b8d3b3bf00fa3ddf
9	DEREFERENCE_NULLABLE	dereferenced expression profiles is @Nullable	\t\tthis.logger.trace(LogMessage.format("Setting default profiles: %s", profiles.getDefault()));	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironment.java:333	370bd289f340fb4a5f00ca9122213b03c335a50f
10	DEREFERENCE_NULLABLE	dereferenced expression before is @Nullable	\t\tList<ConfigDataEnvironmentContributor> updatedBefore = new ArrayList<>(before.size());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java:284	cc60fb4e535d31e0f60df06db53e00e6d3e38507
11	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn result;	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLoaders.java:115	894fa685d2ea689eb0310aa7e7aac4612e95fdb2
12	DEREFERENCE_NULLABLE	dereferenced expression of(values[i]) is @Nullable	\t\t\tresult[i] = of(values[i]).withOrigin(getOrigin());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataLocation.java:123	0f40cf6b0d6b23ecd9ce9f5e0dfcf0316b4787ac
13	DEREFERENCE_NULLABLE	dereferenced expression propertySource is @Nullable	\t\tmessage.append(propertySource.getName());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/InactiveConfigDataAccessException.java:67	f32a4c8884be0037baf8607f2ccebe80ffa7db60
15	DEREFERENCE_NULLABLE	dereferenced expression system is @Nullable	\t\t\t\tsystem.setLogLevel(name, level);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:418	fddd37d55ab4cda62112780ab3874a0459708515
16	PASS_NULLABLE	passing @Nullable parameter 'this.loggingSystem' where @NonNull is required	\t\tinitializeSystem(environment, this.loggingSystem, this.logFile);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:303	e04141e6f6deaadb636634fd6ae5ab24cb36d43c
17	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	\t\tthis.loggingSystem.beforeInitialize();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	7523ae58aa584fb26e3376a9615b5498a225d1e0
18	DEREFERENCE_NULLABLE	dereferenced expression loggingSystem is @Nullable	\t\t\tRunnable shutdownHandler = loggingSystem.getShutdownHandler();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:428	59188231aff645271efa4d34bee3fc62f53f1944
20	PASS_NULLABLE	passing @Nullable parameter 'this.applicationContext' where @NonNull is required	\t\t\treturn new ConfigurationPropertiesBinder(this.applicationContext);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBinder.java:237	b36bf092a2570b256c96b8ac5e2ffcff66023aad
22	DEREFERENCE_NULLABLE	dereferenced expression injectionPoint is @Nullable	\t\t\tString simpleName = injectionPoint.getMember().getDeclaringClass().getSimpleName();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/NotConstructorBoundInjectionFailureAnalyzer.java:53	e1883f24d70af54a3e8daa7ae3b7e520bc7abac5
25	DEREFERENCE_NULLABLE	dereferenced expression this.beanInfo is @Nullable	\t\t\tfor (PropertyDescriptor propertyDescriptor : this.beanInfo.getPropertyDescriptors()) {	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/BindableRuntimeHintsRegistrar.java:161	c16cb9caa4e46a92b87e241a639f238da6591965
26	DEREFERENCE_NULLABLE	dereferenced expression this.bindConstructor is @Nullable	\t\t\tfor (int i = 0; i < this.bindConstructor.getParameterCount(); i++) {	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/BindableRuntimeHintsRegistrar.java:153	6d035a26452d5e4ad1ec0dbf92fcbae8ecae5b41
28	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\t\t\t\treturn null;	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/DefaultBindConstructorProvider.java:152	5c5b1bd1166eb64381b56a7f37cb72297fbd745a
31	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\t\treturn result;	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/DefaultBindConstructorProvider.java:145	289ac8b9bd10d876b667f6c15df405016c853803
32	PASS_NULLABLE	passing @Nullable parameter 'annotations' where @NonNull is required	\t\t\t\tBindable.of(type).withSuppliedValue(value).withAnnotations(annotations));	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/JavaBeanBinder.java:98	e5b47e4622dfc4a5c46450422f361692864fd3a5
35	DEREFERENCE_NULLABLE	dereferenced expression type1 is @Nullable	\t\tint result = Boolean.compare(type2.isIndexed(), type1.isIndexed());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/ConfigurationPropertyName.java:334	b041be339dea8627dc06295d1be25e6671695808
36	DEREFERENCE_NULLABLE	dereferenced expression type2 is @Nullable	\t\tint result = Boolean.compare(type2.isIndexed(), type1.isIndexed());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/ConfigurationPropertyName.java:334	cf9f60e073c24da17708826099e9abc5553c407d
38	DEREFERENCE_NULLABLE	dereferenced expression additional is @Nullable	\t\t\tint size = this.size + additional.size;	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/source/ConfigurationPropertyName.java:765	412937d51f0b9f74a2d858d64ca5eb25cdb77c32
