ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	true	false	false	false	154949	false
2	true	false	true	true	false	38557	true
3	true	true	false	false	false	133776	false
4	true	false	true	true	false	40088	false
5	true	true	false	false	false	147107	false
6	true	false	true	true	false	103108	false
7	true	false	true	true	false	50959	false
8	true	false	true	true	false	41987	false
9	true	false	true	true	false	39839	false
10	true	false	true	true	false	43049	false
