ID	TYPE	Message	EXPRESSION	PATH	HASH
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return gameWindow;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/Game.java:268	412fd52e97029b331529b868242af9f559edf31c
4	DEREFERENCE_NULLABLE	dereferenced expression Game.info() is @Nullable	      this.hostControl.setTitle(Game.info().getTitle());	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:73	6149b91f76afbbff9f018f72371e8341d8b5a188
5	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.resolution;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:205	3fc3656bc740989f163115da7bd663ba852e02d2
6	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return null;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/attributes/AttributeModifier.java:131	01c1db5691aa0f33067a53337ee58be37da9397d
7	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.collisionBox;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/CollisionEntity.java:91	fa8ea3ef3ced709aa33f03487ea3875f82c921d8
8	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.velocity;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Creature.java:159	cd9699fc735f6cbd47ec2e9d7f10ac3bed342a1c
9	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.environment;	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Entity.java:501	5b9536d49eb661a08c1194a738693e8ff394aa2c
10	DEREFERENCE_NULLABLE	dereferenced expression this.actions.get(actionName) is @Nullable	    this.actions.get(actionName).perform();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/Entity.java:310	2a359687bbd26e344169bb9e27c0c8ca25e1e4e6
12	DEREFERENCE_NULLABLE	dereferenced expression controller is @Nullable	      controller.detach();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/EntityControllers.java:52	7b2971b04e23595c1aac05b4038c8a0b7da855a3
17	DEREFERENCE_NULLABLE	dereferenced expression shadowType is @Nullable	    if (shadowType.equals(StaticShadowType.DOWN)) {	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/StaticShadow.java:208	fd05d3e4d28235917714e61569e87a6f8c3f3c72
18	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return this.getNode(point.getX(), point.getY());	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/behavior/AStarGrid.java:103	9b4434fb56a359f9d717fa17925ef49e76aff71f
19	DEREFERENCE_NULLABLE	dereferenced expression currentNode is @Nullable	      currentNode = currentNode.getPredecessor();	/home/vscode/nullness-benchmarks/litiengine/src/de/gurkenlabs/litiengine/entities/behavior/AStarPathFinder.java:186	2a0ea3f1c88fce44fa2bd7019e993fe644349b23
