ID	TYPE	Message	EXPRESSION	PATH	HASH
1	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      this.mockitoOngoingStubbing = ongoingStubbing;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/BDDMockito.java:173	af122e164cebf4bfa39d1154652ce49432390c86
2	DEREFERENCE_NULLABLE	dereferenced expression ongoingStubbing is @Nullable	    List<Invocation> allInvocations = ongoingStubbing.getRegisteredInvocations();	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/MockitoCore.java:255	c6ea5e4efe5bafdae7119f7be400d979bd704ad2
3	DEREFERENCE_NULLABLE	dereferenced expression constructorArgs is @Nullable	    List<Object> resultArgs = new ArrayList<Object>(constructorArgs.length + 1);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/MockSettingsImpl.java:161	18b9685afe827c925dc2e3d412975e0d1172b4da
4	PASS_NULLABLE	passing @Nullable parameter 'INSTRUMENTATION' where @NonNull is required	            new InlineBytecodeGenerator(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:293	95d6ed4e56bff82dedeaa672903c1eea9b29ee44
7	DEREFERENCE_NULLABLE	dereferenced expression canRead is @Nullable	        if (!modules.contains(module) && !(Boolean) canRead.invoke(module, target)) {	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java:281	a19b6c39d9dda69ac9413337a00ca4d8483dd395
10	DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS\n        .get(identifier) is @Nullable	    return DISPATCHERS	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java:54	4337fbc52dd91328fa96a340fa09b52b35d859db
11	DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS.get(identifier) is @Nullable	    return DISPATCHERS.get(identifier).isConstructorMock(type);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java:43	3f6e8891c285765da32d06e0aac2301c31e08a6f
12	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields typeToMock (line 26), defaultAnswer (line 30), mockName (line 31) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  public CreationSettings() {}	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java:50	7eaaecf1caeb4315b481dfd7b67e92a116154870
15	DEREFERENCE_NULLABLE	dereferenced expression testClassInstance is @Nullable	    return testClassInstance.getClass().getSimpleName() + "." + testMethodName;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/junit/DefaultTestFinishedEvent.java:28	a629d4be7c3fc5c122fddb2a1518148cd19d8da2
19	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	    return value.getClass().getSimpleName();	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/answers/Returns.java:50	3544ba28eac3cf38c663f5c16bc1f4d919619434
21	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	  private Object delegatedObject = null;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/defaultanswers/ForwardsInvocations.java:26	9322236b6424a289287182119e5e1ae86a6aa20c
22	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	      return mockMaker.getHandler(mock);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/MockUtil.java:70	a90ba394998555119b380199246ea8566b995dca
