ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	        return new AtomicLong(value.longValue());	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java:433	2205c08efab485d3bdeb5529d690772f5127b684
2	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	          long value = longAdapter.read(in).longValue();	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java:455	dd527b4851f5a361b855eda2b147829888deaa5b
4	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      this.ownerType = ownerType == null ? null : canonicalize(ownerType);	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:477	6163b9a11963985ecf2543ae84c60edfcaefdc63
5	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	        this.lowerBound = null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:583	1c1a1c435ecce57ba19fe022b008da77bec79585
6	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      e.next = e.prev = null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:118	414992872433933352c21ac38f4cdfaa22e44f9e
7	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	    V result = created.value;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	04e67a72b7072d48cd25093a7c9b360d201e043c
8	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	        Node<K, V> leftLeft = left.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:371	01a95db461b0dce3a6431f1a5b6397eb4c952680
9	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	        Node<K, V> rightLeft = right.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:353	bc873eed6896773418fd0f7b0234641c61e1bcbb
10	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      node.next = node.prev = null; // Help the GC (for performance)	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:255	8538724f7bf2123e593b0d8e59d90aa1c8b744f6
11	DEREFERENCE_NULLABLE	dereferenced expression node.prev is @Nullable	      node.prev.next = node.next;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:253	15deec4ee2564e6dec13ced6a78ca810f4af2d51
12	DEREFERENCE_NULLABLE	dereferenced expression pivot is @Nullable	    Node<K, V> pivotLeft = pivot.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:408	115bf9e484443a8351c9cdbaaf03cad57e2163d2
13	DEREFERENCE_NULLABLE	dereferenced expression pivot is @Nullable	    Node<K, V> pivotLeft = pivot.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:433	bd20443ae6147c8995e5b87d7e5bfbbd17aa47f8
14	DEREFERENCE_NULLABLE	dereferenced expression center is @Nullable	          Node<K, V> left = center.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:728	42f5b034f8ee1f4fd007be122fce61a203686cc0
15	DEREFERENCE_NULLABLE	dereferenced expression center is @Nullable	          center.right = right;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:743	b42c873d3fad32db4d3f101915389b4048eb05c8
16	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	          center.parent = left.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:729	af6a15816dc05e6d87aae04c95413eff9acae28a
17	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	          Node<K, V> center = right.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:727	f884669eb9b1dc7118cae044b699dddb8482973b
18	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	          Node<K, V> center = right.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:740	5263b15ec8a3ad7767c7608d279ba3aaa18920fb
19	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	      if (stackTop.parent != null) {	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	5fbcc51cf6fe607565aa91bf96444814924ddeb0
20	DEREFERENCE_NULLABLE	dereferenced expression prev is @Nullable	      prev.next = this;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:495	8541e1879d6971bc0e4be90dd9e6d5bac7a52a5a
21	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	    V result = created.value;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:100	ea19c782865832b9a5651225da18806a657c2f40
22	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	        Node<K, V> leftLeft = left.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:345	f1fc390c7d48c2893b53889086e88b239ad5daae
23	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	        Node<K, V> rightLeft = right.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:327	b52a724e29dc37af8c42ee5218968d6370f9cfa4
24	DEREFERENCE_NULLABLE	dereferenced expression pivot is @Nullable	    Node<K, V> pivotLeft = pivot.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:382	8deedcd9cf86c0de903f00501d3d4a2964717f83
25	DEREFERENCE_NULLABLE	dereferenced expression pivot is @Nullable	    Node<K, V> pivotLeft = pivot.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:407	ac7dff274dfb399a57aad7c1ddade98238e65ca3
26	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	      return TypeAdapters.JSON_ELEMENT.read(reader);	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/Streams.java:43	70ff5ecfc0c2050c09d56153ea3bb2db9d444812
