ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	0	0	0	0	0.000000	openai/gpt-5.1
2	1	682	0	122	804	0.002073	openai/gpt-5.1
3	1	0	0	0	0	0.000000	openai/gpt-5.1
4	1	0	0	0	0	0.000000	openai/gpt-5.1
5	1	578	0	84	662	0.001563	openai/gpt-5.1
6	1	0	0	0	0	0.000000	openai/gpt-5.1
7	1	0	0	0	0	0.000000	openai/gpt-5.1
8	1	0	0	0	0	0.000000	openai/gpt-5.1
9	1	0	0	0	0	0.000000	openai/gpt-5.1
10	1	373	0	101	474	0.001476	openai/gpt-5.1
11	1	370	0	101	471	0.001473	openai/gpt-5.1
12	1	560	0	388	948	0.004580	openai/gpt-5.1
13	1	0	0	0	0	0.000000	openai/gpt-5.1
14	1	0	0	0	0	0.000000	openai/gpt-5.1
15	1	430	0	134	564	0.001878	openai/gpt-5.1
16	1	415	0	106	521	0.001579	openai/gpt-5.1
17	1	428	0	99	527	0.001525	openai/gpt-5.1
18	1	419	0	94	513	0.001464	openai/gpt-5.1
19	1	355	0	84	439	0.001284	openai/gpt-5.1
20	1	353	0	74	427	0.001181	openai/gpt-5.1
21	1	350	0	74	424	0.001178	openai/gpt-5.1
22	1	510	0	233	743	0.002968	openai/gpt-5.1
23	1	0	0	0	0	0.000000	openai/gpt-5.1
24	1	0	0	0	0	0.000000	openai/gpt-5.1
25	1	0	0	0	0	0.000000	openai/gpt-5.1
26	1	0	0	0	0	0.000000	openai/gpt-5.1
27	1	0	0	0	0	0.000000	openai/gpt-5.1
28	1	0	0	0	0	0.000000	openai/gpt-5.1
29	1	402	0	187	589	0.002373	openai/gpt-5.1
30	1	399	0	189	588	0.002389	openai/gpt-5.1
31	1	412	0	187	599	0.002385	openai/gpt-5.1
32	1	418	0	191	609	0.002433	openai/gpt-5.1
33	1	410	0	193	603	0.002443	openai/gpt-5.1
34	1	559	0	177	736	0.002469	openai/gpt-5.1
35	1	407	0	74	481	0.001249	openai/gpt-5.1
36	1	0	0	0	0	0.000000	openai/gpt-5.1
37	1	0	0	0	0	0.000000	openai/gpt-5.1
38	1	464	0	188	652	0.002460	openai/gpt-5.1
39	1	392	0	147	539	0.001960	openai/gpt-5.1
40	1	401	0	130	531	0.001801	openai/gpt-5.1
41	1	431	0	151	582	0.002049	openai/gpt-5.1
42	1	0	0	0	0	0.000000	openai/gpt-5.1
43	1	0	0	0	0	0.000000	openai/gpt-5.1
44	1	0	0	0	0	0.000000	openai/gpt-5.1
45	1	0	0	0	0	0.000000	openai/gpt-5.1
46	1	369	0	104	473	0.001501	openai/gpt-5.1
47	1	375	0	102	477	0.001489	openai/gpt-5.1
48	1	765	0	600	1365	0.006956	openai/gpt-5.1
49	1	0	0	0	0	0.000000	openai/gpt-5.1
50	1	0	0	0	0	0.000000	openai/gpt-5.1
51	1	0	0	0	0	0.000000	openai/gpt-5.1
52	1	0	0	0	0	0.000000	openai/gpt-5.1
53	1	395	0	81	476	0.001304	openai/gpt-5.1
54	1	0	0	0	0	0.000000	openai/gpt-5.1
55	1	0	0	0	0	0.000000	openai/gpt-5.1
56	1	518	0	107	625	0.001717	openai/gpt-5.1
57	1	497	0	151	648	0.002131	openai/gpt-5.1
58	1	0	0	0	0	0.000000	openai/gpt-5.1
59	1	0	0	0	0	0.000000	openai/gpt-5.1
60	1	0	0	0	0	0.000000	openai/gpt-5.1
61	1	0	0	0	0	0.000000	openai/gpt-5.1
62	1	0	0	0	0	0.000000	openai/gpt-5.1
63	1	0	0	0	0	0.000000	openai/gpt-5.1
64	1	0	0	0	0	0.000000	openai/gpt-5.1
65	1	0	0	0	0	0.000000	openai/gpt-5.1
66	1	0	0	0	0	0.000000	openai/gpt-5.1
67	1	0	0	0	0	0.000000	openai/gpt-5.1
68	1	0	0	0	0	0.000000	openai/gpt-5.1
69	1	0	0	0	0	0.000000	openai/gpt-5.1
70	1	0	0	0	0	0.000000	openai/gpt-5.1
71	1	543	0	341	884	0.004089	openai/gpt-5.1
72	1	0	0	0	0	0.000000	openai/gpt-5.1
73	1	0	0	0	0	0.000000	openai/gpt-5.1
74	1	0	0	0	0	0.000000	openai/gpt-5.1
75	1	0	0	0	0	0.000000	openai/gpt-5.1
76	1	0	0	0	0	0.000000	openai/gpt-5.1
77	1	0	0	0	0	0.000000	openai/gpt-5.1
78	1	0	0	0	0	0.000000	openai/gpt-5.1
79	1	0	0	0	0	0.000000	openai/gpt-5.1
80	1	0	0	0	0	0.000000	openai/gpt-5.1
81	1	0	0	0	0	0.000000	openai/gpt-5.1
82	1	0	0	0	0	0.000000	openai/gpt-5.1
83	1	0	0	0	0	0.000000	openai/gpt-5.1
84	1	308	0	68	376	0.001065	openai/gpt-5.1
85	1	0	0	0	0	0.000000	openai/gpt-5.1
86	1	296	0	68	364	0.001050	openai/gpt-5.1
87	1	0	0	0	0	0.000000	openai/gpt-5.1
