ID	TYPE	Message	EXPRESSION	PATH	HASH
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return genericDeclaration instanceof Class ? (Class<?>) genericDeclaration : null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:455	be749bff023c981ec893aaafe682727921426272
4	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      this.ownerType = ownerType == null ? null : canonicalize(ownerType);	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:477	11271981feb116221fd4fe1661870bd953b05b35
5	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	        this.lowerBound = null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:583	1c1bb1809c9ad510d459435b4b8e4914a166608e
7	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	    V result = created.value;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	7ad939d6f1f48f8f7f3c7a15418353719b68314c
8	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	        Node<K, V> leftLeft = left.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:371	9720e9707ef3fa58be76065687a1ff28255213ef
11	DEREFERENCE_NULLABLE	dereferenced expression node.prev is @Nullable	      node.prev.next = node.next;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:253	d84729f363a2411be56a2c78e4baa129420ee53d
19	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	      if (stackTop.parent != null) {	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	27fcaaafee9f251b4bdfc46f42e0d868c9f31d9c
21	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	    V result = created.value;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java:100	5ca9a772155cc5710762d67b446310c51a5773b0
26	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	      return TypeAdapters.JSON_ELEMENT.read(reader);	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/Streams.java:43	35b3d3d0c98acb7967b1a1ad5f02d1e484453e0f
27	FIELD_NO_INIT	@NonNull field Streams$AppendableWriter$CurrentWrite.chars not initialized	      char[] chars;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/Streams.java:100	4fedf446be0c38f2fa7f0ff890b4ca283f6b2d53
28	DEREFERENCE_NULLABLE	dereferenced expression JsonReaderInternalAccess.INSTANCE is @Nullable	          JsonReaderInternalAccess.INSTANCE.promoteNameToValue(in);	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/bind/MapTypeAdapterFactory.java:201	a54ea58411ee13e441adab1cab5e0ff8e27ebfdb
29	DEREFERENCE_NULLABLE	dereferenced expression hierarchyType is @Nullable	              : hierarchyType.isAssignableFrom(type.getRawType());	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/bind/TreeTypeAdapter.java:147	19f143cff2d18a0b38206d7d05fe7d7b2c43c790
30	DEREFERENCE_NULLABLE	dereferenced expression unsafeClass is @Nullable	        Method method = unsafeClass.getMethod("objectFieldOffset", Field.class);	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/reflect/UnsafeReflectionAccessor.java:59	ee0afdb0fc34e494749219cd65e91366b1e5e68f
31	PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	        $Gson$Types.newParameterizedTypeWithOwner(null, rawType, typeArguments));	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/reflect/TypeToken.java:293	a0ec800765ca2323b1de2f5608ee5fa2560973ee
