ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression ((GroovyBeanDefinitionReader) this.groovyReader) is @Nullable	\t\t\t((GroovyBeanDefinitionReader) this.groovyReader).beans(loader.getBeans());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/BeanDefinitionLoader.java:166	24884d4b820fe2c0042dab236f74d14fee78c73c
2	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	\t\tthis.mainApplicationClass = deduceMainApplicationClass();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:281	c7e1411079cc71b90e7da081cbec563dabf082f7
3	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields mainApplicationClass (line 194), initializers (line 222), listeners (line 224) are initialized along all control-flow paths (remember to check for exceptions or early returns).	\t@SuppressWarnings({ "unchecked", "rawtypes" })	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:271	f23acc9ffd2217d881044bbe1a46a5b025fc9416
4	DEREFERENCE_NULLABLE	dereferenced expression context is @Nullable	\t\t\tcontext.setApplicationStartup(this.applicationStartup);	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java:313	7b645c8d4f50bcb325f1c166ac6ecce46611c191
5	DEREFERENCE_NULLABLE	dereferenced expression context is @Nullable	\t\t\t\t\t\t\t\t+ context.getClass().getName());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplicationAotProcessor.java:113	1374034a0e872e0cee86fc7b6b7ab3e5781701f1
6	DEREFERENCE_NULLABLE	dereferenced expression ex is @Nullable	\t\tString message = ex.getMessage();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringBootExceptionHandler.java:92	327612ea1dd03c789ff95ee9e06d19e2893c7505
7	METHOD_NO_INIT	initializer method does not guarantee @NonNull field applicationContext (line 59) is initialized along all control-flow paths (remember to check for exceptions or early returns).	\tpublic SpringApplicationAdminMXBeanRegistrar(String name) throws MalformedObjectNameException {	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/admin/SpringApplicationAdminMXBeanRegistrar.java:68	413d65d729d850434a748232fb0e95e1be0d4763
8	DEREFERENCE_NULLABLE	dereferenced expression ((ListableBeanFactory) this.beanFactory) is @Nullable	\t\t\tdelegates = ((ListableBeanFactory) this.beanFactory).getBeansOfType(TypeExcludeFilter.class).values();	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/TypeExcludeFilter.java:79	44b16a1f9eafae78e5061654fccdca08f51ab3ae
9	DEREFERENCE_NULLABLE	dereferenced expression profiles is @Nullable	\t\tthis.logger.trace(LogMessage.format("Setting default profiles: %s", profiles.getDefault()));	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironment.java:333	ca6b7d3b026babe6ef4246559d66d7d996592e4a
10	DEREFERENCE_NULLABLE	dereferenced expression before is @Nullable	\t\tList<ConfigDataEnvironmentContributor> updatedBefore = new ArrayList<>(before.size());	/home/vscode/nullness-benchmarks/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java:284	34d3927f18b0da4593dc8a16e9150affcac90bc0
