ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression taskMappers\n                .getOrDefault(type, taskMappers.get(USER_DEFINED.name())) is @Nullable	        return taskMappers	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/DeciderService.java:867	ad6848dfba8042ff2fda15751683f5373c27c4c8
2	DEREFERENCE_NULLABLE	dereferenced expression input is @Nullable	            String errorMsg = String.format("Input has to be a JSON object: %s", input.getClass());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/evaluators/ValueParamEvaluator.java:40	af3940a28e629fef97249d48968ebcc8a0a4d382
3	DEREFERENCE_NULLABLE	dereferenced expression resolvedParams.get("name") is @Nullable	        String subWorkflowName = resolvedParams.get("name").toString();	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/SubWorkflowTaskMapper.java:65	6eb26d68d67ce8b953153237f19a0fd4e7b17e03
4	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	        taskId = builder.taskId;	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/TaskMapperContext.java:44	04715c1b96087db0ee23c531ac95118fce6d7a4a
5	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields workflowModel (line 193), workflowTask (line 195), taskInput (line 196), deciderService (line 200) are initialized along all control-flow paths (remember to check for exceptions or early returns).	        private Builder() {}	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/TaskMapperContext.java:201	f67b101d5d101f66032ad657ac0010ca9300489b
6	DEREFERENCE_NULLABLE	dereferenced expression sinkValue is @Nullable	        if (sinkValue.startsWith("conductor")) {	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Event.java:134	ef6d2ba71c1fb85705f781d5c1afb35e3c186294
7	DEREFERENCE_NULLABLE	dereferenced expression exclusiveTask is @Nullable	                task.setOutputData(exclusiveTask.getOutputData());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:117	44ac867364164085fe222876f89470e57f3e1db9
8	DEREFERENCE_NULLABLE	dereferenced expression joinOn is @Nullable	                    joinOn.stream()	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:53	0b2a2aa21cbbdec19f56653db5edd01f87150352
9	DEREFERENCE_NULLABLE	enhanced-for expression joinOn is @Nullable	        for (String joinOnRef : joinOn) {	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:58	3560edfa0e047385387326b43a80db9dd61bb1b8
10	DEREFERENCE_NULLABLE	dereferenced expression evaluator is @Nullable	            Object evalResult = evaluator.evaluate(expression, taskInput);	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Inline.java:81	c7422b40380656588e1d9c75d553ad8ce69b3a30
