ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	        return new AtomicLong(value.longValue());	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java:433	db679d25fb63364b7134a29f4bec203e27ebed1c
2	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	          long value = longAdapter.read(in).longValue();	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java:455	20532a6c8c82f93f1435307475e47c89c39057b3
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return genericDeclaration instanceof Class ? (Class<?>) genericDeclaration : null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:455	f82d5f58dd2684fc44205b62c1b1ebf469be405c
4	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      this.ownerType = ownerType == null ? null : canonicalize(ownerType);	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:477	0881118474fc5bd7452f1ca950c41d9c514831c0
5	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	        this.lowerBound = null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java:583	00c0eb56c1d6ea420ec26faadd8af0d90c11695b
6	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      e.next = e.prev = null;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:118	37d4317e671c0ebc14a8154db323c7c29da4e0f0
7	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	    V result = created.value;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	a2f49f11a2c1891e517761aa8ade073cfe5bf77f
8	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	        Node<K, V> leftLeft = left.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:371	bea1d477fe77a80f671fd2b57df6592eed3cce2f
9	DEREFERENCE_NULLABLE	dereferenced expression right is @Nullable	        Node<K, V> rightLeft = right.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:353	12fb27942293e667cc2f6b1fe511a83282894b7c
10	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      node.next = node.prev = null; // Help the GC (for performance)	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:255	3c74917f4480217b7bae733aa185431d9084f32b
11	DEREFERENCE_NULLABLE	dereferenced expression node.prev is @Nullable	      node.prev.next = node.next;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:253	c6899e19d9090cec7ccacc76074a7796b4eee452
12	DEREFERENCE_NULLABLE	dereferenced expression pivot is @Nullable	    Node<K, V> pivotLeft = pivot.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:408	747017adb0eed380825e95e5dc86ad06e0067562
13	DEREFERENCE_NULLABLE	dereferenced expression pivot is @Nullable	    Node<K, V> pivotLeft = pivot.left;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:433	c6a4786b69b8b67a9a25f3fdae4b7d3529654ec5
14	DEREFERENCE_NULLABLE	dereferenced expression center is @Nullable	          Node<K, V> left = center.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:728	4d74007159f97d18b2bfb758b53eac17f2dcb274
15	DEREFERENCE_NULLABLE	dereferenced expression center is @Nullable	          center.right = right;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:743	7112f67d2e8a541e7c92a126d0af6ca15692c86f
16	DEREFERENCE_NULLABLE	dereferenced expression left is @Nullable	          center.parent = left.parent;	/home/vscode/nullness-benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:729	cbd70fe3928780833071b2888c8737efe100e596
