ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression taskMappers\n                .getOrDefault(type, taskMappers.get(USER_DEFINED.name())) is @Nullable	        return taskMappers	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/DeciderService.java:867	587f825610a7e44019eec1b4fe6e8aad7ed4f342
2	DEREFERENCE_NULLABLE	dereferenced expression input is @Nullable	            String errorMsg = String.format("Input has to be a JSON object: %s", input.getClass());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/evaluators/ValueParamEvaluator.java:40	955a79601da375dc5eceededac9c8a3d9f0e1121
3	DEREFERENCE_NULLABLE	dereferenced expression resolvedParams.get("name") is @Nullable	        String subWorkflowName = resolvedParams.get("name").toString();	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/SubWorkflowTaskMapper.java:65	e21ab4717f30c577975eaa615f6137863fbae28e
4	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	        taskId = builder.taskId;	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/TaskMapperContext.java:44	b8a9eeaa32cd02e8c8d602651f2eca56e1c68e86
5	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields workflowModel (line 193), workflowTask (line 195), taskInput (line 196), deciderService (line 200) are initialized along all control-flow paths (remember to check for exceptions or early returns).	        private Builder() {}	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/mapper/TaskMapperContext.java:201	5bfe31ca7e36e761fec98e4723f5524b711924aa
6	DEREFERENCE_NULLABLE	dereferenced expression sinkValue is @Nullable	        if (sinkValue.startsWith("conductor")) {	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Event.java:134	d189acf3eb2bd616309dac22990f3da662476fab
7	DEREFERENCE_NULLABLE	dereferenced expression exclusiveTask is @Nullable	                task.setOutputData(exclusiveTask.getOutputData());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/ExclusiveJoin.java:117	e4a35148b69bca54d05788aae81b116f78693666
13	DEREFERENCE_NULLABLE	dereferenced expression input.get("subWorkflowName") is @Nullable	        String name = input.get("subWorkflowName").toString();	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/SubWorkflow.java:53	77ad23de12cff7304ff26ad7af5a8c5cac75f529
14	UNBOX_NULLABLE	unboxing of a @Nullable value - input.get("subWorkflowVersion")	        int version = (int) input.get("subWorkflowVersion");	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/SubWorkflow.java:54	ac15f207c0ae3b0f7a8043e222bec2a4c95097e2
15	DEREFERENCE_NULLABLE	dereferenced expression paramString is @Nullable	        String[] values = paramString.split("(?=(?<!\\\\$)\\\\$\\\\{)|(?<=})");	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/core/utils/ParametersUtils.java:227	76d0674d36ad0a508f3a405f7cfcec30b6cdb4bb
16	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields taskDefs (line 51), workflowDefs (line 52) are initialized along all control-flow paths (remember to check for exceptions or early returns).	    public WorkflowMonitor(	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/metrics/WorkflowMonitor.java:54	679ab1874865402abe21d1f048b3f2227dbb3d98
17	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	        return referenceTaskName;	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java:221	c3ba78a84fa0fd0f5ab894fada4514e8238d4726
18	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	        return taskId;	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java:372	73891069f50369a864d1afe840c5885c44ca2685
19	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	        return workflowTask;	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java:445	f96613696ceb9d56651df65893bbeed61a4f3c1a
21	FIELD_NO_INIT	@NonNull field taskType not initialized	    private String taskType;	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/model/TaskModel.java:70	acc5b1318649aa9dd0147308dd12926c29714efd
22	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	        return createTime;	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/model/WorkflowModel.java:388	1b31df7950e81e540a610db65734684be1649594
24	DEREFERENCE_NULLABLE	dereferenced expression task is @Nullable	            Monitors.recordAckTaskError(task.getTaskType());	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/service/TaskServiceImpl.java:174	8bdaab60010e59dfcf9d7520ee75c41e2f0bbd12
25	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	        return metadataDAO;	/home/vscode/nullness-benchmarks/conductor/core/src/main/java/com/netflix/conductor/validations/ValidationContext.java:32	31231b9635be6c0718066a555b944d63a6221460
