ID	TYPE	Message	EXPRESSION	PATH	HASH
1	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	      this.mockitoOngoingStubbing = ongoingStubbing;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/BDDMockito.java:173	a2f605b8b2ea3e6e545bce6dfb3ec7ad45334c01
2	DEREFERENCE_NULLABLE	dereferenced expression ongoingStubbing is @Nullable	    List<Invocation> allInvocations = ongoingStubbing.getRegisteredInvocations();	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/MockitoCore.java:255	65eae2e25daa7c0c692197f61ccdfe94b7a578bc
3	DEREFERENCE_NULLABLE	dereferenced expression constructorArgs is @Nullable	    List<Object> resultArgs = new ArrayList<Object>(constructorArgs.length + 1);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/MockSettingsImpl.java:161	dd03e3b2403cfd30c7c1fb8e47476f7d8428f7ed
4	PASS_NULLABLE	passing @Nullable parameter 'INSTRUMENTATION' where @NonNull is required	            new InlineBytecodeGenerator(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:293	82a9257573254a84ac67ce4be90e2392b0b0b8bf
5	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method org.mockito.plugins.MockMaker.<T>createMock(org.mockito.mock.MockCreationSettings<T>,org.mockito.invocation.MockHandler) returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:298	2a7cd094e72dfb13103586915390e23daec99d1a
6	DEREFERENCE_NULLABLE	dereferenced expression INSTRUMENTATION is @Nullable	        return INSTRUMENTATION.isModifiableClass(type) && !EXCLUDES.contains(type);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:476	64c9c5720bb1cf800c4896d1a995491cc76764d7
7	DEREFERENCE_NULLABLE	dereferenced expression canRead is @Nullable	        if (!modules.contains(module) && !(Boolean) canRead.invoke(module, target)) {	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java:281	71bad4629e111dc93f3bd93b17323aa141a4d13c
8	DEREFERENCE_NULLABLE	dereferenced expression getModule is @Nullable	          getModule.invoke(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java:274	2c1e333b1b94990b7848a3f8533d1a43a775ecbd
9	PASS_NULLABLE	passing @Nullable parameter 'cause' where @NonNull is required	              hideRecursiveCall(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodAdvice.java:329	6442ed3d2442bf2e992b985bc49f19073f976d1b
10	DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS\n        .get(identifier) is @Nullable	    return DISPATCHERS	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java:54	42f553ad83b1797ad737fdab26169ee9c4aa6395
11	DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS.get(identifier) is @Nullable	    return DISPATCHERS.get(identifier).isConstructorMock(type);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java:43	2a2799828cff9275d40daaac8d8085c7d8e1d87a
