ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	2	2093	0	1105	3198	0.013666	openai/gpt-5.1
2	2	1441	0	1160	2601	0.013401	openai/gpt-5.1
3	2	1440	0	1367	2807	0.015470	openai/gpt-5.1
4	3	2224	0	869	3093	0.011470	openai/gpt-5.1
5	1	329	0	446	775	0.004871	openai/gpt-5.1
6	3	2113	0	667	2780	0.009311	openai/gpt-5.1
7	1	301	0	461	762	0.004986	openai/gpt-5.1
8	3	2624	0	1138	3762	0.014660	openai/gpt-5.1
9	1	437	0	565	1002	0.006196	openai/gpt-5.1
10	3	2288	0	1111	3399	0.013970	openai/gpt-5.1
11	2	1217	0	766	1983	0.009181	openai/gpt-5.1
12	2	8635	0	4746	13381	0.058254	openai/gpt-5.1
13	2	1087	0	532	1619	0.006679	openai/gpt-5.1
