ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	51	253330	14208	11756	279294	0.435999	openai/gpt-5.1
2	7	0	0	0	0	0.000000	openai/gpt-5.1
3	8	0	0	0	0	0.000000	openai/gpt-5.1
4	4	0	0	0	0	0.000000	openai/gpt-5.1
5	21	0	0	0	0	0.000000	openai/gpt-5.1
6	45	24390	0	9019	33409	0.120678	openai/gpt-5.1
7	51	97331	7168	9534	114033	0.217900	openai/gpt-5.1
8	14	0	0	0	0	0.000000	openai/gpt-5.1
9	15	0	0	0	0	0.000000	openai/gpt-5.1
10	5	0	0	0	0	0.000000	openai/gpt-5.1
11	4	0	0	0	0	0.000000	openai/gpt-5.1
12	2	0	0	0	0	0.000000	openai/gpt-5.1
13	16	0	0	0	0	0.000000	openai/gpt-5.1
14	6	787	0	412	1199	0.005104	openai/gpt-5.1
15	6	0	0	0	0	0.000000	openai/gpt-5.1
16	6	0	0	0	0	0.000000	openai/gpt-5.1
17	2	0	0	0	0	0.000000	openai/gpt-5.1
18	5	0	0	0	0	0.000000	openai/gpt-5.1
19	5	0	0	0	0	0.000000	openai/gpt-5.1
20	2	0	0	0	0	0.000000	openai/gpt-5.1
21	3	0	0	0	0	0.000000	openai/gpt-5.1
22	10	0	0	0	0	0.000000	openai/gpt-5.1
23	4	0	0	0	0	0.000000	openai/gpt-5.1
24	3	1708	0	453	2161	0.006665	openai/gpt-5.1
25	3	0	0	0	0	0.000000	openai/gpt-5.1
26	4	0	0	0	0	0.000000	openai/gpt-5.1
27	3	0	0	0	0	0.000000	openai/gpt-5.1
28	3	2296	0	1197	3493	0.014840	openai/gpt-5.1
29	3	2316	0	1214	3530	0.015035	openai/gpt-5.1
30	3	0	0	0	0	0.000000	openai/gpt-5.1
31	3	0	0	0	0	0.000000	openai/gpt-5.1
32	43	27967	3584	2433	33984	0.059737	openai/gpt-5.1
33	9	0	0	0	0	0.000000	openai/gpt-5.1
34	17	0	0	0	0	0.000000	openai/gpt-5.1
35	0	0	0	0	0	0.000000	openai/gpt-5.1
36	1	0	0	0	0	0.000000	openai/gpt-5.1
37	1	0	0	0	0	0.000000	openai/gpt-5.1
38	9	0	0	0	0	0.000000	openai/gpt-5.1
