ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	16	0	0	0	0	0.000000	openai/gpt-5.1
2	10	0	0	0	0	0.000000	openai/gpt-5.1
3	10	5616	0	2585	8201	0.032870	openai/gpt-5.1
4	18	21615	0	3158	24773	0.058599	openai/gpt-5.1
5	30	0	0	0	0	0.000000	openai/gpt-5.1
6	4	0	0	0	0	0.000000	openai/gpt-5.1
7	1	0	0	0	0	0.000000	openai/gpt-5.1
8	2	0	0	0	0	0.000000	openai/gpt-5.1
9	3	0	0	0	0	0.000000	openai/gpt-5.1
10	2	0	0	0	0	0.000000	openai/gpt-5.1
11	2	0	0	0	0	0.000000	openai/gpt-5.1
12	2	0	0	0	0	0.000000	openai/gpt-5.1
13	3	1937	0	493	2430	0.007351	openai/gpt-5.1
14	2	0	0	0	0	0.000000	openai/gpt-5.1
15	2	0	0	0	0	0.000000	openai/gpt-5.1
16	2	0	0	0	0	0.000000	openai/gpt-5.1
17	2	0	0	0	0	0.000000	openai/gpt-5.1
18	22	3377	0	653	4030	0.010751	openai/gpt-5.1
19	3	0	0	0	0	0.000000	openai/gpt-5.1
20	17	93120	0	792	93912	0.124320	openai/gpt-5.1
21	3	0	0	0	0	0.000000	openai/gpt-5.1
22	2	0	0	0	0	0.000000	openai/gpt-5.1
23	40	68899	4608	12482	85989	0.211520	openai/gpt-5.1
24	3	0	0	0	0	0.000000	openai/gpt-5.1
25	9	0	0	0	0	0.000000	openai/gpt-5.1
26	23	4551	0	1926	6477	0.024949	openai/gpt-5.1
27	23	0	0	0	0	0.000000	openai/gpt-5.1
28	47	133728	0	2981	136709	0.196970	openai/gpt-5.1
29	22	29744	0	1566	31310	0.052840	openai/gpt-5.1
30	18	5280	0	174	5454	0.008340	openai/gpt-5.1
31	22	39799	0	1035	40834	0.060099	openai/gpt-5.1
32	9	483	0	73	556	0.001334	openai/gpt-5.1
33	8	18904	0	441	19345	0.028040	openai/gpt-5.1
34	34	79279	0	34476	113755	0.443859	openai/gpt-5.1
35	0	0	0	0	0	0.000000	openai/gpt-5.1
36	6	0	0	0	0	0.000000	openai/gpt-5.1
37	39	347982	0	9614	357596	0.531118	openai/gpt-5.1
38	15	0	0	0	0	0.000000	openai/gpt-5.1
39	34	547	0	147	694	0.002154	openai/gpt-5.1
40	14	0	0	0	0	0.000000	openai/gpt-5.1
41	51	0	0	0	0	0.000000	openai/gpt-5.1
42	15	21273	0	2209	23482	0.048681	openai/gpt-5.1
43	8	0	0	0	0	0.000000	openai/gpt-5.1
44	2	0	0	0	0	0.000000	openai/gpt-5.1
45	37	122714	0	6742	129456	0.220813	openai/gpt-5.1
46	2	0	0	0	0	0.000000	openai/gpt-5.1
47	35	356356	0	8456	364812	0.530005	openai/gpt-5.1
48	8	0	0	0	0	0.000000	openai/gpt-5.1
49	51	50070	7296	8506	65872	0.148560	openai/gpt-5.1
50	37	12385	1024	2344	15753	0.039049	openai/gpt-5.1
51	23	19522	0	1647	21169	0.040873	openai/gpt-5.1
52	0	0	0	0	0	0.000000	openai/gpt-5.1
53	6	0	0	0	0	0.000000	openai/gpt-5.1
54	47	317016	30720	10415	358151	0.504260	openai/gpt-5.1
55	38	79844	1536	5018	86398	0.150177	openai/gpt-5.1
56	2	0	0	0	0	0.000000	openai/gpt-5.1
57	13	0	0	0	0	0.000000	openai/gpt-5.1
58	15	0	0	0	0	0.000000	openai/gpt-5.1
59	5	0	0	0	0	0.000000	openai/gpt-5.1
60	12	0	0	0	0	0.000000	openai/gpt-5.1
61	4	0	0	0	0	0.000000	openai/gpt-5.1
62	40	26153	2304	10456	38913	0.137539	openai/gpt-5.1
63	51	48865	3968	13808	66641	0.199657	openai/gpt-5.1
64	16	8219	0	5194	13413	0.062214	openai/gpt-5.1
65	9	6423	0	3803	10226	0.046059	openai/gpt-5.1
66	4	0	0	0	0	0.000000	openai/gpt-5.1
67	2	0	0	0	0	0.000000	openai/gpt-5.1
68	2	0	0	0	0	0.000000	openai/gpt-5.1
69	36	5386	0	679	6065	0.013523	openai/gpt-5.1
70	2	0	0	0	0	0.000000	openai/gpt-5.1
71	2	0	0	0	0	0.000000	openai/gpt-5.1
72	2	0	0	0	0	0.000000	openai/gpt-5.1
73	5	0	0	0	0	0.000000	openai/gpt-5.1
74	2	0	0	0	0	0.000000	openai/gpt-5.1
75	7	0	0	0	0	0.000000	openai/gpt-5.1
76	5	0	0	0	0	0.000000	openai/gpt-5.1
77	5	5421	0	1751	7172	0.024286	openai/gpt-5.1
78	1	0	0	0	0	0.000000	openai/gpt-5.1
79	3	0	0	0	0	0.000000	openai/gpt-5.1
80	2	1231	0	701	1932	0.008549	openai/gpt-5.1
81	1	0	0	0	0	0.000000	openai/gpt-5.1
82	1	0	0	0	0	0.000000	openai/gpt-5.1
83	3	0	0	0	0	0.000000	openai/gpt-5.1
84	1	0	0	0	0	0.000000	openai/gpt-5.1
85	2	0	0	0	0	0.000000	openai/gpt-5.1
86	2	0	0	0	0	0.000000	openai/gpt-5.1
87	2	0	0	0	0	0.000000	openai/gpt-5.1
88	12	6489	2944	920	10353	0.017679	openai/gpt-5.1
89	4	0	0	0	0	0.000000	openai/gpt-5.1
90	2	2565	0	1640	4205	0.019606	openai/gpt-5.1
91	3	0	0	0	0	0.000000	openai/gpt-5.1
92	4	0	0	0	0	0.000000	openai/gpt-5.1
93	51	69871	1792	8182	79845	0.169383	openai/gpt-5.1
94	11	0	0	0	0	0.000000	openai/gpt-5.1
95	4	0	0	0	0	0.000000	openai/gpt-5.1
96	4	0	0	0	0	0.000000	openai/gpt-5.1
97	2	0	0	0	0	0.000000	openai/gpt-5.1
98	2	1594	0	1229	2823	0.014283	openai/gpt-5.1
99	2	1603	0	1039	2642	0.012394	openai/gpt-5.1
100	2	1634	0	1423	3057	0.016273	openai/gpt-5.1
101	4	3198	0	745	3943	0.011448	openai/gpt-5.1
102	4	0	0	0	0	0.000000	openai/gpt-5.1
103	6	0	0	0	0	0.000000	openai/gpt-5.1
104	3	0	0	0	0	0.000000	openai/gpt-5.1
105	51	7698	0	4082	11780	0.050443	openai/gpt-5.1
106	1	0	0	0	0	0.000000	openai/gpt-5.1
107	17	0	0	0	0	0.000000	openai/gpt-5.1
108	37	3811	0	1829	5640	0.023054	openai/gpt-5.1
109	8	5226	0	930	6156	0.015833	openai/gpt-5.1
110	17	0	0	0	0	0.000000	openai/gpt-5.1
111	5	2856	0	1117	3973	0.014740	openai/gpt-5.1
112	4	0	0	0	0	0.000000	openai/gpt-5.1
113	8	6519	0	1528	8047	0.023429	openai/gpt-5.1
114	5	0	0	0	0	0.000000	openai/gpt-5.1
115	9	7291	0	4139	11430	0.050504	openai/gpt-5.1
116	6	0	0	0	0	0.000000	openai/gpt-5.1
117	2	1651	0	1020	2671	0.012264	openai/gpt-5.1
