ID	TYPE	Message	EXPRESSION	PATH	HASH
9	DEREFERENCE_NULLABLE	dereferenced expression keyNames is @Nullable	      return keyNames.get(keyname, -1);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Input.java:639	dc76c754b935b5bca1c4e91451cfb970c94ec2d3
10	DEREFERENCE_NULLABLE	dereferenced expression loadFuture is @Nullable	    else if (loadFuture.isDone()) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetLoadingTask.java:153	a8cf4b687be50085cff60fb143e4175c6350bd54
11	DEREFERENCE_NULLABLE	dereferenced expression assetDescriptor is @Nullable	    return get(assetDescriptor.fileName, assetDescriptor.type, true);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetManager.java:207	93a2a0dba14310fca9c72eb6ec45962e2e6f7df8
13	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return get(fileName, type, true);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetManager.java:160	98f37702b04d4c1fc9ce3178311f60ff7f0b23d7
14	DEREFERENCE_NULLABLE	dereferenced expression resolver is @Nullable	    return resolver.resolve(fileName);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/AssetLoader.java:52	d47f61642f561c6fc129c23b895f9c9a92fdcd81
18	DEREFERENCE_NULLABLE	dereferenced expression info.data is @Nullable	    if (!info.data.isPrepared()) info.data.prepare();	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/TextureLoader.java:77	eee24d164201d36cde42b84d6c25b61adf40714e
19	PASS_NULLABLE	passing @Nullable parameter 'info.data' where @NonNull is required	      texture.load(info.data);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/TextureLoader.java:90	158046ad3930216e90789b6ce2d87a74b6b7a0e6
20	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields file (line 60), type (line 61) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  protected FileHandle() {}	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java:62	17287eada3ff88a6bb0222a1f7fda0beace19855
21	DEREFERENCE_NULLABLE	dereferenced expression color is @Nullable	    this.r = color.r;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Color.java:117	3c93b1043ca794561642e6651bfd11ca6b5dcd0f
22	DEREFERENCE_NULLABLE	dereferenced expression managedCubemaps.get(Gdx.app) is @Nullable	    return managedCubemaps.get(Gdx.app).size;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Cubemap.java:367	297dfcb44c2be126962d19ef556c0d192d978e40
23	DEREFERENCE_NULLABLE	dereferenced expression instances is @Nullable	      instances.dispose();	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:244	d1123b3bdcda5238e3e1c68804a190ef9f3f7389
24	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return null;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:805	1ab1a045a88c4b657a8f144ff5d3db7f2331e414
25	PASS_NULLABLE	passing @Nullable parameter 'shader' where @NonNull is required	    render(shader, primitiveType, offset, count, autoBind);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:710	383aa40cc6c6218c4e3fb640b47f89b7c9a13f0b
26	DEREFERENCE_NULLABLE	dereferenced expression instances is @Nullable	      if (isInstanced) numInstances = instances.getNumInstances();	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:754	a753694b5673339d400105d694918ec4b93afba8
27	DEREFERENCE_NULLABLE	dereferenced expression this.instances is @Nullable	    this.instances.updateInstanceData(targetOffset, source, sourceOffset, count);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:337	f7da97fa94a69e151745b5c7d79d27ea4285b156
28	DEREFERENCE_NULLABLE	dereferenced expression this.instances is @Nullable	    this.instances.updateInstanceData(targetOffset, source, sourceOffset, count);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:361	e4182cf2c62985fee9cbaacf376504ecaff48eb6
29	DEREFERENCE_NULLABLE	dereferenced expression Gdx.net is @Nullable	    Gdx.net.sendHttpRequest(	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Pixmap.java:259	d30dfaa7ee490764a91d504903ce17667f8e3ea1
30	NONNULL_FIELD_READ_BEFORE_INIT	read of @NonNull field curLineBytes before initialization	        curLine = curLineBytes.ensureCapacity(lineLen);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/PixmapIO.java:278	ea70becd347aee77b34103e88e372317344bcadf
33	METHOD_NO_INIT	initializer method does not guarantee @NonNull field data (line 126) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  protected Texture(int glTarget, int glHandle, TextureData data) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Texture.java:163	21419b9911df7f6f1ce3a16a438ad83d0d05c5f3
34	DEREFERENCE_NULLABLE	dereferenced expression managedTextures.get(Gdx.app) is @Nullable	    return managedTextures.get(Gdx.app).size;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Texture.java:367	b2066d44b0403cb8f8a89c4887bb7e38fb2463e6
35	DEREFERENCE_NULLABLE	dereferenced expression managedTextureArrays.get(Gdx.app) is @Nullable	    return managedTextureArrays.get(Gdx.app).size;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/TextureArray.java:167	a95f853c2c18306ec5e68a982865deedb70aa541
36	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return null;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/VertexAttributes.java:100	3ed4489734b235579b7ffd53edd3cf937b9f650c
37	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields iterator1 (line 261), iterator2 (line 261) are initialized along all control-flow paths (remember to check for exceptions or early returns).	    public ReadonlyIterable(T[] array) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/VertexAttributes.java:262	524280e0534b902b398143c4ee69a3d74a8bebc4
39	METHOD_NO_INIT	initializer method does not guarantee @NonNull field keyFrames (line 53) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public Animation(float frameDuration, Array<? extends T> keyFrames) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/Animation.java:68	eeaa5cea92e070e7aca1b3d0b149726bd4bbbad3
40	METHOD_NO_INIT	initializer method does not guarantee @NonNull field pageGlyphIndices (line 61) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public BitmapFontCache(BitmapFont font, boolean integer) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/BitmapFontCache.java:73	4cac105fa8ad5fdad5999de13652c606236ba083
41	DEREFERENCE_NULLABLE	dereferenced expression sprite is @Nullable	    float spriteWidth = sprite.getWidth();	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:441	3d3add3523c5516576d45f425b9d366eb128d4ee
42	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return name;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:751	0ee599dcc6d7da4fab08806cccd4bfb731dd46f6
43	DEREFERENCE_NULLABLE	dereferenced expression sprite is @Nullable	      particle.setOrigin(sprite.getOriginX(), sprite.getOriginY());	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:708	308e4cf30df55db9479c58080a914e7b2685c8d9
44	METHOD_NO_INIT	initializer method does not guarantee @NonNull field tint (line 1259) is initialized along all control-flow paths (remember to check for exceptions or early returns).	    public Particle(@Nullable Sprite sprite) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:1261	7add140ece7ebbeba22b7228d8b0ff7f13623805
45	PASS_NULLABLE	passing @Nullable parameter 'page.texture' where @NonNull is required	        atlas.getTextures().add(page.texture);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/PixmapPacker.java:486	b45b8899a9a4a16bc46fc998b36c5d9f5e68d8ac
